**********Reduction Summary****************
300 buses in reduced model
"6762 branches in reduced model, including 6744 equivalent lines"
External generator on bus 11047 is moved to 10558
External generator on bus 11050 is moved to 13265
External generator on bus 11052 is moved to 10965
External generator on bus 11053 is moved to 10965
External generator on bus 11054 is moved to 10677
External generator on bus 11060 is moved to 10965
External generator on bus 11061 is moved to 10965
External generator on bus 11062 is moved to 10609
External generator on bus 11065 is moved to 10607
External generator on bus 11069 is moved to 13518
External generator on bus 11072 is moved to 13693
External generator on bus 11073 is moved to 13693
External generator on bus 13454 is moved to 13265
External generator on bus 13458 is moved to 13265
External generator on bus 13460 is moved to 13366
External generator on bus 13462 is moved to 13693
External generator on bus 13466 is moved to 10607
External generator on bus 13468 is moved to 13265
External generator on bus 13483 is moved to 10944
External generator on bus 13486 is moved to 13518
External generator on bus 13487 is moved to 13518
External generator on bus 13488 is moved to 13265
External generator on bus 13492 is moved to 13265
External generator on bus 13493 is moved to 13265
External generator on bus 13494 is moved to 13265
External generator on bus 13510 is moved to 13509
External generator on bus 13511 is moved to 13509
External generator on bus 13512 is moved to 13693
External generator on bus 13513 is moved to 13265
External generator on bus 13515 is moved to 13684
External generator on bus 13519 is moved to 13518
External generator on bus 13520 is moved to 13518
External generator on bus 13521 is moved to 13518
External generator on bus 13522 is moved to 13366
External generator on bus 13526 is moved to 13684
External generator on bus 13528 is moved to 13684
External generator on bus 13530 is moved to 13684
External generator on bus 13533 is moved to 13265
External generator on bus 13539 is moved to 13509
External generator on bus 13540 is moved to 13509
External generator on bus 13541 is moved to 13509
External generator on bus 13542 is moved to 13509
External generator on bus 13543 is moved to 10944
External generator on bus 13544 is moved to 10944
External generator on bus 13548 is moved to 20007
External generator on bus 13549 is moved to 20007
External generator on bus 13551 is moved to 13420
External generator on bus 13552 is moved to 13420
External generator on bus 13559 is moved to 20390
External generator on bus 13560 is moved to 20390
External generator on bus 13561 is moved to 20390
External generator on bus 13563 is moved to 13265
External generator on bus 13566 is moved to 13265
External generator on bus 13567 is moved to 13265
External generator on bus 13570 is moved to 13265
External generator on bus 13572 is moved to 13265
External generator on bus 13573 is moved to 13446
External generator on bus 13574 is moved to 13265
External generator on bus 13577 is moved to 13265
External generator on bus 13578 is moved to 13265
External generator on bus 13583 is moved to 13684
External generator on bus 13586 is moved to 20007
External generator on bus 13590 is moved to 13265
External generator on bus 13593 is moved to 13265
External generator on bus 13597 is moved to 10944
External generator on bus 13600 is moved to 13000
External generator on bus 13603 is moved to 13000
External generator on bus 13606 is moved to 13446
External generator on bus 13612 is moved to 13366
External generator on bus 13614 is moved to 13420
External generator on bus 13618 is moved to 13518
External generator on bus 13625 is moved to 13499
External generator on bus 13632 is moved to 13366
External generator on bus 13633 is moved to 13366
External generator on bus 13634 is moved to 13684
External generator on bus 13641 is moved to 13446
External generator on bus 13642 is moved to 13446
External generator on bus 13645 is moved to 13693
External generator on bus 13646 is moved to 13693
External generator on bus 13650 is moved to 13265
External generator on bus 13653 is moved to 13265
External generator on bus 13655 is moved to 13366
External generator on bus 13659 is moved to 20007
External generator on bus 13661 is moved to 13684
External generator on bus 13662 is moved to 13684
External generator on bus 13663 is moved to 13684
External generator on bus 13665 is moved to 13265
External generator on bus 13677 is moved to 13698
External generator on bus 13678 is moved to 13698
External generator on bus 13680 is moved to 13000
External generator on bus 13685 is moved to 13684
External generator on bus 13686 is moved to 13684
External generator on bus 13687 is moved to 74001
External generator on bus 13694 is moved to 13693
External generator on bus 20283 is moved to 20136
External generator on bus 20288 is moved to 20136
External generator on bus 20293 is moved to 20136
External generator on bus 20295 is moved to 20136
External generator on bus 20300 is moved to 20299
External generator on bus 20301 is moved to 20299
External generator on bus 20302 is moved to 20299
External generator on bus 20304 is moved to 21108
External generator on bus 20306 is moved to 21108
External generator on bus 20307 is moved to 21108
External generator on bus 20313 is moved to 20439
External generator on bus 20319 is moved to 20390
External generator on bus 20323 is moved to 20136
External generator on bus 20328 is moved to 20136
External generator on bus 20330 is moved to 20136
External generator on bus 20332 is moved to 20136
External generator on bus 20339 is moved to 20136
External generator on bus 20344 is moved to 20136
External generator on bus 20347 is moved to 20136
External generator on bus 20349 is moved to 20136
External generator on bus 20350 is moved to 20136
External generator on bus 20351 is moved to 20026
External generator on bus 20353 is moved to 20136
External generator on bus 20355 is moved to 23099
External generator on bus 20356 is moved to 20136
External generator on bus 20357 is moved to 20136
External generator on bus 20359 is moved to 30001
External generator on bus 20363 is moved to 21681
External generator on bus 20367 is moved to 20136
External generator on bus 20369 is moved to 20136
External generator on bus 20370 is moved to 20026
External generator on bus 20371 is moved to 20026
External generator on bus 20372 is moved to 20136
External generator on bus 20376 is moved to 20136
External generator on bus 20379 is moved to 20136
External generator on bus 20383 is moved to 20136
External generator on bus 20396 is moved to 20136
External generator on bus 20401 is moved to 20136
External generator on bus 20406 is moved to 20136
External generator on bus 20407 is moved to 20136
External generator on bus 20410 is moved to 20136
External generator on bus 20415 is moved to 13366
External generator on bus 20418 is moved to 20136
External generator on bus 20429 is moved to 20428
External generator on bus 20430 is moved to 20428
External generator on bus 20432 is moved to 20000
External generator on bus 20447 is moved to 21108
External generator on bus 20448 is moved to 21108
External generator on bus 20449 is moved to 21108
External generator on bus 20450 is moved to 21108
External generator on bus 20453 is moved to 20136
External generator on bus 20454 is moved to 20136
External generator on bus 20456 is moved to 20136
External generator on bus 20460 is moved to 20136
External generator on bus 20462 is moved to 20026
External generator on bus 20463 is moved to 21108
External generator on bus 20468 is moved to 20428
External generator on bus 20469 is moved to 20428
External generator on bus 20470 is moved to 20428
External generator on bus 20471 is moved to 20136
External generator on bus 20472 is moved to 30001
External generator on bus 20474 is moved to 21108
External generator on bus 20475 is moved to 20136
External generator on bus 20479 is moved to 20026
External generator on bus 20482 is moved to 20026
External generator on bus 20483 is moved to 20026
External generator on bus 20488 is moved to 20487
External generator on bus 20489 is moved to 20487
External generator on bus 20490 is moved to 20487
External generator on bus 20491 is moved to 20487
External generator on bus 20492 is moved to 20487
External generator on bus 20494 is moved to 20026
External generator on bus 20496 is moved to 30001
External generator on bus 20499 is moved to 20026
External generator on bus 20500 is moved to 20026
External generator on bus 20502 is moved to 20026
External generator on bus 20503 is moved to 20026
External generator on bus 20505 is moved to 20136
External generator on bus 20509 is moved to 20136
External generator on bus 20515 is moved to 20136
External generator on bus 20516 is moved to 20136
External generator on bus 20517 is moved to 20136
External generator on bus 20523 is moved to 20136
External generator on bus 20525 is moved to 20136
External generator on bus 20526 is moved to 20136
External generator on bus 20528 is moved to 20136
External generator on bus 20530 is moved to 20390
External generator on bus 20531 is moved to 20390
External generator on bus 20536 is moved to 20026
External generator on bus 20541 is moved to 20136
External generator on bus 20544 is moved to 20136
External generator on bus 21597 is moved to 21596
External generator on bus 21598 is moved to 21596
External generator on bus 21599 is moved to 21596
External generator on bus 21602 is moved to 21681
External generator on bus 21603 is moved to 21681
External generator on bus 21604 is moved to 21681
External generator on bus 21605 is moved to 21681
External generator on bus 21611 is moved to 21681
External generator on bus 21612 is moved to 21681
External generator on bus 21613 is moved to 21681
External generator on bus 21614 is moved to 21681
External generator on bus 21617 is moved to 21681
External generator on bus 21618 is moved to 21681
External generator on bus 21619 is moved to 21681
External generator on bus 21620 is moved to 21681
External generator on bus 21623 is moved to 21681
External generator on bus 21624 is moved to 21681
External generator on bus 21625 is moved to 21681
External generator on bus 21627 is moved to 21497
External generator on bus 21628 is moved to 21497
External generator on bus 21631 is moved to 21497
External generator on bus 21636 is moved to 21497
External generator on bus 21637 is moved to 21497
External generator on bus 21639 is moved to 21497
External generator on bus 21647 is moved to 21646
External generator on bus 21648 is moved to 21646
External generator on bus 21651 is moved to 21681
External generator on bus 21652 is moved to 21681
External generator on bus 21653 is moved to 21681
External generator on bus 21654 is moved to 21165
External generator on bus 21656 is moved to 21681
External generator on bus 21662 is moved to 21681
External generator on bus 21663 is moved to 21681
External generator on bus 21668 is moved to 21140
External generator on bus 21669 is moved to 21140
External generator on bus 21670 is moved to 21140
External generator on bus 21673 is moved to 21681
External generator on bus 21675 is moved to 21165
External generator on bus 21676 is moved to 21681
External generator on bus 21689 is moved to 23377
External generator on bus 21690 is moved to 23377
External generator on bus 21691 is moved to 23377
External generator on bus 21693 is moved to 21165
External generator on bus 21694 is moved to 21165
External generator on bus 21699 is moved to 21165
External generator on bus 21702 is moved to 21681
External generator on bus 21703 is moved to 21681
External generator on bus 21704 is moved to 21681
External generator on bus 21706 is moved to 21140
External generator on bus 21707 is moved to 21140
External generator on bus 21709 is moved to 21140
External generator on bus 21710 is moved to 21140
External generator on bus 21716 is moved to 21165
External generator on bus 21718 is moved to 21165
External generator on bus 21719 is moved to 21165
External generator on bus 21720 is moved to 21497
External generator on bus 21726 is moved to 21108
External generator on bus 21730 is moved to 21596
External generator on bus 21731 is moved to 21596
External generator on bus 21732 is moved to 21596
External generator on bus 21735 is moved to 21497
External generator on bus 21736 is moved to 21497
External generator on bus 21737 is moved to 21497
External generator on bus 21738 is moved to 21497
External generator on bus 21739 is moved to 21497
External generator on bus 21740 is moved to 21497
External generator on bus 21742 is moved to 21681
External generator on bus 21743 is moved to 21681
External generator on bus 21744 is moved to 21497
External generator on bus 21748 is moved to 21497
External generator on bus 21749 is moved to 21497
External generator on bus 21753 is moved to 21108
External generator on bus 21754 is moved to 21165
External generator on bus 21756 is moved to 21165
External generator on bus 21757 is moved to 21165
External generator on bus 21758 is moved to 21497
External generator on bus 21760 is moved to 21165
External generator on bus 23267 is moved to 23230
External generator on bus 23268 is moved to 23230
External generator on bus 23270 is moved to 21497
External generator on bus 23272 is moved to 23099
External generator on bus 23277 is moved to 20136
External generator on bus 23278 is moved to 20136
External generator on bus 23281 is moved to 23099
External generator on bus 23282 is moved to 23230
External generator on bus 23287 is moved to 23377
External generator on bus 23288 is moved to 23377
External generator on bus 23289 is moved to 23377
External generator on bus 23290 is moved to 23377
External generator on bus 23293 is moved to 23168
External generator on bus 23298 is moved to 28850
External generator on bus 23302 is moved to 23230
External generator on bus 23303 is moved to 23230
External generator on bus 23304 is moved to 23230
External generator on bus 23305 is moved to 23230
External generator on bus 23306 is moved to 23168
External generator on bus 23307 is moved to 23417
External generator on bus 23309 is moved to 23099
External generator on bus 23311 is moved to 23168
External generator on bus 23313 is moved to 23230
External generator on bus 23315 is moved to 26133
External generator on bus 23318 is moved to 20136
External generator on bus 23319 is moved to 23417
External generator on bus 23324 is moved to 23168
External generator on bus 23329 is moved to 26133
External generator on bus 23333 is moved to 28850
External generator on bus 23334 is moved to 28850
External generator on bus 23337 is moved to 23168
External generator on bus 23338 is moved to 23099
External generator on bus 23340 is moved to 23060
External generator on bus 23345 is moved to 23417
External generator on bus 23346 is moved to 23417
External generator on bus 23348 is moved to 23099
External generator on bus 23351 is moved to 23099
External generator on bus 23352 is moved to 23099
External generator on bus 23353 is moved to 23168
External generator on bus 23360 is moved to 23230
External generator on bus 23361 is moved to 23230
External generator on bus 23363 is moved to 23168
External generator on bus 23366 is moved to 23417
External generator on bus 23367 is moved to 23417
External generator on bus 23368 is moved to 23417
External generator on bus 23370 is moved to 20136
External generator on bus 23378 is moved to 23377
External generator on bus 23379 is moved to 23377
External generator on bus 23380 is moved to 23377
External generator on bus 23381 is moved to 23377
External generator on bus 23382 is moved to 23377
External generator on bus 23383 is moved to 23377
External generator on bus 23384 is moved to 23377
External generator on bus 23385 is moved to 28850
External generator on bus 23386 is moved to 23168
External generator on bus 23389 is moved to 21497
External generator on bus 23390 is moved to 21497
External generator on bus 23393 is moved to 23168
External generator on bus 23396 is moved to 23263
External generator on bus 23399 is moved to 23417
External generator on bus 23400 is moved to 23417
External generator on bus 23401 is moved to 23417
External generator on bus 23403 is moved to 23054
External generator on bus 23405 is moved to 26133
External generator on bus 23406 is moved to 23168
External generator on bus 23421 is moved to 23060
External generator on bus 23422 is moved to 23230
External generator on bus 23423 is moved to 23099
External generator on bus 23425 is moved to 23230
External generator on bus 23426 is moved to 23230
External generator on bus 23434 is moved to 20428
External generator on bus 23435 is moved to 20428
External generator on bus 23436 is moved to 23417
External generator on bus 23438 is moved to 23230
External generator on bus 23441 is moved to 23168
External generator on bus 23445 is moved to 23099
External generator on bus 23446 is moved to 23099
External generator on bus 23447 is moved to 23099
External generator on bus 23449 is moved to 23168
External generator on bus 23453 is moved to 23099
External generator on bus 23469 is moved to 23099
External generator on bus 23471 is moved to 26133
External generator on bus 23477 is moved to 23099
External generator on bus 23478 is moved to 23099
External generator on bus 23479 is moved to 23099
External generator on bus 23480 is moved to 23099
External generator on bus 23481 is moved to 23099
External generator on bus 23485 is moved to 23417
External generator on bus 23487 is moved to 23417
External generator on bus 23490 is moved to 30001
External generator on bus 23493 is moved to 23168
External generator on bus 23495 is moved to 23168
External generator on bus 23499 is moved to 23168
External generator on bus 23502 is moved to 23099
External generator on bus 23503 is moved to 23099
External generator on bus 23511 is moved to 23510
External generator on bus 23512 is moved to 23510
External generator on bus 23513 is moved to 23510
External generator on bus 25830 is moved to 25829
External generator on bus 25831 is moved to 25829
External generator on bus 25835 is moved to 26012
External generator on bus 25837 is moved to 25385
External generator on bus 25839 is moved to 26157
External generator on bus 25840 is moved to 25096
External generator on bus 25843 is moved to 26145
External generator on bus 25844 is moved to 26145
External generator on bus 25845 is moved to 26145
External generator on bus 25846 is moved to 26145
External generator on bus 25852 is moved to 26012
External generator on bus 25854 is moved to 25385
External generator on bus 25855 is moved to 25385
External generator on bus 25857 is moved to 25385
External generator on bus 25863 is moved to 26012
External generator on bus 25867 is moved to 25289
External generator on bus 25868 is moved to 25289
External generator on bus 25869 is moved to 28850
External generator on bus 25871 is moved to 28850
External generator on bus 25872 is moved to 28850
External generator on bus 25874 is moved to 26215
External generator on bus 25875 is moved to 25385
External generator on bus 25876 is moved to 28797
External generator on bus 25881 is moved to 26145
External generator on bus 25887 is moved to 25289
External generator on bus 25889 is moved to 25665
External generator on bus 25890 is moved to 26157
External generator on bus 25892 is moved to 25096
External generator on bus 25896 is moved to 26012
External generator on bus 25899 is moved to 26012
External generator on bus 25900 is moved to 26012
External generator on bus 25905 is moved to 25904
External generator on bus 25906 is moved to 25904
External generator on bus 25907 is moved to 25904
External generator on bus 25908 is moved to 25904
External generator on bus 25911 is moved to 23230
External generator on bus 25914 is moved to 26157
External generator on bus 25915 is moved to 26157
External generator on bus 25916 is moved to 25490
External generator on bus 25917 is moved to 26012
External generator on bus 25918 is moved to 26157
External generator on bus 25923 is moved to 25403
External generator on bus 25924 is moved to 25403
External generator on bus 25925 is moved to 25403
External generator on bus 25926 is moved to 25403
External generator on bus 25927 is moved to 25385
External generator on bus 25932 is moved to 25289
External generator on bus 25933 is moved to 25657
External generator on bus 25934 is moved to 26012
External generator on bus 25935 is moved to 26012
External generator on bus 25940 is moved to 26012
External generator on bus 25941 is moved to 26012
External generator on bus 25943 is moved to 23230
External generator on bus 25944 is moved to 25289
External generator on bus 25947 is moved to 26012
External generator on bus 25948 is moved to 26012
External generator on bus 25950 is moved to 26012
External generator on bus 25951 is moved to 26012
External generator on bus 25952 is moved to 26012
External generator on bus 25953 is moved to 26012
External generator on bus 25954 is moved to 26012
External generator on bus 25955 is moved to 26012
External generator on bus 25957 is moved to 26012
External generator on bus 25960 is moved to 26157
External generator on bus 25961 is moved to 26157
External generator on bus 25963 is moved to 26157
External generator on bus 25964 is moved to 26157
External generator on bus 25968 is moved to 26012
External generator on bus 25969 is moved to 26012
External generator on bus 25970 is moved to 26012
External generator on bus 25972 is moved to 26215
External generator on bus 25975 is moved to 26012
External generator on bus 25977 is moved to 26012
External generator on bus 25978 is moved to 28850
External generator on bus 25980 is moved to 26157
External generator on bus 25982 is moved to 26145
External generator on bus 25984 is moved to 25289
External generator on bus 25985 is moved to 25665
External generator on bus 25987 is moved to 26215
External generator on bus 25991 is moved to 26012
External generator on bus 25995 is moved to 26012
External generator on bus 25996 is moved to 26012
External generator on bus 25998 is moved to 26157
External generator on bus 25999 is moved to 25289
External generator on bus 26000 is moved to 25474
External generator on bus 26004 is moved to 26012
External generator on bus 26006 is moved to 25096
External generator on bus 26009 is moved to 26157
External generator on bus 26013 is moved to 26157
External generator on bus 26018 is moved to 26215
External generator on bus 26019 is moved to 26215
External generator on bus 26020 is moved to 26215
External generator on bus 26023 is moved to 28797
External generator on bus 26026 is moved to 25268
External generator on bus 26029 is moved to 25385
External generator on bus 26030 is moved to 25385
External generator on bus 26031 is moved to 25385
External generator on bus 26034 is moved to 23230
External generator on bus 26038 is moved to 25829
External generator on bus 26039 is moved to 25829
External generator on bus 26040 is moved to 25829
External generator on bus 26042 is moved to 25375
External generator on bus 26043 is moved to 25375
External generator on bus 26044 is moved to 25490
External generator on bus 26047 is moved to 26012
External generator on bus 26052 is moved to 26051
External generator on bus 26053 is moved to 26051
External generator on bus 26056 is moved to 26157
External generator on bus 26062 is moved to 25289
External generator on bus 26063 is moved to 25289
External generator on bus 26064 is moved to 25289
External generator on bus 26066 is moved to 25375
External generator on bus 26067 is moved to 25375
External generator on bus 26069 is moved to 25375
External generator on bus 26073 is moved to 26157
External generator on bus 26074 is moved to 26157
External generator on bus 26076 is moved to 28797
External generator on bus 26077 is moved to 28797
External generator on bus 26078 is moved to 28797
External generator on bus 26080 is moved to 25385
External generator on bus 26085 is moved to 26197
External generator on bus 26089 is moved to 26012
External generator on bus 26091 is moved to 26157
External generator on bus 26093 is moved to 28850
External generator on bus 26098 is moved to 26215
External generator on bus 26099 is moved to 26215
External generator on bus 26100 is moved to 26215
External generator on bus 26101 is moved to 26215
External generator on bus 26102 is moved to 26215
External generator on bus 26105 is moved to 25289
External generator on bus 26106 is moved to 25289
External generator on bus 26107 is moved to 25289
External generator on bus 26110 is moved to 28850
External generator on bus 26116 is moved to 26012
External generator on bus 26117 is moved to 26012
External generator on bus 26120 is moved to 26012
External generator on bus 26121 is moved to 26012
External generator on bus 26122 is moved to 26012
External generator on bus 26128 is moved to 25289
External generator on bus 26129 is moved to 25289
External generator on bus 26134 is moved to 26133
External generator on bus 26138 is moved to 25385
External generator on bus 26139 is moved to 25385
External generator on bus 26141 is moved to 25385
External generator on bus 26146 is moved to 26145
External generator on bus 26147 is moved to 26145
External generator on bus 26148 is moved to 26145
External generator on bus 26149 is moved to 26145
External generator on bus 26150 is moved to 26012
External generator on bus 26158 is moved to 26157
External generator on bus 26159 is moved to 26157
External generator on bus 26164 is moved to 26163
External generator on bus 26165 is moved to 26163
External generator on bus 26166 is moved to 26163
External generator on bus 26167 is moved to 26157
External generator on bus 26173 is moved to 28013
External generator on bus 26174 is moved to 28013
External generator on bus 26175 is moved to 28013
External generator on bus 26176 is moved to 28013
External generator on bus 26177 is moved to 28013
External generator on bus 26178 is moved to 28013
External generator on bus 26179 is moved to 28013
External generator on bus 26180 is moved to 28013
External generator on bus 26181 is moved to 28013
External generator on bus 26182 is moved to 28013
External generator on bus 26183 is moved to 28013
External generator on bus 26185 is moved to 26157
External generator on bus 26190 is moved to 25385
External generator on bus 26191 is moved to 25385
External generator on bus 26205 is moved to 23417
External generator on bus 26208 is moved to 25289
External generator on bus 26210 is moved to 26012
External generator on bus 26216 is moved to 26215
External generator on bus 26217 is moved to 26215
External generator on bus 26219 is moved to 26157
External generator on bus 26226 is moved to 25289
External generator on bus 26229 is moved to 26157
External generator on bus 26230 is moved to 26157
External generator on bus 26234 is moved to 26012
External generator on bus 26236 is moved to 26012
External generator on bus 26237 is moved to 25289
External generator on bus 26238 is moved to 25618
External generator on bus 28720 is moved to 28850
External generator on bus 28721 is moved to 28850
External generator on bus 28722 is moved to 28850
External generator on bus 28723 is moved to 28850
External generator on bus 28725 is moved to 28365
External generator on bus 28727 is moved to 28417
External generator on bus 28729 is moved to 28474
External generator on bus 28732 is moved to 28885
External generator on bus 28733 is moved to 28885
External generator on bus 28735 is moved to 28885
External generator on bus 28736 is moved to 28885
External generator on bus 28740 is moved to 28885
External generator on bus 28741 is moved to 28885
External generator on bus 28742 is moved to 28885
External generator on bus 28743 is moved to 28885
External generator on bus 28744 is moved to 28885
External generator on bus 28746 is moved to 28885
External generator on bus 28747 is moved to 28885
External generator on bus 28748 is moved to 28885
External generator on bus 28751 is moved to 28885
External generator on bus 28752 is moved to 28885
External generator on bus 28753 is moved to 28885
External generator on bus 28754 is moved to 28885
External generator on bus 28755 is moved to 28885
External generator on bus 28757 is moved to 28885
External generator on bus 28761 is moved to 40984
External generator on bus 28766 is moved to 28765
External generator on bus 28767 is moved to 28765
External generator on bus 28768 is moved to 28765
External generator on bus 28769 is moved to 28765
External generator on bus 28770 is moved to 28765
External generator on bus 28771 is moved to 28765
External generator on bus 28778 is moved to 28474
External generator on bus 28779 is moved to 28474
External generator on bus 28785 is moved to 28784
External generator on bus 28786 is moved to 28784
External generator on bus 28787 is moved to 28784
External generator on bus 28788 is moved to 28784
External generator on bus 28789 is moved to 28784
External generator on bus 28791 is moved to 28365
External generator on bus 28792 is moved to 28365
External generator on bus 28798 is moved to 28797
External generator on bus 28799 is moved to 28417
External generator on bus 28800 is moved to 28417
External generator on bus 28804 is moved to 28885
External generator on bus 28805 is moved to 28527
External generator on bus 28811 is moved to 28474
External generator on bus 28812 is moved to 28474
External generator on bus 28815 is moved to 28850
External generator on bus 28816 is moved to 28850
External generator on bus 28817 is moved to 28850
External generator on bus 28820 is moved to 28060
External generator on bus 28821 is moved to 28060
External generator on bus 28823 is moved to 28667
External generator on bus 28824 is moved to 28417
External generator on bus 28828 is moved to 28885
External generator on bus 28829 is moved to 28885
External generator on bus 28830 is moved to 28885
External generator on bus 28831 is moved to 28417
External generator on bus 28833 is moved to 28667
External generator on bus 28834 is moved to 28667
External generator on bus 28835 is moved to 28885
External generator on bus 28837 is moved to 28474
External generator on bus 28838 is moved to 28474
External generator on bus 28839 is moved to 28850
External generator on bus 28845 is moved to 28844
External generator on bus 28846 is moved to 28844
External generator on bus 28851 is moved to 28850
External generator on bus 28852 is moved to 28850
External generator on bus 28853 is moved to 28850
External generator on bus 28854 is moved to 28850
External generator on bus 28855 is moved to 28474
External generator on bus 28856 is moved to 28527
External generator on bus 28858 is moved to 28667
External generator on bus 28859 is moved to 28417
External generator on bus 28865 is moved to 28417
External generator on bus 28869 is moved to 28850
External generator on bus 28871 is moved to 28128
External generator on bus 28872 is moved to 28128
External generator on bus 28874 is moved to 28013
External generator on bus 28877 is moved to 28885
External generator on bus 28886 is moved to 28885
External generator on bus 28887 is moved to 28885
External generator on bus 28890 is moved to 23510
External generator on bus 28893 is moved to 28885
External generator on bus 28896 is moved to 28401
External generator on bus 28901 is moved to 28474
External generator on bus 28902 is moved to 28885
External generator on bus 28906 is moved to 28885
External generator on bus 28907 is moved to 28474
External generator on bus 28908 is moved to 28474
External generator on bus 28913 is moved to 28885
External generator on bus 28915 is moved to 40004
External generator on bus 28918 is moved to 28417
External generator on bus 28919 is moved to 28885
External generator on bus 28926 is moved to 28667
External generator on bus 28927 is moved to 28417
External generator on bus 28928 is moved to 28549
External generator on bus 28929 is moved to 28549
External generator on bus 28930 is moved to 28549
External generator on bus 28934 is moved to 28401
External generator on bus 28935 is moved to 28885
External generator on bus 28938 is moved to 28417
External generator on bus 28939 is moved to 28417
External generator on bus 28941 is moved to 28417
External generator on bus 28942 is moved to 28417
External generator on bus 28946 is moved to 28024
External generator on bus 28948 is moved to 28885
External generator on bus 28951 is moved to 28885
External generator on bus 28952 is moved to 28885
External generator on bus 28953 is moved to 28667
External generator on bus 28957 is moved to 28361
External generator on bus 28961 is moved to 28850
External generator on bus 28962 is moved to 28850
External generator on bus 28963 is moved to 28850
External generator on bus 28969 is moved to 28885
External generator on bus 28970 is moved to 28885
External generator on bus 28972 is moved to 28885
External generator on bus 28973 is moved to 28885
External generator on bus 28974 is moved to 28885
External generator on bus 28975 is moved to 28885
External generator on bus 28978 is moved to 28474
External generator on bus 28982 is moved to 28667
External generator on bus 28984 is moved to 28401
External generator on bus 28987 is moved to 28885
External generator on bus 28991 is moved to 40756
External generator on bus 28992 is moved to 40756
External generator on bus 28994 is moved to 28667
External generator on bus 28995 is moved to 28667
External generator on bus 29000 is moved to 28417
External generator on bus 29001 is moved to 28417
External generator on bus 29002 is moved to 28417
External generator on bus 29004 is moved to 28365
External generator on bus 29006 is moved to 28417
External generator on bus 29007 is moved to 28417
External generator on bus 29010 is moved to 28885
External generator on bus 29011 is moved to 28885
External generator on bus 29013 is moved to 28417
External generator on bus 29019 is moved to 29018
External generator on bus 29020 is moved to 29018
External generator on bus 29022 is moved to 28885
External generator on bus 29028 is moved to 29027
External generator on bus 29029 is moved to 29027
