OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,YEAR,PEAK_MONTH,AVAIL_CAP,PLAN_OUT,UNPLAN_OUT,OTHER_OUT,TOTAL_CAP,PEAK_LOAD,MIN_LOAD,SHAPE_Length,SHAPE_Area
16,924,"ASSOCIATED ELECTRIC COOPERATIVE, INC.",2814 S GOLDEN AVE,SPRINGFIELD,MO,65807,(417) 881-1204,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,https://www.aeci.org/,2018,1,5242,151,0,0,6171,5284,1755,5916046.88901879,353204151926.94
17,18642,TENNESSEE VALLEY AUTHORITY,400 W. SUMMIT HILL DR,KNOXVILLE,TN,37902,(865) 632-2101,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,https://www.tva.gov/,2018,1,34730,1330,3921,0,41305,32509,13549,6926310.82460613,302392188156.712
18,13434,ISO NEW ENGLAND INC.,1 SULLIVAN RD,HOLYOKE,MA,01040,(413) 535-4000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,https://www.iso-ne.com/,2018,8,30269,111,587,0,33144,25980,10145,10717112.7918505,335277373666.944
19,5701,EL PASO ELECTRIC COMPANY,P O BOX 982,EL PASO,TX,79960,(800) 592-1634,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,http://www.epelectric.com/,2018,7,1860,0,227,0,2087,1926,754,4544634.08852791,253437255036.078
20,19610,WESTERN AREA POWER ADMINISTRATION UGP WEST,P O BOX 35800,BILLINGS,MT,59107,(406) 255-2800,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,https://www.wapa.gov/,2018,9,3178,329,0,0,3507,1664,951,6547937.41839705,293247767148.161
21,13501,NEW YORK INDEPENDENT SYSTEM OPERATOR,10 KREY BOULEVARD,RENSSELAER,NY,12144,(518) 356-6000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,http://www.nyiso.com/,2018,8,38891,-2197,-2169,0,34525,31861,14752,6274417.07703863,239002088123.739
22,20169,AVISTA CORPORATION,1411 EAST MISSION AVENUE,SPOKANE,WA,99220,(509) 489-0500,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,http://www.avistacorp.com/ContactUs/Pages/ContactUs.aspx,2018,8,2351,53,127,0,2529,2245,1028,3479974.66915095,248764948713.286
23,803,ARIZONA PUBLIC SERVICE COMPANY,MS # 9997,PHOENIX,AZ,85072,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,http://webcache.googleusercontent.com/search?q=cache:JDyOjDQm7XQJ:https://www.aps.com/en/globalservices/serviceareamaps+&cd=1&hl=en&ct=clnk&gl=us,2018,7,6926,0,0,15,8695,7258,2736,3781401.62191849,185318215577.249
24,15466,PUBLIC SERVICE COMPANY OF COLORADO,1800 LARIMER STREET,DENVER,CO,80202,(800) 895-4999,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,http://www.xcelenergy-com/,2018,7,7449,0,287,0,7736,8501,3227,9598742.99607676,168395663103.776
25,3046,DUKE ENERGY PROGRESS EAST,1411 FAYETTEVILLE S,RALEIGH,NC,27602,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,NOT AVAILABLE,2018,1,14390,393,374,0,16317,15519,5047,4659655.08950515,140004775932.619
26,5416,DUKE ENERGY CAROLINAS,DEC-43A/550 SOUTH TRYON STREET,CHARLOTTE,NC,28202,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,NOT AVAILABLE,2018,1,25704,113,171,0,26013,21620,8656,2490622.41507141,133216891052.692
27,3522,CHUGACH ELECTRIC ASSN INC,5601 ELECTRON DR,ANCHORAGE,AK,99519,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,NOT AVAILABLE,2018,12,530,85,0,0,533,213,121,8360715.95460255,191519871104.464
28,6455,DUKE ENERGY FLORIDA INC,P O BOX 14042,ST. PETERSBURG,FL,33733,(800) 700-8744,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census, https://www.duke-energy.com/outages/current-outages",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,https://www.progress-energy.com/florida/home/index.page,2018,1,11450,849,433,0,10002,11382,3315,6516185.13016607,105256736079.478
29,189,POWERSOUTH ENERGY COOPERATIVE,2027 EAST THREE NOTCH STREET,ANDALUSIA,AL,36421,(334) 427-3000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,http://www.powersouth.com/,2018,1,2040,4,38,0,2794,2458,576,5409242.66463034,100321051363.803
30,6452,FLORIDA POWER & LIGHT COMPANY,P O BOX 29100,MIAMI,FL,33102,(800) 375-2434,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census, https://www.sec.gov/Archives/edgar/data/37634/000075330812000025/fplserviceterritorymap.jpg",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,www.fpl.com,2018,8,25249,1210,177,0,26636,23079,10174,10748482.2211963,86376453719.716
31,21554,SEMINOLE ELECTRIC COOPERATIVE,16313 NORTH DALE MABRY HIGHWAY,TAMPA,FL,33618,(813) 963-0994,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,https://www.seminole-electric.com/,2018,11,1983,259,70,203,182,401,68,5628602.39536123,70691139680.0647
32,17543,SOUTH CAROLINA PUBLIC SERVICE AUTHORITY,ONE RIVERWOOD DRIVE,MONCKS CORNER,SC,29461,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,NOT AVAILABLE,2018,1,5192,-599,-65,0,5207,5203,1692,6656921.19267846,71390084299.5165
33,1,NEW BRUNSWICK SYSTEM OPERATOR,515 KING STREET,FREDERICTON,NB,E3B 4X1,(800) 663-6272,CAN,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2017/11/09 00:00:00,OTHER,2018/06/04 00:00:00,https://www.nbpower.com/,NOT AVAILABLE,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,2242559.19469209,59824337850.3248
34,17539,SOUTH CAROLINA ELECTRIC & GAS COMPANY,100 SCANA PARKWAY,CAYCE,SC,29033,(800) 251-7234,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census, https://www.sceg.com/outages-emergencies/power-outages/outage-map",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,https://www.sceg.com/,2018,1,5652,625,0,0,6299,4756,1755,2363250.67978182,47489687077.5034
35,15500,PUGET SOUND ENERGY,MS: PSE-08S,BELLEVUE,WA,98004,(888) 225-5773,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,http://pse.com/Pages/default-aspx,2018,2,3617,94,106,54,5040,4475,2160,4869699.22448231,59015107844.4155
36,16572,SALT RIVER PROJECT,P O BOX 52025,PHOENIX,AZ,85072,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,NOT AVAILABLE,2018,7,8227,0,30,0,14121,7393,2595,991632.923174901,37828589359.8798
37,18429,"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",3628 SOUTH 35TH STREET,TACOMA,WA,98411,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,NOT AVAILABLE,2018,2,736,0,0,0,1328,922,428,2294624.60277382,40872456596.0151
38,24211,TUCSON ELECTRIC POWER COMPANY,88 EAST BROADWAY,TUCSON,AZ,85701,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,http://www.uns.com/,2018,7,3506,0,0,0,3772,3241,1308,1951634.99924516,32524374031.0339
39,9216,IMPERIAL IRRIGATION DISTRICT,333 EAST BARIONI BOULEVARD,IMPERIAL,CA,92251,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,http://www.iid.com/,2018,7,608,107,35,0,767,1067,316,822259.571254058,24596795671.2384
40,5326,PUD NO. 1 OF DOUGLAS COUNTY,1151 VALLEY MALL PARKWAY,EAST WENATCHEE,WA,98802,(800) 503-7990,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,http://www.douglaspud-org/,2018,2,744,84,12,0,909,367,156,1174344.28720052,27703630621.8353
41,11249,LOUISVILLE GAS AND ELECTRIC COMPANY AND KENTUCKY UTILITIES,220 W MAIN SREET,LOUISVILLE,KY,40202,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, http://energy.ky.gov/generation/Documents/Electric_Service_Areas_Legal_Size_Map.pdf",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,NOT AVAILABLE,2018,1,9204,0,258,0,9462,6938,3161,10510953.4205814,22319352322.8017
42,14610,FLORIDA MUNICIPAL POWER POOL,P O BOX 3193,ORLANDO,FL,32802,(407) 423-9018,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census, https://outagemap.ouc.com/external/default.html",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,http://www.ouc.com/,2018,8,4353,144,0,25,4601,3491,1495,2212514.15879558,18179045860.0226
43,58786,DUKE ENERGY PROGRESS WEST,NOT AVAILABLE,NOT AVAILABLE,NC,NOT AVAILABLE,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2018/10/12 00:00:00,OTHER,2019/05/01 00:00:00,NOT AVAILABLE,2017,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,1055724.12027185,19507541324.868
44,16534,BALANCING AUTHORITY OF NORTHERN CALIFORNIA,6201 S STREET,SACRAMENTO,CA,95817,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,NOT AVAILABLE,2018,7,4575,141,55,90,4861,4436,4436,1653262.64255639,19807353879.7778
45,15248,PORTLAND GENERAL ELECTRIC COMPANY,121 SW  SALMON STREET,PORTLAND,OR,97204,(503) 464-8000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,https://www.portlandgeneral-com/default-aspx,2018,8,4385,28,60,0,4473,3852,1574,1452539.13484843,21221176583.3183
46,56365,"NATURENER POWER WATCH, LLC (GWA)",435 PACIFIC AVE SUITE 400,SAN FRANSISCO,CA,94133,(415) 217-5500,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2017/11/09 00:00:00,OTHER,2018/06/04 00:00:00,http://www.naturener.us/,NOT AVAILABLE,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,619795.128792775,20560054019.4725
47,9617,JEA,21 WEST CHURCH ST.,JACKSONVILLE,FL,32202,(904) 665-6000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census, https://www.jea.com/outage_center/outage_map/",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,https://www.jea.com/,2018,1,2939,0,0,185,3124,3103,906,1232987.56713159,13915829969.5175
48,3413,PUBLIC UTILITY DISTRICT NO. 1 OF CHELAN COUNTY,P O  BOX 1231,WENATCHEE,WA,98807,(509) 663-8121,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,http://www.chelanpud-org/index-html,2018,2,1466,235,120,0,1821,420,174,805801.354122348,17210882366.4026
49,14624,"PUBLIC UTILITY DISTRICT NO. 2 OF GRANT COUNTY, WASHINGTON",P O BOX 878,EPHRATA,WA,98823,(509) 754-0500,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,http://www.grantpud-org/,2018,7,1842,202,122,0,2166,848,0,667380.426386129,15679434742.7955
50,599,ANCHORAGE MUNICIPAL LIGHT & POWER,1200 EAST FIRST AVENUE,ANCHORAGE,AK,99501,(435) 477-3331,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2017/11/09 00:00:00,OTHER,2018/06/04 00:00:00,http://parowan.org/,NOT AVAILABLE,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,1039507.50925654,19108206441.9268
51,11208,LOS ANGELES DEPARTMENT OF WATER AND POWER,P O BOX 51111,LOS ANGELES,CA,90051,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,NOT AVAILABLE,2018,7,8330,127,80,0,9068,6837,2199,1258990.96449036,9406051460.95457
52,8795,CITY OF HOMESTEAD,675 N FLAGLER AVE,HOMESTEAD,FL,33030,(305) 224-4800,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,http://www.cityofhomestead.com/index.aspx?nid=91,2018,6,0,0,34,0,168,109,45,894650.292010493,6338495425.3876
53,55372,"NEW HARQUAHALA GENERATING COMPANY, LLC - HGBA",NOT AVAILABLE,NOT AVAILABLE,AZ,NOT AVAILABLE,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,NOT AVAILABLE,2018,-999999,-999999,-999999,-999999,-999999,-999999,0,0,329023.345826296,6341042781.34467
54,18454,TAMPA ELECTRIC COMPANY,702 NORTH FRANKLIN STREET,TAMPA,FL,33602,(888) 223-0800,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census, https://www.tampaelectric.com/residential/outages/outagemap/",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,http://www.tampaelectric.com/,2018,1,5353,0,561,21,5935,4044,1290,742088.692442538,5874960696.24933
55,14412,"GILA RIVER POWER, LLC",NOT AVAILABLE,NOT AVAILABLE,AZ,NOT AVAILABLE,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,NOT AVAILABLE,2018,1,0,0,0,0,0,0,0,384126.895356261,6121399458.03164
56,58791,"NATURENER WIND WATCH, LLC",435 PACIFIC AVE SUITE 400,SAN FRANSISCO,CA,94133,(415) 217-5500,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,http://www.naturener.us/,2018,-999999,-999999,-999999,-999999,-999999,-999999,0,0,449202.551696747,7411036346.81952
57,56545,GRIDFORCE SOUTH,1331 LAMAR ST #560,HOUSTON,TX,77010,(713) 332-2902,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2017/11/09 00:00:00,OTHER,2018/06/04 00:00:00,http://www.grid4ce.net/,NOT AVAILABLE,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,331235.488034612,5390335167.15662
58,29304,SOUTHEASTERN POWER ADMINISTRATION,1166 ATHENS TECH RD,ELBERTON,GA,30635,(706) 213-3800,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2017/11/09 00:00:00,OTHER,2018/06/04 00:00:00,https://www.energy.gov/sepa/southeastern-power-administration,NOT AVAILABLE,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,364167.750980678,4483569274.10498
