ISO Index,Classification,QF,Aggregate,Resource_ID,Generating Unit Name / Description,Net Dependable Capacity (MW),PTO Area,Owner or QF ID,ISO Classification,Unit Type,Fuel Type,Zone,Demand Zone,Commercial Operating Date,Comments,River System,Nameplate Capacity (MW),Record Status A-Active Control Area Units AND C-Contract Units Outside Ctrl Area
35300,Participating Unit,Yes,Yes,ANTLPE_2_QF,ANTELOPE VALLEY AREA LUMPED UNITS,206.5,SCE,Southern California Edison,WIND,WIND,WIND,SP15,SCE1,1982-01-01,,,206.5,A
35318,Non-Participating,Yes,No,ANTLPE_2_QF,TEHACHAPI CUMMINGS/COUNTY WATER DISTRICT,,SCE,4013,HYDRO,HYDRO,WATER,SP15,SCE1,1983-10-01,,,0.04,A
35307,Non-Participating,Yes,No,ANTLPE_2_QF,CAMERON RIDGE LLC (IV),,SCE,6091,WIND,WIND,WIND,SP15,SCE1,1985-12-31,,,12.76,A
35322,Non-Participating,Yes,No,ANTLPE_2_QF,"On Wind Energy, LLC",,SCE,6012,WIND,WIND,WIND,SP15,SCE1,1982-12-28,,,2.4,A
35313,Non-Participating,Yes,No,ANTLPE_2_QF,"OAK CREEK ENERGY SYSTEMS, INC",,SCE,6234,WIND,WIND,WIND,SP15,SCE1,1986-02-10,,,27.9,A
35319,Non-Participating,Yes,No,ANTLPE_2_QF,TEHACHAPI POWER PURCHASE CONTRACT TRUST,,SCE,6037,WIND,WIND,WIND,SP15,SCE1,1986-12-15,,,56.0,A
35308,Non-Participating,Yes,No,ANTLPE_2_QF,RIDGETOP ENERGY LLC (II),,SCE,6092,WIND,WIND,WIND,SP15,SCE1,1988-01-01,,,28.0,A
126500,Participating Unit,No,No,VALLEY_5_SOLAR2,AP North Lake Solar,20.0,SCE,SUNE DB APNL LLC,SOLAR,PHOTO VOLTAIC,SUN,SP15,SCE1,2015-08-11,,,20.0,A
108900,Participating Unit,No,No,AVSOLR_2_SOLAR,AV Solar Ranch 1,241.5,SCE,SCE,SOLAR,PHOTO VOLTAIC,SUN,SP15,SCE1,2014-06-19,,,250.0,A
121200,Participating Unit,Yes,No,ADMEST_6_SOLAR,Adams East,19.0,PGAE,RE Adams East LLC,SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE3,2014-12-13,,,19.0,A
127600,Participating Unit,No,No,VICTOR_1_SOLAR4,Adelanto Solar,20.0,SCE,"Adelanto Solar, LLC",SOLAR,PHOTO VOLTAIC,SUN,SP15,SCE1,2015-09-03,,,20.0,A
125800,Participating Unit,No,No,VICTOR_1_SOLAR3,Adelanto Solar 2,7.0,SCE,"Adelanto Solar II, LLC",SOLAR,PHOTO VOLTAIC,SUN,SP15,SCE1,2015-07-01,,,7.0,A
130500,Participating Unit,No,No,ADERA_1_SOLAR1,Adera Solar,20.0,PGAE,"Adera Solar, LLC",SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE3,2015-12-23,,,20.0,A
118500,Participating Unit,No,No,ADOBEE_1_SOLAR,Adobe Solar,20.0,PGAE,"Adobe Solar, LLC",SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE3,2014-05-21,,,20.0,A
47600,Participating Unit,Yes,Yes,CALPIN_1_AGNEW,Agnews Power Plant,28.0,PGAE,"O.L.S. Energy-Agnews, Inc.",COGENERATION,COMBINED CYCLE,NATURAL GAS,NP15,PGE3,1990-10-19,,,32.0,A
47602,Non-Participating,Yes,No,CALPIN_1_AGNEW,Agnews Power Plant STG,,PGAE,"O.L.S. Energy-Agnews, Inc.",THERMAL,STEAM,HEAT RECOVERY,NP15,PGE3,1990-10-19,,,7.6,A
47601,Non-Participating,Yes,No,CALPIN_1_AGNEW,Agnews Power Plant CTG,,PGAE,"O.L.S. Energy-Agnews, Inc.",THERMAL,COMBUSTION TURBINE,NATURAL GAS,NP15,PGE3,1990-10-19,,,24.4,A
103500,Participating Unit,No,No,AGUCAL_5_SOLAR1,Agua Caliente Solar,290.0,SDGE,"Agua Caliente Solar, LLC",SOLAR,PHOTO VOLTAIC,SUN,SP15,PGE3,2014-06-10,,,290.0,A
93500,Participating Unit,Yes,Yes,ADLIN_1_UNITS,Aidlin Power Plant,22.0,PGAE,Geysers Power Co.,GEOTHERMAL,STEAM,GEOTHERMAL,NP15,PGE3,,Formerly QF 04G019,,23.0,A
47900,Non-Participating,Yes,No,ADLIN_1_UNITS,Aidlin Unit 2,,PGAE,Geysers Power Co.,GEOTHERMAL,STEAM,GEOTHERMAL,NP15,PGE3,1989-05-28,,,,A
47800,Non-Participating,Yes,No,ADLIN_1_UNITS,Aidlin Unit 1,,PGAE,Geysers Power Co.,GEOTHERMAL,STEAM,GEOTHERMAL,NP15,PGE3,1989-06-16,,,,A
400,Participating Unit,No,No,ALMEGT_1_UNIT 1,Alameda GT Unit 1,23.8,PGAE,NCPA (MSS Agreement - S14),PEAKER,COMBUSTION TURBINE,NATURAL GAS,NP15,NCP1,1986-01-01,,,25.4,A
500,Participating Unit,No,No,ALMEGT_1_UNIT 2,Alameda GT Unit 2,25.4,PGAE,NCPA (MSS Agreement - S14),PEAKER,COMBUSTION TURBINE,NATURAL GAS,NP15,NCP1,1986-01-01,,,25.4,A
600,Participating Unit,No,No,ALAMIT_7_UNIT 1,Alamitos 1,174.56,SCE,AES,THERMAL,STEAM,NATURAL GAS,SP15,SCE1,1956-01-01,,,175.0,A
700,Participating Unit,No,No,ALAMIT_7_UNIT 2,Alamitos 2,175.0,SCE,AES,THERMAL,STEAM,NATURAL GAS,SP15,SCE1,1957-01-01,,,176.0,A
800,Participating Unit,No,No,ALAMIT_7_UNIT 3,Alamitos 3,332.18,SCE,AES,THERMAL,STEAM,NATURAL GAS,SP15,SCE1,1961-01-01,,,322.0,A
900,Participating Unit,No,No,ALAMIT_7_UNIT 4,Alamitos 4,335.67,SCE,AES,THERMAL,STEAM,NATURAL GAS,SP15,SCE1,1962-01-01,,,320.0,A
1000,Participating Unit,No,No,ALAMIT_7_UNIT 5,Alamitos 5,497.97,SCE,AES,THERMAL,STEAM,NATURAL GAS,SP15,SCE1,1999-01-01,,,482.0,A
1100,Participating Unit,No,No,ALAMIT_7_UNIT 6,Alamitos 6,495.0,SCE,AES,THERMAL,STEAM,NATURAL GAS,SP15,SCE1,1966-01-01,,,481.0,A
1300,Participating Unit,No,No,ALAMO_6_UNIT,Alamo R (CDWR),17.0,SCE,CDWR,HYDRO,HYDRO,WATER,SP15,SCE1,1986-01-01,,,18.0,A
125600,Participating Unit,No,No,VICTOR_1_SOLAR2,Alamo Solar,20.0,SCE,"Alamo Solar, LLC",SOLAR,PHOTO VOLTAIC,SUN,SP15,SCE1,2015-05-15,,,20.0,A
108100,Participating Unit,No,No,ALPSLR_1_SPSSLR,Alpaugh 50 LLC,50.0,PGAE,"Alpaugh 50, LLC",SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE3,2013-03-08,,,50.0,A
108200,Participating Unit,No,No,ALPSLR_1_NTHSLR,"Alpaugh North, LLC",20.0,PGAE,"Alpaugh North, LLC",SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE3,2013-03-08,,,20.0,A
107800,Participating Unit,No,No,NEENCH_6_SOLAR,Alpine Solar,66.0,SCE,NRG Solar Alpine LLC,SOLAR,PHOTO VOLTAIC,SUN,SP15,SCE1,2013-01-18,,,66.0,A
107200,Participating Unit,Yes,No,ALT6DN_2_WIND7,Alta 2012 Alta Wind 7,168.0,SCE,"Alta Wind VII, LLC",WIND,WIND,WIND,SP15,SCE1,2013-01-01,,,168.0,A
117300,Participating Unit,No,No,ALTA6E_2_WIND10,Alta Wind 10,138.0,SCE,"Alta Interconnection Management III, LLC",WIND,WIND,WIND,SP15,SCE1,,Phased Implementation: 138 MW commercial out of 500 MW total at completion. As of 3/13/2014,,138.0,A
117400,Participating Unit,No,No,ALTA6B_2_WIND11,Alta Wind 11,90.0,SCE,"Alta Interconnection Management III, LLC",WIND,WIND,WIND,SP15,SCE1,,Phased Implementation: 90 MW commercial out of 250 MW total at completion. As of 3/17/2014,,90.0,A
65600,Participating Unit,Yes,No,CHINO_6_SMPPAP,AltaGas Pomona Energy Inc.,44.0,SCE,AltaGas Pomona Energy Inc.,COGENERATION,COMBUSTION TURBINE,NATURAL GAS,SP15,SCE1,1985-11-18,Formerly SCE QF 2050,,44.0,A
132600,Participating Unit,Yes,No,ALTWD_1_QF,Altwind,47.0,SCE,Difwind Farms Limited I,WIND,WIND,WIND,SP15,SCE1,1985-12-18,,,47.08,A
112600,Participating Unit,No,No,ESQUON_6_LNDFIL,Ameresco Butte County LFG Project,2.1,PGAE,"Ameresco Butte County LLC, Ameresco, Inc.,",BIOMASS,RECIPROCATING ENGINE,LANDFILL GAS,NP15,PGE3,2012-09-27,,,4.0,A
118200,Participating Unit,Yes,No,CORRAL_6_SJOAQN,Ameresco San Joaquin,4.3,PGAE,Ameresco San Joaquin LLC,BIOMASS,RECIPROCATING ENGINE,LANDFILL GAS,NP15,PGE3,2014-04-24,,,4.3,A
136100,Participating Unit,No,No,BIGSKY_2_SOLAR1,Antelope Big Sky Ranch,20.0,SCE,Antelope Big Sky Ranch LLC,SOLAR,PHOTO VOLTAIC,SUN,SP15,PAS1,2016-08-16,,,20.0,A
108300,Participating Unit,No,No,GLOW_6_SOLAR,Antelope Power Plant,20.0,SCE,"TA-High Desert, LLC",SOLAR,PHOTO VOLTAIC,SUN,SP15,SCE1,2013-03-25,,,20.0,A
110500,Participating Unit,No,No,ARLVAL_5_SOLAR,Arlington Valley Solar Energy II,127.0,SDGE,"Arlington Valley Solar Energy II, LLC",PSEUDO TIE,PHOTO VOLTAIC,SUN,SP15,SDG1,2013-10-28,,,127.0,C
136800,Participating Unit,No,No,ASTORA_2_SOLAR1,Astoria 1,100.0,PGAE,RE Astoria LLC,SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE3,2016-10-18,,,100.0,A
136900,Participating Unit,No,No,ASTORA_2_SOLAR2,Astoria 2,75.0,PGAE,RE Astoria 2 LLC,SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE3,2016-10-31,,,75.0,A
108000,Participating Unit,No,No,ATWELL_1_SOLAR,Atwell Island PV Solar Generating Faci.,20.0,PGAE,"SPS Atwell Island, LLC",SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE3,2013-03-08,,,20.0,A
124500,Participating Unit,No,No,ATWEL2_1_SOLAR1,Atwell West,20.0,PGAE,"CED Atwell Island West, LLC",SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE3,2015-06-11,,,20.0,A
101600,Participating Unit,No,No,AVENAL_6_AVPARK,Avenal Park Solar Project,6.0,PGAE,Avenal Park LLC,SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE2,2011-08-05,,,6.0,A
35900,Participating Unit,Yes,No,BDGRCK_1_UNITS,BADGER CREEK LIMITED,47.49,PGAE,Badger Creek Limited,COGENERATION,COMBUSTION TURBINE,NATURAL GAS,ZP26,PGE4,1991-04-01,,,58.48,A
36000,Participating Unit,No,No,VOLTA_6_BAILCK,BAILEY CREEK RANCH,0.63,PGAE,"Bailey Creek Hydroelectric, Inc.",HYDRO,HYDRO,WATER,NP15,PGE3,1982-05-26,Formerly PGE QF 13H119.,,0.63,A
36300,Participating Unit,Yes,Yes,BARRE_2_QF,BARRE AREA LUMPED UNITS,0.2,SCE,VARIOUS,VARIOUS,,,SP15,SCE1,1994-01-01,,,0.37,A
36302,Non-Participating,Yes,No,BARRE_2_QF,CITY OF SANTA ANA,,SCE,4054,HYDRO,,,SP15,SCE1,1985-06-30,,,0.2,A
2200,Participating Unit,Yes,No,RICHMN_7_BAYENV,BAY EVIRONMENTAL MANAGEMENT,2.5,PGAE,Bay Environmental Mgt. (formerly 01P070),BIOMASS,RECIPROCATING ENGINE,LANDFILL GAS,NP15,PGE3,1985-01-01,,,3.0,A
36500,Participating Unit,Yes,No,BEARMT_1_UNIT,BEAR MOUNTAIN LIMITED,47.49,PGAE,BEAR MOUNTAIN LIMITED,COGENERATION,COMBUSTION TURBINE,NATURAL GAS,ZP26,PGE4,1995-04-03,"QF Conversion, Formerly PGE QF 25C251",,58.48,A
2700,Participating Unit,No,No,UNVRSY_1_UNIT 1,BERRY COGEN 38,38.0,PGAE,Berry Petroleum Company,COGENERATION,COMBUSTION TURBINE,NATURAL GAS,ZP26,PGE4,1986-01-01,PGE QF 25C099A,,37.2,A
2600,Participating Unit,Yes,No,TANHIL_6_SOLART,BERRY PETROLEUM COGEN 18,17.0,PGAE,Pacific Gas & Electric Company,COGENERATION,COMBUSTION TURBINE,NATURAL GAS,ZP26,PGE4,1986-01-01,PGE QF 25C151A,,6.0,A
2900,Participating Unit,No,Yes,BIGCRK_2_EXESWD,BIG CREEK HYDRO PROJECT PSP,820.0,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1913-01-01,,,820.0,A
2923,Non-Participating,No,No,BGCRK1_7_PORTAL,Big Creek - Portal Unit,10.8,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1956-01-01,,,10.8,A
2901,Non-Participating,No,No,BGCRK1_7_UNIT 1,Big Creek PH 1 Unit 1,19.8,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1913-01-01,,,19.8,A
2902,Non-Participating,No,No,BGCRK1_7_UNIT 2,Big Creek PH 1 Unit 2,15.8,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1913-01-01,,,15.75,A
2903,Non-Participating,No,No,BGCRK1_7_UNIT 3,Big Creek PH 1 Unit 3,21.6,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1923-01-01,,,21.6,A
2904,Non-Participating,No,No,BGCRK1_7_UNIT 4,Big Creek PH 1 Unit 4,31.2,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1925-01-01,,,31.2,A
2905,Non-Participating,No,No,BGCRK2_7_UNIT 1,Big Creek PH 2 Unit 1,55.0,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1928-01-01,,,55.0,A
2906,Non-Participating,No,No,BGCRK2_7_UNIT 2,Big Creek PH 2 Unit 2,55.0,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1928-01-01,,,55.0,A
2907,Non-Participating,No,No,BGCRK2_7_UNIT 3,Big Creek PH 2 Unit 3,15.8,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1913-01-01,,,15.75,A
2908,Non-Participating,No,No,BGCRK2_7_UNIT 4,Big Creek PH 2 Unit 4,15.8,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1914-01-01,,,15.75,A
2909,Non-Participating,No,No,BGCRK2_7_UNIT 5,Big Creek PH 2 Unit 5,17.5,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1921-01-01,,,17.5,A
2910,Non-Participating,No,No,BGCRK2_7_UNIT 6,Big Creek PH 2 Unit 6,17.5,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1925-01-01,,,17.5,A
2911,Non-Participating,No,No,BGCRK3_7_UNIT 1,Big Creek PH 3 Unit 1,34.0,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1923-01-01,,,34.0,A
2912,Non-Participating,No,No,BGCRK3_7_UNIT 2,Big Creek PH 3 Unit 2,34.0,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1923-01-01,,,34.0,A
2913,Non-Participating,No,No,BGCRK3_7_UNIT 3,Big Creek PH 3 Unit 3,34.0,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1923-01-01,,,34.0,A
2914,Non-Participating,No,No,BGCRK3_7_UNIT 4,Big Creek PH 3 Unit 4,36.0,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1948-01-01,,,36.0,A
2915,Non-Participating,No,No,BGCRK3_7_UNIT 5,Big Creek PH 3 Unit 5,36.5,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1980-01-01,,,36.45,A
2916,Non-Participating,No,No,BGCRK4_7_UNIT 1,Big Creek PH 4 Unit 1,50.0,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1951-01-01,,,50.0,A
2917,Non-Participating,No,No,BGCRK4_7_UNIT 2,Big Creek PH 4 Unit 2,50.0,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1951-01-01,,,50.0,A
2918,Non-Participating,No,No,BGCRK8_7_UNIT 1,Big Creek PH 8 Unit 1,30.0,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1921-01-01,,,30.0,A
2919,Non-Participating,No,No,BGCRK8_7_UNIT 2,Big Creek PH 8 Unit 2,45.0,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1929-01-01,,,45.0,A
2921,Non-Participating,No,No,MAMMTH_7_UNIT 1,Big Creek - Mammoth Pool Unit 1,95.0,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1960-01-01,,,95.0,A
2922,Non-Participating,No,No,MAMMTH_7_UNIT 2,Big Creek - Mammoth Pool Unit 2,95.0,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1960-01-01,,,95.0,A
3000,Participating Unit,Yes,No,GRSCRK_6_BGCKWW,BIG CREEK WATER WORKS,5.0,PGAE,"Big Creek Water Works, LTD.",HYDRO,HYDRO,WATER,NP15,PGE3,1987-01-01,,,5.0,A
3100,Participating Unit,No,Yes,BISHOP_1_ALAMO,"BISHOP CREEK PLANTS 2, 5 & 6 (AGGREGATE)",13.4,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1908-01-01,,,14.18,A
3101,Non-Participating,No,No,BISHOP_1_ALAMO,Bishop Creek Plant 2 Unit 1,,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1908-01-01,,,2.73,A
3102,Non-Participating,No,No,BISHOP_1_ALAMO,Bishop Creek Plant 2 Unit 2,,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1908-01-01,,,2.73,A
3106,Non-Participating,No,No,BISHOP_1_ALAMO,Bishop Creek Plant 6 Unit 1,,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1913-01-01,,,2.2,A
3104,Non-Participating,No,No,BISHOP_1_ALAMO,Bishop Creek Plant 5 Unit 1,,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1943-01-01,,,2.0,A
3105,Non-Participating,No,No,BISHOP_1_ALAMO,Bishop Creek Plant 5 Unit 2,,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1919-01-01,,,1.8,A
3103,Non-Participating,No,No,BISHOP_1_ALAMO,Bishop Creek Plant 2 Unit 3,,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1911-01-01,,,2.73,A
3200,Participating Unit,No,Yes,BISHOP_1_UNITS,BISHOP CREEK PLANTS 3 & 4 (AGGREGATE),15.8,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1905-01-01,,,15.9,A
3201,Non-Participating,No,No,BISHOP_1_UNITS,Bishop Creek Plant 3 Unit 1,,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1913-01-01,,,2.6,A
3202,Non-Participating,No,No,BISHOP_1_UNITS,Bishop Creek Plant 3 Unit 2,,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1913-01-01,,,2.6,A
3203,Non-Participating,No,No,BISHOP_1_UNITS,Bishop Creek Plant 3 Unit 3,,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1913-01-01,,,2.7,A
3208,Non-Participating,No,No,BISHOP_1_UNITS,Bishop Creek Plant 4 Unit 5,,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1909-01-01,,,2.0,A
3205,Non-Participating,No,No,BISHOP_1_UNITS,Bishop Creek Plant 4 Unit 2,,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1905-01-01,,,1.0,A
3206,Non-Participating,No,No,BISHOP_1_UNITS,Bishop Creek Plant 4 Unit 3,,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1906-01-01,,,2.0,A
3207,Non-Participating,No,No,BISHOP_1_UNITS,Bishop Creek Plant 4 Unit 4,,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1907-01-01,,,2.0,A
3204,Non-Participating,No,No,BISHOP_1_UNITS,Bishop Creek Plant 4 Unit 1,,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1905-01-01,,,1.0,A
42900,Participating Unit,No,Yes,BLM_2_UNITS,"BLM Units 7, 8, and 9",72.0,SCE,Coso Energy Developers,GEOTHERMAL,STEAM,GEOTHERMAL,SP15,SCE1,1988-12-05,"QF Conversion, was SCE QF 3030",,99.9,A
42901,Non-Participating,Yes,No,BLM E_2_UNIT 7,BLM East Unit 7,24.0,SCE,Coso Energy Developers,GEOTHERMAL,STEAM,GEOTHERMAL,SP15,SCE1,1988-12-05,,,33.3,A
42902,Non-Participating,Yes,No,BLM E_2_UNIT 8,BLM East Unit 8,24.0,SCE,Coso Energy Developers,GEOTHERMAL,STEAM,GEOTHERMAL,SP15,SCE1,1988-12-05,,,33.3,A
42903,Non-Participating,Yes,No,BLM W_2_UNIT 9,BLM West Unit 9,24.0,SCE,Coso Energy Developers,GEOTHERMAL,STEAM,GEOTHERMAL,SP15,SCE1,1988-12-05,,,33.3,A
37200,Participating Unit,Yes,Yes,BORDEN_2_QF,BORDEN AREA LUMPED QF UNITS,2.0,PGAE,Madera ID,HYDRO,HYDRO,WATER,NP15,PGE3,1985-01-01,,,2.0,A
3400,Participating Unit,No,No,BORDER_6_UNITA1,BORDER,51.25,SDGE,CalPeak Power LLC,PEAKER,COMBUSTION TURBINE,NATURAL GAS,SP15,SDG1,2001-10-26,,,49.96,A
3500,Participating Unit,No,Yes,MONLTH_6_BOREL,BOREL HYDRO PLANT (AGGREGATE),11.0,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1904-01-01,,,12.0,A
3501,Non-Participating,No,No,MONLTH_6_BOREL,Borel Unit 1,,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1904-01-01,,,3.0,A
3503,Non-Participating,No,No,MONLTH_6_BOREL,Borel Unit 3,,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1932-01-01,,,6.0,A
3502,Non-Participating,No,No,MONLTH_6_BOREL,Borel Unit 2,,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1904-01-01,,,3.0,A
1700,Participating Unit,Yes,No,HINSON_6_CARBGN,BP WILMINGTON CALCINER,30.0,SCE,Tesoro Refining and Marketing Company LLC,COGENERATION,STEAM,HEAT RECOVERY,SP15,SCE1,1982-01-01,,,35.8,A
3900,Participating Unit,No,Yes,BUCKCK_7_PL1X2,BUCKS CREEK PH (AGGREGATE),59.0,PGAE,PG&E,HYDRO,HYDRO,WATER,NP15,PGE3,1928-01-01,,NF Feather River,59.0,A
3901,Non-Participating,No,No,BUCKCK_7_UNIT 1,Bucks Creek Unit #1,33.0,PGAE,PG&E,HYDRO,HYDRO,WATER,NP15,PGE3,1928-01-01,,NF Feather River,33.0,A
3902,Non-Participating,No,No,BUCKCK_7_UNIT 2,Bucks Creek Unit #2,32.5,PGAE,PG&E,HYDRO,HYDRO,WATER,NP15,PGE3,1928-01-01,,NF Feather River,32.5,A
37400,Participating Unit,No,No,WNDMAS_2_UNIT 1,"BUENA VISTA ENERGY, LLC",38.0,PGAE,"Buena Vista Energy, LLC",WIND,WIND,WIND,NP15,PGE3,1983-12-24,Formerly PGE QF 01W001,,38.0,A
37500,Participating Unit,Yes,No,BURNYF_2_UNIT 1,BURNEY FOREST PRODUCTS,35.7,PGAE,Pacific Gas & Electric Company,BIOMASS,STEAM,WOOD WASTE,NP15,PGE3,1989-10-17,PGE QF 13C038,,35.7,A
1800,Participating Unit,Yes,No,VALLEY_7_BADLND,Badlands Landfill Gas to Energy Facility,1.3,SCE,Riverside County Waste Management Dept,BIOMASS,RECIPROCATING ENGINE,LANDFILL GAS,SP15,SCE1,2001-08-07,,,1.2,A
36100,Participating Unit,Yes,No,BRDGVL_7_BAKER,Baker Station Hydro,1.49,PGAE,"Baker Station Associates, LP",HYDRO,HYDRO,WATER,NP15,PGE3,1987-12-10,Was PGE QF 19H002,,1.5,A
126200,Participating Unit,No,No,BKRFLD_2_SOLAR1,Bakersfield 111,1.38,PGAE,"Bakersfield 111, LLC",SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE3,2015-07-28,,,1.4,A
1900,Participating Unit,No,No,BALCHS_7_UNIT 1,Balch 1,33.0,PGAE,PG&E,HYDRO,HYDRO,WATER,NP15,PGE3,1927-01-01,,Kings River,34.0,A
2000,Participating Unit,No,No,BALCHS_7_UNIT 2,Balch 2,52.5,PGAE,PG&E,HYDRO,HYDRO,WATER,NP15,PGE3,1958-01-01,,Kings River,52.5,A
