ISO Index,Classification,QF,Aggregate,Resource_ID,Name_Description,Net Capacity (MW),PTO Area,Owner or QF ID,Fuel Type,Unit Type,ISO Classification,Zone,Demand Zone,Operating Date,River System,Nameplate Capacity,Status - A=Active; C - Contracted outside CAISO,Capacity Factor,Average Heat Rate,Segment1,Segment2,Segment3,MinCap,RampRate,MinUP,MinDOWN,VariableO&M,NoLOAD (x Fuel Price),StartCost,,
500,Participating Unit,No,No,ALMEGT_1_UNIT 2,Alameda GT Unit 2,25.4,PGAE,NCPA (MSS Agreement - S14),NATURAL GAS,COMBUSTION TURBINE,PEAKER,NP15,NCP1,1/1/1986,,25.4,A,,13.39780787,11.4869198,11.55194456,11.61696932,9,26,1,1,3.17,39.08800908,1778,10.70198672,3.652406799
13900,Participating Unit,No,No,GILRPP_1_PL3X4,Gilroy Energy Center Unit 3,46.2,PGAE,CALPINE,NATURAL GAS,COMBUSTION TURBINE,PEAKER,NP15,PGE3,2/28/2002,,49.9,A,,13.8123968,11.90150874,11.9665335,12.03155826,17,47,1,1,3.17,71.09708737,3234,19.46581837,3.652406799
14000,Participating Unit,No,Yes,GILRPP_1_PL1X2,GILROY ENERGY CENTER UNITS 1 & 2 (AGGREGATE),95.4,PGAE,CALPINE,NATURAL GAS,COMBUSTION TURBINE,PEAKER,NP15,PGE3,1/29/2002,,99.8,A,,13.8123968,11.90150874,11.9665335,12.03155826,34,96,1,1,3.17,146.8108687,6678,40.19565092,3.652406799
82700,Participating Unit,No,Yes,LECEF_1_UNITS,LOS ESTEROS ENERGY FACILITY (AGGREGATE),294,PGAE,Calpine,NATURAL GAS,COMBUSTION TURBINE,PEAKER,NP15,PGE3,7/31/2013,,319.6,A,,13.8123968,11.90150874,11.9665335,12.03155826,103,294,1,1,3.17,452.4360106,20580,123.8733896,3.652406799
95800,Participating Unit,No,Yes,PALALT_7_COBUG,Cooperatively Owned Back Up Generator,4.5,PGAE,NCPA (MSS Agreement - S14),NATURAL GAS,COMBUSTION TURBINE,PEAKER,NP15,NCP1,10/15/2007,,4.8,A,,13.8123968,11.90150874,11.9665335,12.03155826,2,5,1,1,3.17,6.925040978,315,1.89602127,3.652406799
67600,Participating Unit,No,Yes,CSCCOG_1_UNIT 1,SANTA CLARA COGEN,7,PGAE,City of Santa Clara DBA Silicon Valley Power,NATURAL GAS,COMBUSTION TURBINE,COGENERATION,NP15,CSC1,1/1/1981,,7,A,,20.32924971,18.41836164,18.4833864,18.54841117,3,7,1,1,3.17,10.77228597,490,2.94936642,3.652406799
13700,Participating Unit,No,No,CSCGNR_1_UNIT 1,Gianera GT 1,24.75,PGAE,City of Santa Clara DBA Silicon Valley Power,NATURAL GAS,COMBUSTION TURBINE,PEAKER,NP15,CSC1,1/1/1987,,24.75,A,,32.75949367,30.84860561,30.91363037,30.97865513,9,25,1,1,3.17,38.08772538,1732.5,10.42811699,3.652406799
13800,Participating Unit,No,No,CSCGNR_1_UNIT 2,Gianera GT 2,24.75,PGAE,City of Santa Clara DBA Silicon Valley Power,NATURAL GAS,COMBUSTION TURBINE,PEAKER,NP15,CSC1,1/1/1986,,24.75,A,,32.75949367,30.84860561,30.91363037,30.97865513,9,25,1,1,3.17,38.08772538,1732.5,10.42811699,3.652406799
26400,Participating Unit,No,No,PITTSP_7_UNIT 5,Pittsburg Unit 5,312,PGAE,Mirant,NATURAL GAS,STEAM,THERMAL,NP15,PGE3,1/1/1960,,320,A,,13.96515008,12.15303131,12.85798738,13.56294344,125,312,6,6,2,527.8416479,21840,64.53347472,8.179346459
26500,Participating Unit,No,No,PITTSP_7_UNIT 6,Pittsburg Unit 6,317,PGAE,Mirant,NATURAL GAS,STEAM,THERMAL,NP15,PGE3,1/1/1961,,325,A,,13.96515008,12.15303131,12.85798738,13.56294344,127,317,6,6,2,536.3006487,22190,65.56766502,8.179346459
26600,Participating Unit,No,No,PITTSP_7_UNIT 7,Pittsburg Unit 7,530,PGAE,Mirant,NATURAL GAS,STEAM,THERMAL,NP15,PGE3,1/1/1972,,712,A,,13.96515008,12.15303131,12.85798738,13.56294344,212,530,6,6,2,896.6540814,37100,109.6241718,8.179346459
23600,Participating Unit,No,No,OAK C_7_UNIT 1,Oakland GT #1,55,PGAE,Dynegy Oakland LLC,OIL,COMBUSTION TURBINE,PEAKER,NP15,PGE3,1/1/1978,,74.5,A,,15.6,13.68911193,13.7541367,13.81916146,20,55,1,1,3.17,84.63938973,3850,0,#DIV/0!
23700,Participating Unit,No,No,OAK C_7_UNIT 2,Oakland GT #2,55,PGAE,Dynegy Oakland LLC,OIL,COMBUSTION TURBINE,PEAKER,NP15,PGE3,1/1/1978,,74.5,A,,15.6,13.68911193,13.7541367,13.81916146,20,55,1,1,3.17,84.63938973,3850,0,#DIV/0!
23800,Participating Unit,No,No,OAK C_7_UNIT 3,Oakland GT #3,55,PGAE,Dynegy Oakland LLC,OIL,COMBUSTION TURBINE,PEAKER,NP15,PGE3,1/1/1978,,74.5,A,,15.6,13.68911193,13.7541367,13.81916146,20,55,1,1,3.17,84.63938973,3850,0,#DIV/0!
45200,Participating Unit,Yes,No,OAK L_1_GTG1,MWWTP PGS 2 - Turbine,4.6,PGAE,East Bay Municipal Utility District,DIGESTER GAS,COMBUSTION TURBINE,BIOGAS,NP15,PGE3,10/21/1991,,4.6,A,0.5062,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
129300,Participating Unit,No,Yes,DIXNLD_1_LNDFL,Zero Waste Energy,1.6,PGAE,Zero Waste Energy Development Company LLC,DIGESTER GAS,RECIPROCATING ENGINE,BIOGAS,NP15,PGE3,11/13/2015,,1.6,A,0.5062,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
122900,Participating Unit,Yes,Yes,OAK C_1_EBMUD,MWWTP PGS 1 - ENGINES,6.9,PGAE,East Bay Municipal Utility District,LANDFILL GAS,INTERNAL COMBUSTION,THERMAL,NP15,PGE3,10/21/1991,,6.9,A,0.28,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
47200,Participating Unit,Yes,No,HIWAY_7_ACANYN,GAS RECOVERY SYS. (AMERICAN CYN),2.5,PGAE,Pacific Gas & Electric Company,LANDFILL GAS,RECIPROCATING ENGINE,BIOMASS,NP15,PGE3,12/27/1985,,2.5,A,0.7385,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
97800,Participating Unit,No,No,KIRKER_7_KELCYN,KELLER CANYON LANDFILL GEN FACILITY,3.56,PGAE,"Ameresco Keller Canyon, LLC",LANDFILL GAS,RECIPROCATING ENGINE,BIOMASS,NP15,NCP1,8/1/2009,,3.8,A,0.7385,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
97200,Participating Unit,No,No,OXMTN_6_LNDFIL,Ox Mountain Landfill,10.62,PGAE,Ameresco Half Moon Bay LLC,LANDFILL GAS,RECIPROCATING ENGINE,BIOMASS,NP15,PGE3,4/1/2009,,11.4,A,0.7385,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
2200,Participating Unit,Yes,No,RICHMN_7_BAYENV,BAY EVIRONMENTAL MANAGEMENT,2.5,PGAE,Bay Environmental Mgt. (formerly 01P070),LANDFILL GAS,RECIPROCATING ENGINE,BIOMASS,NP15,PGE3,1/1/1985,,3,A,0.7385,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
43600,Participating Unit,Yes,Yes,SNMALF_6_UNITS,Central Disposal Site LFG Power Plant,7.5,PGAE,County of Sonoma,LANDFILL GAS,RECIPROCATING ENGINE,BIOMASS,NP15,PGE3,4/30/1993,,8,A,0.7385,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
132400,Participating Unit,Yes,Yes,PEABDY_2_LNDFL1,Potrero Hills Energy Producers,8,PGAE,"Potrero Hills Energy Producers, LLC",LANDFILL GAS,RECIPROCATING ENGINE,BIOGAS,NP15,PGE3,4/7/2016,,8,A,0.7385,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
31800,Participating Unit,No,Yes,LAWRNC_7_SUNYVL,SUNNYVALE LANDFILL GAS POWER GENERATION FACILITY,0.3,PGAE,City of Sunnyvale,LANDFILL GAS,RECIPROCATING ENGINE,BIOMASS,NP15,PGE3,1/1/1999,,1.6,A,0.608,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
131400,Participating Unit,No,No,SWIFT_1_NAS,YERBA BUENA BATTERY,4,PGAE,Pacific Gas and Electric Company,LESR,BATTERY,STORAGE,NP15,PGE3,1/21/2016,,4.8,A,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
124900,Participating Unit,No,No,ELCAP_1_SOLAR,2097 Helton,1.5,PGAE,"Pristine Sun, LLC",SUN,PHOTO VOLTAIC,SOLAR,NP15,PGE3,5/1/2015,,1.5,A,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
130000,Participating Unit,No,No,MNDOTA_1_SOLAR2,Citizen Solar B,5,PGAE,Citizen Solar B LLC,SUN,PHOTO VOLTAIC,SOLAR,NP15,PGE3,12/11/2015,,5,A,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
127400,Participating Unit,No,No,CUMBIA_1_SOLAR,Columbia Solar Energy II,19,PGAE,"Columbia Solar Energy, LLC",SUN,PHOTO VOLTAIC,SOLAR,NP15,PGE3,10/21/2015,,19,A,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
110900,Participating Unit,No,No,COCOSB_6_SOLAR,Oakley Solar Project,1.5,PGAE,"Hayworth-Fabian, LLC",SUN,PHOTO VOLTAIC,SOLAR,NP15,PGE3,6/12/2013,,1.5,A,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
37400,Participating Unit,No,No,WNDMAS_2_UNIT 1,"BUENA VISTA ENERGY, LLC",38,PGAE,"Buena Vista Energy, LLC",WIND,WIND,WIND,NP15,PGE3,12/24/1983,,38,A,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
90900,Participating Unit,No,No,FLOWD2_2_FPLWND,DIABLO WINDS,18.6,PGAE,"DIABLO WINDS, LLC",WIND,WIND,WIND,NP15,PGE3,5/1/2005,,18,A,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
100600,Participating Unit,No,No,BRDSLD_2_MTZUMA,FPL Energy Montezuma Wind,36.8,PGAE,"FPL Energy Montezuma Wind, LLC",WIND,WIND,WIND,NP15,PGE3,1/25/2011,,36.8,A,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
48600,Participating Unit,No,Yes,USWPJR_2_UNITS,GREEN RIDGE POWER (JACKSON),78.2,PGAE,"Vasco Wind, LLC",WIND,WIND,WIND,NP15,PGE3,1/1/1988,,78.2,A,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
48900,Participating Unit,Yes,Yes,USWNDR_2_UNITS,GREEN RIDGE POWER LLC- RUSSELL (Aggregate),59.6,PGAE,Pacific Gas & Electric Company,WIND,WIND,WIND,NP15,PGE3,1/1/1994,,59.6,A,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
48800,Participating Unit,Yes,Yes,USWND4_2_UNITS,GREEN RIDGE POWER LLC-RALPH (Aggregate),80.2,PGAE,Pacific Gas & Electric Company,WIND,WIND,WIND,NP15,PGE3,1/1/1987,,80.2,A,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
84500,Participating Unit,No,No,BRDSLD_2_HIWIND,HIGH WINDS PROJECT,162,PGAE,"High Winds, LLC",WIND,WIND,WIND,NP15,PGE3,12/23/2003,,162,A,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
92900,Participating Unit,No,No,BRDSLD_2_SHILO1,SHILOH I WIND PROJECT,150,PGAE,Shiloh I Wind Project LLC,WIND,WIND,WIND,NP15,PGE3,3/30/2006,,150,A,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
106400,Participating Unit,No,No,BRDSLD_2_SHLO3B,Shiloh IV Wind Project,100,PGAE,"Shiloh IV Wind Project, LLC",WIND,WIND,WIND,NP15,PGE3,12/7/2012,,100,A,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
97300,Participating Unit,No,No,BRDSLD_2_SHILO2,Shiloh Wind Project 2,150,PGAE,"Shiloh Wind Project 2, LLC",WIND,WIND,WIND,NP15,PGE3,1/27/2009,,150,A,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
34600,Participating Unit,Yes,Yes,FLOWD2_2_UNIT 1,ALTAMONT POWER (AGGREGATE),42.1,PGAE,Pacific Gas & Electric Company,WIND,WIND,WIND,NP15,PGE3,1/1/1985,,42.1,A,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
76000,Participating Unit,No,No,ZOND_6_UNIT,Santa Clara Wind Project,17.1,PGAE,"Seawest Power Resources, LLC (formerly QFID 01W017)",WIND,WIND,WIND,NP15,PGE3,12/30/1985,,24.1,A,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
48300,Participating Unit,Yes,No,GOLDHL_1_QF,GOLD HILL AREA LUMPED QF UNITS,1.25,PGAE,Pacific Gas & Electric Company,WIND,WIND,WIND,NP15,PGE3,11/18/1992,,1.25,A,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
130100,Participating Unit,No,No,USWND2_1_WIND1,Golden Hills A,42.96,PGAE,"Golden Hills Wind, LLC",WIND,WIND,WIND,NP15,PGE3,12/18/2015,,4.3,A,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
130200,Participating Unit,No,No,USWND2_1_WIND2,Golden Hills B,42.96,PGAE,"Golden Hills Wind, LLC",WIND,WIND,WIND,NP15,PGE3,12/18/2015,,42.96,A,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
94100,Participating Unit,Yes,Yes,MLPTAS_7_QFUNTS,MILPITAS QF AGGREGATION,2.3,PGAE,,WOOD WASTE,STEAM,BIOMASS,NP15,PGE3,,,2.3,A,0.696,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,#DIV/0!
