ISO Index,Classification,QF,Aggregate,Resource_ID,Name_Description,Net Capacity (MW),PTO Area,Owner or QF ID,ISO Classification,Unit Type,Fuel Type,Zone,Demand Zone,Operating Date,Comments,River System,Nameplate Capacity,Status - A=Active; C - Contracted outside CAISO
50000,Non-Participating,Yes,No,,HANFORD JOINT UNION HIGH SCHOOL DISTRICT,0.06,SCE,2303,COGENERATION,,,SP15,SCE1,12/8/1987,,,0.06,A
49800,Non-Participating,Yes,No,,Hale Ave. Resource Recovery Fac,0,SDGE,481,COGENERATION,COMBUSTION TURBINE,LANDFILL GAS,SP15,SDG1,,No export to grid. No telemetry. No metering.,,0.36,A
51600,Non-Participating,Yes,No,IBMCTL_1_UNIT 1,IBM COTTLE,50,PGAE,,COGENERATION,COMBUSTION TURBINE,NATURAL GAS,NP15,PGE3,1/1/1984,Emergency back-up source.,,50,A
84400,Non-Participating,No,No,,KERN OIL CO-GEN,0,PGAE,Kern Oil & Refining Co.,COGENERATION,COMBUSTION TURBINE,NATURAL GAS,ZP26,PGE4,,Self-Gen. No export to grid.,,4.5,A
18400,Non-Participating,No,No,KERKH1_7_UNIT 2,Kerckhoff PH 1 Unit #2,12.8,PGAE,PG&E,HYDRO,HYDRO,WATER,NP15,PGE3,1/1/1920,Changed to non-participant 5/1/2013,San Joaquin River,12.8,A
78500,Non-Participating,No,No,LEWSTN_7_UNIT 1,Lewiston,0.5,PGAE,USBR,HYDRO,HYDRO,WATER,NP15,PGE3,1/1/1964,,,0.5,A
55000,Non-Participating,Yes,No,,MAMMOTH PACIFIC LIMITED,0,SCE,3051,GEOTHERMAL,STEAM,GEOTHERMAL,SP15,SCE1,1/1/1990,Does not export to grid.,,12,A
56400,Non-Participating,Yes,No,,MESA CONSOLIDATED WATER DISTRICT,0.05,SCE,4145,HYDRO,HYDRO,WATER,SP15,SCE1,2/1/2000,,,0.05,A
57100,Non-Participating,Yes,No,,MINNESOTA METHANE (TEAPOT DOME),0.95,SCE,1108,BIOMASS,,,SP15,SCE1,,,,0.95,A
60000,Non-Participating,Yes,No,EGATE_7_NOCITY,MM San Diego LLC - North City,3.2,SDGE,"MM San Diego, LLC",BIOGAS,RECIPROCATING ENGINE,LANDFILL GAS,SP15,SDG1,1/1/1999,Changed to non-participating 3/9/2014. Converted to Participating Generator. Formerly SDGE QF 455. Formerly Res ID NOCITY_7_ESGATE.,,3.8,A
57700,Non-Participating,Yes,No,,MOBIL OIL CORPORATION #1,0,SCE,2215,COGENERATION,COMBUSTION TURBINE,NATURAL GAS,SP15,SCE1,5/1/1983,No export to grid.,,41.9,A
57900,Non-Participating,Yes,No,HOLGAT_1_MOGEN,MOJAVE COGENERATION COMPANY,55,SCE,Southern California Edison Company,COGENERATION,COMBUSTION TURBINE,NATURAL GAS,SP15,SCE1,6/13/1990,Non Participant in MF as of 10/2/2013. No longer in SCE QF report as of January 2016 SCE QF 2078,,55,A
59100,Non-Participating,Yes,No,,NAVAL REGIONAL MEDICAL CENTER (BALBOA HOSPITAL),0,SDGE,505,COGENERATION,RECIPROCATING ENGINE,NATURAL GAS,SP15,SDG1,,Does not export to grid,,4.1,A
59300,Non-Participating,Yes,No,,NAVY REG. DATA AUTOMATION CENTER,0,SDGE,164,COGENERATION,RECIPROCATING ENGINE,NATURAL GAS,SP15,SDG1,1/1/1987,Does not export to grid,,2.6,A
89700,Non-Participating,Yes,No,,OCCIDENTAL OF ELK HILLS STEAM TURBINE,0,PGAE,"Occidental of Elk Hills, Inc.",COGENERATION,STEAM,,ZP26,PGE4,6/1/2004,No export to grid. No telemetry,,7.4,A
61800,Non-Participating,Yes,No,,ORANGE U.S.D./VILLA PARK HIGH SCHOOL,0.09,SCE,2423,COGENERATION,,,SP15,SCE1,9/5/1993,,,0.09,A
62800,Non-Participating,Yes,No,,"PCA METAL FINISHING, INC.",0.1,SCE,2472,COGENERATION,,,SP15,SCE1,12/15/1994,,,0.1,A
63300,Non-Participating,Yes,No,,PORTERVILLE INN,0.06,SCE,2448,COGENERATION,,,SP15,SCE1,6/5/1993,,,0.06,A
63900,Non-Participating,Yes,No,,QUAKER CITY PLATING,0.03,SCE,2476,COGENERATION,,,SP15,SCE1,6/2/1995,,,0.03,A
64100,Non-Participating,Yes,No,,R.J. DONOVAN CORRECTIONAL FACILITY,0,SDGE,401,COGENERATION,COMBUSTION TURBINE,NATURAL GAS,SP15,SDG1,1/1/1987,Does not export to grid,,3.13,A
64700,Non-Participating,Yes,No,,REDLANDS UNIFIED SCHOOL DISTRICT,0.06,SCE,2420,COGENERATION,,,SP15,SCE1,12/21/1990,,,0.06,A
65000,Non-Participating,Yes,No,,RIDGEWOOD POWER (SUNNYSIDE),0.05,SCE,2262,COGENERATION,,,SP15,SCE1,2/14/1992,,,0.05,A
66100,Non-Participating,Yes,No,,ROHR - GOODRICH AEROSTRUCTURES GROUP,0,SDGE,486,COGENERATION,COMBUSTION TURBINE,NATURAL GAS,SP15,SDG1,1/1/1993,Does not export to grid,,9.5,A
66500,Non-Participating,Yes,No,,SAN BERNARDINO CITY U.S.D. (PACIFIC HIGH SCHOOL),0.08,SCE,2468,COGENERATION,,,SP15,SCE1,10/18/1994,,,0.08,A
66700,Non-Participating,Yes,No,,SAN BERNARDINO U.H.S. - S. BERN. HI SCHOOL,0.08,SCE,2220,COGENERATION,,,SP15,SCE1,1/1/1988,,,0.08,A
66800,Non-Participating,Yes,No,,SAN BERNARDINO UNIF. SCH. DIST - CAJON H S,0.08,SCE,2217,COGENERATION,,,SP15,SCE1,1/1/1988,,,0.08,A
68100,Non-Participating,Yes,No,,SCAQMD SOLAR PORT,0.07,SCE,5066,SOLAR,,,SP15,SCE1,12/31/1993,,,0.07,A
129000,Non-Participating,Yes,No,,SDSU #2,0,SDGE,467,COGENERATION,COMBINED CYCLE,NATURAL GAS,SP15,SDG1,8/13/2002,Does not export to grid.,,14.8,A
34900,Non-Participating,Yes,No,,SIMMAX ENERGY (HOLIDAY INN),0.15,SCE,2359,COGENERATION,,,SP15,SCE1,6/1/1988,,,0.15,A
41500,Non-Participating,Yes,No,,"SIMMAX ENERGY, LLOC (ST. ERNE SANITARIUM)",0.1,SCE,2057,COGENERATION,,,SP15,SCE1,7/1/1985,,,0.1,A
88200,Non-Participating,Yes,No,,SPARTECH PLASTICS,0,SCE,Spartech Plastics,THERMAL,COMBUSTION TURBINE,NATURAL GAS,SP15,SCE1,2/28/2002,Self-Gen. No export to grid.,,3.8,A
69800,Non-Participating,Yes,No,,ST. JOHNS HOSPITAL AND HEALTH CENTER,1.08,SCE,2413,COGENERATION,,NATURAL GAS,SP15,SCE1,2/5/1992,,,1.08,A
89500,Non-Participating,Yes,No,,STOCKTON WASTE WATER TREATMENT PLANT,0,PGAE,City of Stocton,THERMAL,RECIPROCATING ENGINE,WASTE GAS,NP15,PGE3,11/8/1989,Self-Gen. No export to grid.,,1.5,A
40703,Non-Participating,Yes,No,CHINO_2_LNDFIL,Spadra,12.5,SCE,County Sanitation District No. 2 of Los Angeles County,BIOMASS,STEAM,LANDFILL GAS,SP15,SCE1,2/21/1990,Retired 11/22/2015. Formerly SCE QF 1077,,10.5,A
82300,Non-Participating,No,No,PICO_6_THUMS1,THUMS GENERATION FACILITY,47,SCE,THUMS Long Beach Company,PEAKER,COMBUSTION TURBINE,NATURAL GAS,SP15,SCE1,12/20/2002,Self-Gen. No export to grid.,,47,A
129100,Non-Participating,Yes,No,,UCSD,0,SDGE,15029,COGENERATION,COMBUSTION TURBINE,NATURAL GAS,SP15,SDG1,4/2/2001,Does not export to grid,,29.74,A
89400,Non-Participating,Yes,No,,UNION OIL (TOSCO) FACILITY,0,PGAE,Union Oil (Tosco),THERMAL,STEAM,WASTE GAS,ZP26,PGE4,,Self-Gen. No export to grid.,,5.8,A
88300,Non-Participating,No,No,,VERNON ENGINE 1,3.5,SCE,Vernon Muni Light Dept.,PEAKER,RECIPROCATING ENGINE,DIESEL / OIL,SP15,VRN1,1/1/1937,Only used as part of City of Vernons Emergency Energy Procedure.,,7,A
88400,Non-Participating,No,No,,VERNON ENGINE 2,3.5,SCE,Vernon Muni Light Dept.,PEAKER,RECIPROCATING ENGINE,DIESEL / OIL,SP15,VRN1,1/1/1937,Only used as part of City of Vernon's Emergency Energy Procedure.,,7,A
88600,Non-Participating,No,No,,VERNON ENGINE 4,3.5,SCE,Vernon Muni Light Dept.,PEAKER,RECIPROCATING ENGINE,DIESEL / OIL,SP15,VRN1,1/1/1937,Only used as part of City of Vernons Emergency Energy Procedure.,,7,A
88700,Non-Participating,No,No,,VERNON ENGINE 5,3.5,SCE,Vernon Muni Light Dept.,PEAKER,RECIPROCATING ENGINE,DIESEL / OIL,SP15,VRN1,1/1/1937,Only used as part of City of Vernons Emergency Energy Procedure.,,7,A
73500,Non-Participating,Yes,No,,VICTOR RODRIGUEZ,0.01,SCE,5069,SOLAR,,,SP15,SCE1,2/5/1985,,,0.01,A
73100,Non-Participating,Yes,No,BAHIA_7_UNITA1,Valero Cogeneration Unit #1,44.7,PGAE,Valero Refining Company - California,COGENERATION,COMBUSTION TURBINE,NATURAL GAS,NP15,PGE3,10/17/2002,Self-Gen. No export to grid.,,44.7,A
74100,Non-Participating,Yes,No,,WALNUT VALLEY WATER DISTRICT (#2),0.03,SCE,4032,HYDRO,HYDRO,WATER,SP15,SCE1,10/17/1984,,,0.03,A
35302,Non-Participating,Yes,No,MIDWD_2_WIND1,Windland Refresh 2,7.81,SCE,"Windland Refresh 2, LLC",WIND,WIND,WIND,SP15,SCE1,12/27/1985,QF Conversion 12/7/15. Was SCE QF 6097,,7.81,A
75800,Non-Participating,Yes,No,ZANKER_1_UNIT 1,ZANKER ROAD,2,PGAE,,COGENERATION,,NATURAL GAS,NP15,PGE3,,Self-Gen. No export to grid.,,2,A
75900,Non-Participating,Yes,No,ZANKER_1_UNIT 2,ZANKER ROAD,2,PGAE,,COGENERATION,,NATURAL GAS,NP15,PGE3,,Self-Gen. No export to grid.,,2,A
