ISO Index,Classification,QF,Aggregate,Resource_ID,Name_Description,Net Dependable Capacity (MW),PTO Area,Owner or QF ID,ISO Classification,Unit Type,Fuel Type,Zone,Demand Zone,Commercial Operating Date,Comments,River System,Nameplate Capacity (MW),Record Status A-Active Control Area Units AND C-Contract Units Outside Ctrl Area
1100,Participating Unit,No,No,ALAMIT7UNIT6,Alamitos 6,495,SCE,AES,THERMAL,STEAM,NATURAL GAS,SP15,SCE1,1/1/1966,,,481,A
1300,Participating Unit,No,No,ALAMO6UNIT,Alamo R (CDWR),17,SCE,CDWR,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1986,,,18,A
125600,Participating Unit,No,No,VICTOR1SOLAR2,Alamo Solar,20,SCE,"Alamo Solar, LLC",SOLAR,PHOTO VOLTAIC,SUN,SP15,SCE1,5/15/2015,,,20,A
108100,Participating Unit,No,No,ALPSLR1SPSSLR,Alpaugh 50 LLC,50,PGAE,"Alpaugh 50, LLC",SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE3,3/8/2013,,,50,A
108200,Participating Unit,No,No,ALPSLR1NTHSLR,"Alpaugh North, LLC",20,PGAE,"Alpaugh North, LLC",SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE3,3/8/2013,,,20,A
107800,Participating Unit,No,No,NEENCH6SOLAR,Alpine Solar,66,SCE,NRG Solar Alpine LLC,SOLAR,PHOTO VOLTAIC,SUN,SP15,SCE1,1/18/2013,,,66,A
107200,Participating Unit,Yes,No,ALT6DN2WIND7,Alta 2012 Alta Wind 7,168,SCE,"Alta Wind VII, LLC",WIND,WIND,WIND,SP15,SCE1,1/1/2013,,,168,A
117300,Participating Unit,No,No,ALTA6E2WIND10,Alta Wind 10,138,SCE,"Alta Interconnection Management III, LLC",WIND,WIND,WIND,SP15,SCE1,,Phased Implementation: 138 MW commercial out of 500 MW total at completion. As of 3/13/2014,,138,A
117400,Participating Unit,No,No,ALTA6B2WIND11,Alta Wind 11,90,SCE,"Alta Interconnection Management III, LLC",WIND,WIND,WIND,SP15,SCE1,,Phased Implementation: 90 MW commercial out of 250 MW total at completion. As of 3/17/2014,,90,A
65600,Participating Unit,Yes,No,CHINO6SMPPAP,AltaGas Pomona Energy Inc.,44,SCE,AltaGas Pomona Energy Inc.,COGENERATION,COMBUSTION TURBINE,NATURAL GAS,SP15,SCE1,11/18/1985,Formerly SCE QF 2050,,44,A
132600,Participating Unit,Yes,No,ALTWD1QF,Altwind,47,SCE,Difwind Farms Limited I,WIND,WIND,WIND,SP15,SCE1,12/18/1985,,,47.08,A
112600,Participating Unit,No,No,ESQUON6LNDFIL,Ameresco Butte County LFG Project,2.1,PGAE,"Ameresco Butte County LLC, Ameresco, Inc.,",BIOMASS,RECIPROCATING ENGINE,LANDFILL GAS,NP15,PGE3,9/27/2012,,,4,A
118200,Participating Unit,Yes,No,CORRAL6SJOAQN,Ameresco San Joaquin,4.3,PGAE,Ameresco San Joaquin LLC,BIOMASS,RECIPROCATING ENGINE,LANDFILL GAS,NP15,PGE3,4/24/2014,,,4.3,A
136100,Participating Unit,No,No,BIGSKY2SOLAR1,Antelope Big Sky Ranch,20,SCE,Antelope Big Sky Ranch LLC,SOLAR,PHOTO VOLTAIC,SUN,SP15,PAS1,8/16/2016,,,20,A
108300,Participating Unit,No,No,GLOW6SOLAR,Antelope Power Plant,20,SCE,"TA-High Desert, LLC",SOLAR,PHOTO VOLTAIC,SUN,SP15,SCE1,3/25/2013,,,20,A
110500,Participating Unit,No,No,ARLVAL5SOLAR,Arlington Valley Solar Energy II,127,SDGE,"Arlington Valley Solar Energy II, LLC",PSEUDO TIE,PHOTO VOLTAIC,SUN,SP15,SDG1,10/28/2013,,,127,C
136800,Participating Unit,No,No,ASTORA2SOLAR1,Astoria 1,100,PGAE,RE Astoria LLC,SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE3,10/18/2016,,,100,A
136900,Participating Unit,No,No,ASTORA2SOLAR2,Astoria 2,75,PGAE,RE Astoria 2 LLC,SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE3,10/31/2016,,,75,A
108000,Participating Unit,No,No,ATWELL1SOLAR,Atwell Island PV Solar Generating Faci.,20,PGAE,"SPS Atwell Island, LLC",SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE3,3/8/2013,,,20,A
124500,Participating Unit,No,No,ATWEL21SOLAR1,Atwell West,20,PGAE,"CED Atwell Island West, LLC",SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE3,6/11/2015,,,20,A
101600,Participating Unit,No,No,AVENAL6AVPARK,Avenal Park Solar Project,6,PGAE,Avenal Park LLC,SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE2,8/5/2011,,,6,A
35900,Participating Unit,Yes,No,BDGRCK1UNITS,BADGER CREEK LIMITED,47.49,PGAE,Badger Creek Limited,COGENERATION,COMBUSTION TURBINE,NATURAL GAS,ZP26,PGE4,4/1/1991,,,58.48,A
36000,Participating Unit,No,No,VOLTA6BAILCK,BAILEY CREEK RANCH,0.63,PGAE,"Bailey Creek Hydroelectric, Inc.",HYDRO,HYDRO,WATER,NP15,PGE3,5/26/1982,Formerly PGE QF 13H119.,,0.63,A
36300,Participating Unit,Yes,Yes,BARRE2QF,BARRE AREA LUMPED UNITS,0.2,SCE,VARIOUS,VARIOUS,,,SP15,SCE1,1/1/1994,,,0.37,A
2200,Participating Unit,Yes,No,RICHMN7BAYENV,BAY EVIRONMENTAL MANAGEMENT,2.5,PGAE,Bay Environmental Mgt. (formerly 01P070),BIOMASS,RECIPROCATING ENGINE,LANDFILL GAS,NP15,PGE3,1/1/1985,,,3,A
36500,Participating Unit,Yes,No,BEARMT1UNIT,BEAR MOUNTAIN LIMITED,47.49,PGAE,BEAR MOUNTAIN LIMITED,COGENERATION,COMBUSTION TURBINE,NATURAL GAS,ZP26,PGE4,4/3/1995,"QF Conversion, Formerly PGE QF 25C251",,58.48,A
2700,Participating Unit,No,No,UNVRSY1UNIT1,BERRY COGEN 38,38,PGAE,Berry Petroleum Company,COGENERATION,COMBUSTION TURBINE,NATURAL GAS,ZP26,PGE4,1/1/1986,PGE QF 25C099A,,37.2,A
2600,Participating Unit,Yes,No,TANHIL6SOLART,BERRY PETROLEUM COGEN 18,17,PGAE,Pacific Gas & Electric Company,COGENERATION,COMBUSTION TURBINE,NATURAL GAS,ZP26,PGE4,1/1/1986,PGE QF 25C151A,,6,A
2900,Participating Unit,No,Yes,BIGCRK2EXESWD,BIG CREEK HYDRO PROJECT PSP,820,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1913,,,820,A
2923,Non-Participating,No,No,BGCRK17PORTAL,Big Creek - Portal Unit,10.8,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1956,,,10.8,A
2901,Non-Participating,No,No,BGCRK17UNIT1,Big Creek PH 1 Unit 1,19.8,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1913,,,19.8,A
2902,Non-Participating,No,No,BGCRK17UNIT2,Big Creek PH 1 Unit 2,15.8,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1913,,,15.75,A
2903,Non-Participating,No,No,BGCRK17UNIT3,Big Creek PH 1 Unit 3,21.6,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1923,,,21.6,A
2904,Non-Participating,No,No,BGCRK17UNIT4,Big Creek PH 1 Unit 4,31.2,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1925,,,31.2,A
2905,Non-Participating,No,No,BGCRK27UNIT1,Big Creek PH 2 Unit 1,55,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1928,,,55,A
2906,Non-Participating,No,No,BGCRK27UNIT2,Big Creek PH 2 Unit 2,55,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1928,,,55,A
2907,Non-Participating,No,No,BGCRK27UNIT3,Big Creek PH 2 Unit 3,15.8,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1913,,,15.75,A
2908,Non-Participating,No,No,BGCRK27UNIT4,Big Creek PH 2 Unit 4,15.8,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1914,,,15.75,A
2909,Non-Participating,No,No,BGCRK27UNIT5,Big Creek PH 2 Unit 5,17.5,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1921,,,17.5,A
2910,Non-Participating,No,No,BGCRK27UNIT6,Big Creek PH 2 Unit 6,17.5,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1925,,,17.5,A
2911,Non-Participating,No,No,BGCRK37UNIT1,Big Creek PH 3 Unit 1,34,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1923,,,34,A
2912,Non-Participating,No,No,BGCRK37UNIT2,Big Creek PH 3 Unit 2,34,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1923,,,34,A
2913,Non-Participating,No,No,BGCRK37UNIT3,Big Creek PH 3 Unit 3,34,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1923,,,34,A
2914,Non-Participating,No,No,BGCRK37UNIT4,Big Creek PH 3 Unit 4,36,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1948,,,36,A
2915,Non-Participating,No,No,BGCRK37UNIT5,Big Creek PH 3 Unit 5,36.5,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1980,,,36.45,A
2916,Non-Participating,No,No,BGCRK47UNIT1,Big Creek PH 4 Unit 1,50,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1951,,,50,A
2917,Non-Participating,No,No,BGCRK47UNIT2,Big Creek PH 4 Unit 2,50,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1951,,,50,A
2918,Non-Participating,No,No,BGCRK87UNIT1,Big Creek PH 8 Unit 1,30,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1921,,,30,A
2919,Non-Participating,No,No,BGCRK87UNIT2,Big Creek PH 8 Unit 2,45,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1929,,,45,A
2921,Non-Participating,No,No,MAMMTH7UNIT1,Big Creek - Mammoth Pool Unit 1,95,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1960,,,95,A
2922,Non-Participating,No,No,MAMMTH7UNIT2,Big Creek - Mammoth Pool Unit 2,95,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1960,,,95,A
3000,Participating Unit,Yes,No,GRSCRK6BGCKWW,BIG CREEK WATER WORKS,5,PGAE,"Big Creek Water Works, LTD.",HYDRO,HYDRO,WATER,NP15,PGE3,1/1/1987,,,5,A
3100,Participating Unit,No,Yes,BISHOP1ALAMO,"BISHOP CREEK PLANTS 2, 5 & 6 (AGGREGATE)",13.4,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1908,,,14.18,A
3200,Participating Unit,No,Yes,BISHOP1UNITS,BISHOP CREEK PLANTS 3 & 4 (AGGREGATE),15.8,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1905,,,15.9,A
42900,Participating Unit,No,Yes,BLM2UNITS,"BLM Units 7, 8, and 9",72,SCE,Coso Energy Developers,GEOTHERMAL,STEAM,GEOTHERMAL,SP15,SCE1,12/5/1988,"QF Conversion, was SCE QF 3030",,99.9,A
42901,Non-Participating,Yes,No,BLME2UNIT7,BLM East Unit 7,24,SCE,Coso Energy Developers,GEOTHERMAL,STEAM,GEOTHERMAL,SP15,SCE1,12/5/1988,,,33.3,A
42902,Non-Participating,Yes,No,BLME2UNIT8,BLM East Unit 8,24,SCE,Coso Energy Developers,GEOTHERMAL,STEAM,GEOTHERMAL,SP15,SCE1,12/5/1988,,,33.3,A
42903,Non-Participating,Yes,No,BLMW2UNIT9,BLM West Unit 9,24,SCE,Coso Energy Developers,GEOTHERMAL,STEAM,GEOTHERMAL,SP15,SCE1,12/5/1988,,,33.3,A
37200,Participating Unit,Yes,Yes,BORDEN2QF,BORDEN AREA LUMPED QF UNITS,2,PGAE,Madera ID,HYDRO,HYDRO,WATER,NP15,PGE3,1/1/1985,,,2,A
3400,Participating Unit,No,No,BORDER6UNITA1,BORDER,51.25,SDGE,CalPeak Power LLC,PEAKER,COMBUSTION TURBINE,NATURAL GAS,SP15,SDG1,10/26/2001,,,49.96,A
3500,Participating Unit,No,Yes,MONLTH6BOREL,BOREL HYDRO PLANT (AGGREGATE),11,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1904,,,12,A
1700,Participating Unit,Yes,No,HINSON6CARBGN,BP WILMINGTON CALCINER,30,SCE,Tesoro Refining and Marketing Company LLC,COGENERATION,STEAM,HEAT RECOVERY,SP15,SCE1,1/1/1982,,,35.8,A
3900,Participating Unit,No,Yes,BUCKCK7PL1X2,BUCKS CREEK PH (AGGREGATE),59,PGAE,PG&E,HYDRO,HYDRO,WATER,NP15,PGE3,1/1/1928,,NF Feather River,59,A
3901,Non-Participating,No,No,BUCKCK7UNIT1,Bucks Creek Unit #1,33,PGAE,PG&E,HYDRO,HYDRO,WATER,NP15,PGE3,1/1/1928,,NF Feather River,33,A
3902,Non-Participating,No,No,BUCKCK7UNIT2,Bucks Creek Unit #2,32.5,PGAE,PG&E,HYDRO,HYDRO,WATER,NP15,PGE3,1/1/1928,,NF Feather River,32.5,A
37400,Participating Unit,No,No,WNDMAS2UNIT1,"BUENA VISTA ENERGY, LLC",38,PGAE,"Buena Vista Energy, LLC",WIND,WIND,WIND,NP15,PGE3,12/24/1983,Formerly PGE QF 01W001,,38,A
37500,Participating Unit,Yes,No,BURNYF2UNIT1,BURNEY FOREST PRODUCTS,35.7,PGAE,Pacific Gas & Electric Company,BIOMASS,STEAM,WOOD WASTE,NP15,PGE3,10/17/1989,PGE QF 13C038,,35.7,A
1800,Participating Unit,Yes,No,VALLEY7BADLND,Badlands Landfill Gas to Energy Facility,1.3,SCE,Riverside County Waste Management Dept,BIOMASS,RECIPROCATING ENGINE,LANDFILL GAS,SP15,SCE1,8/7/2001,,,1.2,A
36100,Participating Unit,Yes,No,BRDGVL7BAKER,Baker Station Hydro,1.49,PGAE,"Baker Station Associates, LP",HYDRO,HYDRO,WATER,NP15,PGE3,12/10/1987,Was PGE QF 19H002,,1.5,A
126200,Participating Unit,No,No,BKRFLD2SOLAR1,Bakersfield 111,1.38,PGAE,"Bakersfield 111, LLC",SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE3,7/28/2015,,,1.4,A
1900,Participating Unit,No,No,BALCHS7UNIT1,Balch 1,33,PGAE,PG&E,HYDRO,HYDRO,WATER,NP15,PGE3,1/1/1927,,Kings River,34,A
2000,Participating Unit,No,No,BALCHS7UNIT2,Balch 2,52.5,PGAE,PG&E,HYDRO,HYDRO,WATER,NP15,PGE3,1/1/1958,,Kings River,52.5,A
2100,Participating Unit,No,No,BALCHS7UNIT3,Balch 3,54.6,PGAE,PG&E,HYDRO,HYDRO,WATER,NP15,PGE3,1/1/1958,,Kings River,54.6,A
95500,Participating Unit,No,Yes,BARRE6PEAKER,Barre Peaker,47,SCE,SCE,PEAKER,COMBUSTION TURBINE,NATURAL GAS,SP15,SCE1,9/20/2007,,,49,A
71900,Participating Unit,Yes,No,TKOPWR6HYDRO,Bear Creek Hydroelectric Project,2.83,PGAE,"Enel Green Power North America, Inc.",HYDRO,HYDRO,WATER,NP15,PGE3,1/15/1986,Formerly PGE QF 13H040,,3.2,A
116900,Participating Unit,No,No,LOCKFD1BEARCK,Bear Creek Solar,1.5,PGAE,Ecos Energy LLC,SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE2,2/5/2014,,,1.5,A
2300,Participating Unit,No,No,BEARDS7UNIT1,Beardsley Hydro,11.5,PGAE,City of Santa Clara DBA Silicon Valley Power,HYDRO,HYDRO,WATER,NP15,PGE3,1/1/1957,,Stanislaus River,11.5,A
2400,Participating Unit,No,No,BELDEN7UNIT1,Belden PH,119,PGAE,PG&E,HYDRO,HYDRO,WATER,NP15,PGE3,1/1/1969,,NF Feather River,119,A
98600,Participating Unit,Yes,Yes,TENGEN2PL1X2,Berry Cogen 42,40.2,SCE,Berry Petroleum Co,COGENERATION,COMBUSTION TURBINE,NATURAL GAS,SP15,SCE1,3/6/1990,,,43.52,A
36600,Non-Participating,Yes,No,TENGEN6UNIT1,Berry Cogen 42 Unit 1,22.7,SCE,Berry Petroleum Company,COGENERATION,COMBUSTION TURBINE,NATURAL GAS,SP15,SCE1,3/6/1990,,,21.76,A
2500,Non-Participating,Yes,No,TENGEN6UNIT2,Berry Cogen 42 Unit 2,17.5,SCE,Berry Petroleum Company,COGENERATION,COMBUSTION TURBINE,NATURAL GAS,SP15,SCE1,1/1/1990,,,21.76,A
116500,Participating Unit,No,No,OLDRIV6BIOGAS,Bidart Old River 1,2,PGAE,ABEC Bidart-Old River LLC,BIOMASS,RECIPROCATING ENGINE,LANDFILL GAS,NP15,PGE2,3/10/2014,,,2,A
2800,Participating Unit,No,No,BIGCRK7DAM7,Big Creek Dam 7 FWG,0.3,SCE,SCE,HYDRO,HYDRO,WATER,SP15,SCE1,1/1/1986,,,0.3,A
138200,Participating Unit,No,No,BIGSKY2SOLAR7,Big Sky Solar 1,50,SCE,"Antelope DSR 1, LLC",SOLAR,PHOTO VOLTAIC,SUN,SP15,SCE1,12/15/2016,,,50,A
137700,Participating Unit,No,No,BIGSKY2SOLAR5,Big Sky Solar 2,5,SCE,"Antelope DSR 2, LLC",SOLAR,PHOTO VOLTAIC,SUN,SP15,SCE1,11/30/2016,,,5,A
137900,Participating Unit,No,No,BIGSKY2SOLAR2,Big Sky Solar 4,40,SCE,Elevation Solar C LLC,SOLAR,PHOTO VOLTAIC,SUN,SP15,SCE1,12/3/2016,,,40,A
3300,Participating Unit,No,No,BLCKBT2STONEY,Black Butte Hydro,6.2,PGAE,City of Santa Clara DBA Silicon Valley Power,HYDRO,HYDRO,WATER,NP15,PGE3,1/1/1988,,,6.2,A
84700,Participating Unit,Yes,Yes,OLINDA7BLKSND,Blacksand Generating Facility,8,SCE,"Linn Western Processing, LLC",PEAKER,COMBUSTION TURBINE,WASTE GAS,SP15,SCE1,6/1/2000,,,8,A
124600,Participating Unit,No,No,BLCKWL6SOLAR1,Blackwell Solar,12,PGAE,"Blackwell Solar, LLC",SOLAR,PHOTO VOLTAIC,SUN,ZP26,PGE4,4/16/2015,,,12,A
98900,Participating Unit,No,Yes,BUCKBL2PL1X3,Blythe Energy Project,493.63,SCE,"Blythe Energy, LLC",THERMAL,COMBINED CYCLE,NATURAL GAS,SP15,SCE1,6/11/2010,,,537,A
98901,Non-Participating,No,No,BUCKBL2CTG11,Blythe CTG 11,182,SCE,"Blythe Energy, LLC ",THERMAL,COMBUSTION TURBINE,NATURAL GAS,SP15,SCE1,6/11/2010,,,176,A
98902,Non-Participating,No,No,BUCKBL2CTG12,Blythe CTG 12,182,SCE,"Blythe Energy, LLC ",THERMAL,COMBUSTION TURBINE,NATURAL GAS,SP15,SCE1,6/11/2010,,,176,A
98903,Non-Participating,No,No,BUCKBL2STG10,Blythe STG,227,SCE,"Blythe Energy, LLC",THERMAL,STEAM,NATURAL GAS,SP15,SCE1,6/11/2010,,,185,A
98200,Participating Unit,No,No,BLYTHE1SOLAR1,Blythe Solar 1 Project,21,SCE,NRG Solar Blythe LLC,SOLAR,PHOTO VOLTAIC,SUN,SP15,SCE1,12/18/2009,,,21,A
95900,Participating Unit,No,No,GEYS172BOTRCK,Bottle Rock Geo Steam,17,PGAE,"Bottle Rock Power, LLC",GEOTHERMAL,STEAM,GEOTHERMAL,NP15,PGE3,9/22/2007,,,55,A
134600,Participating Unit,No,Yes,SANTGO2LNDFL1,Bowerman Power,19.6,SCE,Bowerman Power,BIOGAS,RECIPROCATING ENGINE,LANDFILL GAS,SP15,SCE1,4/27/2016,,,20,A
106900,Participating Unit,No,No,OLINDA2LNDFL2,Brea Power II,28.1,SCE,Brea Power II LLC,THERMAL,COMBINED CYCLE,LANDFILL GAS,SP15,SCE1,11/1/2012,,,28.1,A
3800,Participating Unit,No,No,BRDWAY7UNIT3,Broadway 3,65,SCE,PAS,THERMAL,STEAM,NATURAL GAS,SP15,PAS1,1/1/1965,,,65,A
134200,Participating Unit,No,No,DTCHWD2BT3WND,Brookfield Tehachapi 3,4.5,SCE,Coram Energy LLC,WIND,WIND,WIND,SP15,SCE1,4/22/1986,,,4.5,A
134300,Participating Unit,No,No,DTCHWD2BT4WND,Brookfield Tehachapi 4,6.52,SCE,"Coram Tehachapi, L.P.",WIND,WIND,WIND,SP15,SCE1,4/22/1986,,,7.1,A
113000,Participating Unit,No,No,JAKVAL6UNITG1,Buena Vista Biomass,17.84,PGAE,"Buena Vista Biomass Power, LLC",BIOMASS,STEAM,WOOD WASTE,NP15,PGE2,1/3/2013,,,20,A
29400,Participating Unit,Yes,No,SPBURN2UNIT1,Burney Biomass,22,PGAE,Sierra Pacific Industries,BIOMASS,STEAM,WOOD WASTE,NP15,PGE3,1/1/1986,Formerly QF 13C049,,20,A
4000,Participating Unit,No,No,BUTTVL7UNIT1,Butt Valley PH,40,PGAE,PG&E,HYDRO,HYDRO,WATER,NP15,PGE3,1/1/1958,,NF Feather River,41,A
37600,Participating Unit,Yes,No,CONTRL1OXBOW,"CAITHNESS DIXIE VALLEY, LLC",64.7,SCE,Southern California Edison Company,GEOTHERMAL,STEAM,GEOTHERMAL,SP15,SCE1,6/14/1988,"SCE QF 3011. Located in Nevada, but feeds into SCEs Control Station.",,49.8,A
135400,Participating Unit,No,No,VESTAL2UNIT1,CALGREN-PIXLEY,11.2,SDGE,GFP Ethanol LLC,THERMAL,COMBUSTION TURBINE,NATURAL GAS,SP15,SCE1,6/30/2016,,,5,A
