ISO Index,Classification,QF,Aggregate,Resource_ID,Name_Description,NetCap,PTO Area,Owner or QF ID,Fuel Type,Unit Type,ISO Classification,Zone,Demand Zone,Operating Date,River System,Nameplate Capacity,Status - A=Active; C - Contracted outside CAISO,Capacity Factor,Average Heat Rate
10300,Participating Unit,No,No,ENCINA_7_EA5,Encina,330,SDGE,"Cabrillo Power I, LLC",NATURAL GAS,STEAM,THERMAL,SP15,SDG1,1/1/1978,,345.6,A,,13.74349525
93000,Participating Unit,No,Yes,PALOMR_2_PL1X3,PALOMAR ENERGY CENTER,575,SDGE,San Diego Gas & Electric,NATURAL GAS,COMBINED CYCLE,THERMAL,SP15,SDG1,3/31/2006,,595,A,,11.08579554
98000,Participating Unit,No,No,OTMESA_2_PL1X3,Otay ,603.68,SDGE,"Otay Mesa Energy Center, LLC",NATURAL GAS,COMBINED CYCLE,THERMAL,SP15,SDG1,10/3/2009,,669,A,,11.00844857
60500,Participating Unit,Yes,No,PTLOMA_6_NTCQF,NTC/MCRD COGENERATION,22.3,SDGE,SDG&E Exempt,NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SDG1,1/1/1989,,22.3,A,,10.53767547
99100,Participating Unit,No,No,ELCAJN_6_LM6K,El Cajon,48.1,SDGE,"El Cajon Energy, LLC",NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,6/16/2010,,49.9,A,,10.04497407
43900,Participating Unit,Yes,Yes,SAMPSN_6_KELCO1,CP Kelco Cogeneration Facility,25,SDGE,"CP Kelco U.S., Inc.",NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SDG1,3/5/2014,,26.95,A,,9.929203496
89600,Participating Unit,Yes,No,NGILAA_5_SDGDYN,NORTH GILA INTERCHANGE SCHEDULE (YUMA COGENERATION ASSOCIATION),57,SDGE,San Diego Gas and Electric Company,NATURAL GAS,COMBUSTION TURBINE,DYNAMIC SCHEDULED,SP15,SDG1,3/15/1994,,56.5,C,,9.929203496
97700,Participating Unit,No,No,MRGT_6_MEF2,Miramar ,47.9,SDGE,SDG&E,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,8/7/2009,,49.5,A,,9.809685334
92100,Participating Unit,No,No,MRGT_6_MMAREF,MIRAMAR ENERGY FACILITY,48,SDGE,San Diego Gas & Electric,NATURAL GAS,PEAKER,PEAKER,SP15,SDG1,7/27/2005,,46.7,A,,9.809685334
137200,Participating Unit,No,No,PIOPIC_2_CTG1,Pio Pico ,106,SDGE,Pio Pico Energy Center,NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SDG1,11/3/2016,,106,A,,9.78250659
137300,Participating Unit,No,No,PIOPIC_2_CTG2,Pio Pico ,106,SDGE,Pio Pico Energy Center,NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SDG1,11/3/2016,,106,A,,9.78250659
137400,Participating Unit,No,No,PIOPIC_2_CTG3,Pio Pico ,106,SDGE,Pio Pico Energy Center,NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SDG1,11/3/2016,,106,A,,9.78250659
60100,Participating Unit,Yes,No,NIMTG_6_NIQF,North Island,42.7,SDGE,SDG&E Exempt,NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SDG1,1/1/1989,,34.5,A,,9.552117161
135400,Participating Unit,No,No,VESTAL_2_UNIT1,CALGREN-PIXLEY,11.2,SDGE,GFP Ethanol LLC,NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SCE1,6/30/2016,,5,A,,9.54176644
84000,Participating Unit,No,No,LAROA1_2_UNITA1,CICLO COMBINADO MEXICALI,180,SDGE,Energia Azteca X,NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SDG1,7/20/2003,,181.5,A,,9.54176644
94900,Participating Unit,No,Yes,ESCNDO_6_PL1X2,Escondido Energy Center,48.71,SDGE,"Escondido Energy Center, LLC",NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SDG1,6/7/2006,,49.5,A,,9.54176644
83900,Participating Unit,No,Yes,LAROA2_2_UNITA1,CENTRAL LA ROSITA II COMBINED CYCLE (AGGREGATE),322,SDGE,Energia de Baja California,NATURAL GAS,COMBINED CYCLE,THERMAL,SP15,SDG1,7/22/2003,,336.5,A,,9.248566127
84300,Participating Unit,No,Yes,TERMEX_2_PL1X3,TERMOELCTRICA DE MEXICALI (Aggregate),625,SDGE,Termoelectrica De Mexicali,NATURAL GAS,COMBINED CYCLE,THERMAL,SP15,SDG1,7/30/2003,,668,A,,9.248566127
48200,Participating Unit,Yes,No,ESCO_6_GLMQF,Goal Line Cogen,49.9,SDGE,"Goal Line, L.P.",NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SDG1,1/1/1994,,52.2,A,,8.881998014
44800,Participating Unit,Yes,Yes,DIVSON_6_NSQF,Division,47,SDGE,SDG&E Exempt,NATURAL GAS,COMBINED CYCLE,COGENERATION,SP15,SDG1,1/1/1989,,48.6,A,,8.02602874
60300,Participating Unit,Yes,No,NIMTG_6_NICOGN,North Island,4.05,SDGE,SDG&E Exempt,HEAT RECOVERY,STEAM,COGENERATION,SP15,SDG1,1/1/1989,,4.05,A,,
60600,Participating Unit,Yes,No,PTLOMA_6_NTCCGN,AEI MCRD STEAM TURBINE,2.58,SDGE,SDG&E Exempt,HEAT RECOVERY,STEAM,COGENERATION,SP15,SDG1,1/1/1989,,2.58,A,,
101400,Participating Unit,No,No,CHILLS_1_SYCENG,Sycamore Energy 1,1.5,SDGE,Sycamore Energy 1 LLC,LANDFILL GAS,COMBUSTION TURBINE,BIOMASS,SP15,SDG1,5/19/2011,,1.9,A,0.308,
57300,Participating Unit,Yes,No,MSHGTS_6_MMARLF,Miramar,5,SDGE,"MM San Diego, LLC (Formerly QFID 450)",LANDFILL GAS,RECIPROCATING ENGINE,BIOMASS,SP15,SDG1,5/21/2003,,6.5,A,,
94500,Participating Unit,No,Yes,OTAY_7_UNITC1,Otay,3.3,SDGE,"Otay Landfill Gas, LLC",LANDFILL GAS,RECIPROCATING ENGINE,BIOMASS,SP15,SDG1,3/8/2007,,3.75,A,0.779,
117600,Participating Unit,Yes,No,OTAY_6_LNDFL5,Otay,1.5,SDGE,"Otay Landfill Gas, LLC",LANDFILL GAS,RECIPROCATING ENGINE,BIOMASS,SP15,SDG1,3/14/2014,,1.5,A,0.779,
117700,Participating Unit,Yes,No,OTAY_6_LNDFL6,Otay,1.5,SDGE,"Otay Landfill Gas, LLC",LANDFILL GAS,RECIPROCATING ENGINE,BIOMASS,SP15,SDG1,3/14/2014,,1.5,A,0.779,
62000,Participating Unit,Yes,Yes,OTAY_6_UNITB1,Otay,3,SDGE,"Otay Landfill Gas, LLC",LANDFILL GAS,RECIPROCATING ENGINE,BIOMASS,SP15,SDG1,1/1/1987,,3,A,0.779,
63800,Participating Unit,Yes,Yes,CBRLLO_6_PLSTP1,POINT LOMA WASTEWATER TREATMENT PLANT,4.83,SDGE,City of San Diego (Formerly QFID 464),LANDFILL GAS,RECIPROCATING ENGINE,BIOMASS,SP15,SDG1,1/1/1985,,7.12,A,,
63600,Participating Unit,Yes,No,CPSTNO_7_PRMADS,Prima,6.1,SDGE,"MM Biogas Power, LLC (Formerly QF ID 448)",LANDFILL GAS,RECIPROCATING ENGINE,BIOMASS,SP15,SDG1,1/1/1999,,6.1,A,0.802,
101500,Participating Unit,No,No,SMRCOS_6_LNDFIL,San Marcos Energy,1.5,SDGE,San Marcos Energy LLC,LANDFILL GAS,RECIPROCATING ENGINE,BIOMASS,SP15,SDG1,5/20/2011,,1.6,A,,
90600,Participating Unit,No,No,CHILLS_7_UNITA1,SYCAMORE CANYON LANDFILL PLANT B,2,SDGE,Gas Recovery Systems,LANDFILL GAS,RECIPROCATING ENGINE,BIOMASS,SP15,SDG1,7/14/2004,,3,A,,
131600,Participating Unit,No,No,CALPSS_6_SOLAR1,Calipatria Solar Farm,19.9,SDGE,Imperial Irrigation District,SUN,PHOTO VOLTAIC,DYNAMIC SCHEDULED,SP15,IID,2/12/2016,,19.99,C,,
128700,Participating Unit,No,No,ALHMBR_1_ALHSLR,SG Alhambra,50,SDGE,Imperial Irrigation District,SUN,PHOTO VOLTAIC,DYNAMIC SCHEDULED,SP15,SDG1,8/29/2015,,50,C,,
128800,Participating Unit,No,No,ARKANS_1_ARKSLR,SG Arkansas,50,SDGE,Imperial Irrigation District,SUN,PHOTO VOLTAIC,DYNAMIC SCHEDULED,SP15,SDG1,8/29/2015,,50,C,,
128900,Participating Unit,No,No,SNORA_2_SNRSLR,SG Sorrento,50,SDGE,Imperial Irrigation District,SUN,PHOTO VOLTAIC,DYNAMIC SCHEDULED,SP15,SDG1,8/29/2015,,50,C,,
110500,Participating Unit,No,No,ARLVAL_5_SOLAR,Arlington Valley Solar Energy II,127,SDGE,"Arlington Valley Solar Energy II, LLC",SUN,PHOTO VOLTAIC,PSEUDO TIE,SP15,SDG1,10/28/2013,,127,C,,
107700,Participating Unit,No,No,BREGGO_6_SOLAR,NRG Borrego Solar One,26,SDGE,NRG Solar Borrego I LLC,SUN,PHOTO VOLTAIC,SOLAR,ZP26,SDG1,2/12/2013,,26,A,,
103500,Participating Unit,No,No,AGUCAL_5_SOLAR1,Agua Caliente Solar,290,SDGE,"Agua Caliente Solar, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,PGE3,6/10/2014,,290,A,,
110000,Participating Unit,No,No,CPVERD_2_SOLAR,Campo Verde Solar,139,SDGE,"Campo Verde Solar, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,10/22/2013,,150,A,,
119600,Participating Unit,No,No,CNTNLA_2_SOLAR2,Centinela Solar Energy 2,45.6,SDGE,"Centinela Solar Energy, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,8/15/2014,,45.6,A,,
110100,Participating Unit,No,No,CNTNLA_2_SOLAR1,Centinela Solar Energy Facility (Phase I),125,SDGE,"Centinela Solar Energy, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,7/30/2014,,127,A,,
138400,Participating Unit,No,No,VLCNTR_6_VCSLR,Cole Grade,2.33,SDGE,"NLP Valley Center Solar, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,12/7/2016,,2.33,A,,
121000,Participating Unit,No,No,BREGGO_6_DEGRSL,Desert Green Solar Farm,6.3,SDGE,"Desert Green Solar Farm, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,11/26/2014,,6.5,A,,
127000,Participating Unit,No,No,IVWEST_2_SOLAR1,Imperial Solar Energy Center West,150,SDGE,"CSolar IV West, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,1/21/2016,,153.6,A,,
109800,Participating Unit,No,No,CSLR4S_2_SOLAR,Imperial Valley (Csolar IV),130,SDGE,"CSOLAR IV South, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,10/11/2013,,130,A,,
136400,Participating Unit,No,No,LILIAC_6_SOLAR,Mesa Crest,3,SDGE,"NLP Granger A82, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,9/17/2016,,3,A,,
138100,Participating Unit,No,No,MSOLAR_2_SOLAR3,"Mesquite Solar 3, LLC",152,SDGE,"Mesquite Solar 3, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,,,152,A,,
115600,Participating Unit,No,No,CRELMN_6_RAMON1,Ramona 1,2,SDGE,"Sol Orchard San Diego 20, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,12/31/2013,,2,A,,
115700,Participating Unit,No,No,CRELMN_6_RAMON2,Ramona 2,5,SDGE,"Sol Orchard San Diego 21, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,12/31/2013,,5,A,,
130900,Participating Unit,No,No,ANZA_6_SOLAR1,Seville Solar One,20,SDGE,Seville Solar One LLC,SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,12/30/2015,,20,C,,
110200,Participating Unit,No,No,IVSLRP_2_SOLAR1,Silver Ridge Mount Signal,200,SDGE,Silver Ridge Mount Signal,SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,3/4/2014,,200,A,,
115400,Participating Unit,No,No,VLCNTR_6_VCSLR1,Valley Center 1,2.5,SDGE,"Sol Orchard San Diego 22, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,12/31/2013,,2.5,A,,
115500,Participating Unit,No,No,VLCNTR_6_VCSLR2,Valley Center 2,5,SDGE,"Sol Orchard San Diego 23, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,12/31/2013,,5,A,,
94800,Participating Unit,No,No,CCRITA_7_RPPCHF,Rancho Penasquitos Hydro Facility,5.25,SDGE,San Diego County Water Authority,WATER,HYDRO,HYDRO,SP15,SDG1,1/23/2007,,4.65,A,,
102300,Participating Unit,No,No,LAKHDG_6_UNIT 1,Lake Hodges Pump Station 1 - Unit 1,20,SDGE,San Diego County Water Authority,WATER,PUMPED STORAGE,HYDRO,SP15,SDG1,9/8/2011,,20,A,,
105500,Participating Unit,No,No,LAKHDG_6_UNIT 2,Lake Hodges Pumped Storage-Unit2,20.15,SDGE,San Diego County Water Authority,WATER,PUMPED STORAGE,HYDRO,SP15,SDG1,8/27/2012,,20,A,,
57400,Participating Unit,Yes,Yes,MSSION_2_QF,MISSION AREA LUMPED UNITS,50,SDGE,VARIOUS,WATER,VARIOUS,VARIOUS,SP15,SDG1,1/1/1980,,19.03,A,,
124200,Participating Unit,No,No,ENERSJ_2_WIND,ESJ Wind Energy,155.1,SDGE,"Energia Sierra Juarez, S. de R.L. de C.V.",WIND,WIND,WIND,SP15,SDG1,,,155.1,A,,
92600,Participating Unit,No,No,CRSTWD_6_KUMYAY,KUMEYAAY WIND FARM,50,SDGE,Kumeyaay Wind LLC,WIND,WIND,WIND,SP15,SDG1,12/21/2005,,50,A,,
112500,Participating Unit,No,No,OCTILO_5_WIND,Ocotillo Wind Energy Facility,265,SDGE,Ocotillo Express LLC,WIND,WIND,WIND,SP15,SDG1,7/30/2013,,265.4,A,,
104800,Participating Unit,No,No,ROSMDW_2_WIND1,Pacific Wind - Phase 1,140,SDGE,"Pacific Wind, LLC",WIND,WIND,WIND,SP15,SDG1,,,140,A,,
84700,Participating Unit,Yes,Yes,OLINDA_7_BLKSND,Blacksand Generating Facility,8,SCE,"Linn Western Processing, LLC",WASTE GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,6/1/2000,,8,A,,105.6969562
20800,Participating Unit,No,No,MNDALY_7_UNIT 3,Mandalay 3 GT,130,SCE,"RRI Energy Mandalay, Inc.",NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,,,130,A,,30.24225083
95000,Participating Unit,No,No,HINSON_6_LBECH1,Long Beach - Unit 1,65,SCE,Long Beach Generation LLC,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,8/1/2007,,70,A,,16.67333813
95100,Participating Unit,No,No,HINSON_6_LBECH2,Long Beach - Unit 2,65,SCE,Long Beach Generation LLC,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,8/1/2007,,70,A,,16.67333813
95200,Participating Unit,No,No,HINSON_6_LBECH3,Long Beach - Unit 3,65,SCE,Long Beach Generation LLC,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,8/1/2007,,70,A,,16.67333813
95300,Participating Unit,No,No,HINSON_6_LBECH4,Long Beach - Unit 4,65,SCE,Long Beach Generation LLC,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,8/1/2007,,70,A,,16.67333813
8400,Participating Unit,No,Yes,DREWS_6_PL1X4,DREWS (AGGREGATE),41.4,SCE,"Colton Power, LP",NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,8/14/2001,,43,A,,15.58430718
4900,Participating Unit,No,Yes,CENTRY_6_PL1X4,CENTURY (AGGREGATE),41.4,SCE,"Colton Power, LP",NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,9/17/2001,,43,A,,15.07254902
65200,Participating Unit,Yes,No,VESTAL_6_ULTRGN,RIO BRAVO JASMIN,38,SCE,Southern California Edison Company,PETROLEUM COKE,STEAM,COGENERATION,SP15,SCE1,11/2/1989,,37,A,,14.68767462
88800,Participating Unit,No,No,VERNON_6_GONZL1,H. GONZALES GAS TURBINE 1,5.75,SCE,City of Vernon,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,VRN1,,,5.75,A,,14.61401952
88900,Participating Unit,No,No,VERNON_6_GONZL2,H. GONZALES GAS TURBINE 2,5.75,SCE,City of Vernon,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,VRN1,,,5.75,A,,14.61401952
80700,Participating Unit,No,Yes,RVSIDE_6_SPRING,Springs Generation Project,36,SCE,City of Riverside (MSSA),NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,6/13/2002,,38,A,,14.19217082
83400,Participating Unit,No,No,COLTON_6_AGUAM1,AGUA MANSA GENERATING FACILITY,43,SCE,City of Colton,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,6/27/2003,,43,A,,13.8123968
1500,Participating Unit,No,No,ANAHM_7_CT,ANAHEIM COMBUSTION TURBINE,42.81,SCE,City of Anaheim (MSS Agreement - S14),NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,ANA1,1/1/1990,,49.2,A,,13.8123968
95500,Participating Unit,No,Yes,BARRE_6_PEAKER,Barre Peaker,47,SCE,SCE,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,9/20/2007,,49,A,,13.8123968
95700,Participating Unit,No,No,CENTER_6_PEAKER,Center Peaker,47,SCE,SCE,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,9/20/2007,,49,A,,13.8123968
95400,Participating Unit,No,No,ETIWND_6_GRPLND,Grapeland Peaker,46,SCE,SCE,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,9/20/2007,,49,A,,13.8123968
17000,Participating Unit,No,No,INDIGO_1_UNIT 1,Indigo Energy 1,44,SCE,Wildflower Energy,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,9/19/2001,,45,A,,13.8123968
17100,Participating Unit,No,No,INDIGO_1_UNIT 2,Indigo Energy 2,44.53,SCE,Wildflower Energy,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,9/19/2001,,45,A,,13.8123968
17200,Participating Unit,No,No,INDIGO_1_UNIT 3,Indigo Energy 3,43.69,SCE,Wildflower Energy,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,9/19/2001,,45,A,,13.8123968
106700,Participating Unit,No,No,MNDALY_6_MCGRTH,McGrath Beach Peaker,47.2,SCE,Southern California edison,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,11/1/2012,,47.2,A,,13.8123968
9700,Participating Unit,No,No,GOLETA_6_ELLWOD,Ellwood Generating Station,54,SCE,"RRI Energy Coolwater, Inc.",NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,,,56,A,,13.4427907
24100,Participating Unit,No,No,ORMOND_7_UNIT 1,Ormond Beach Unit 1,741.27,SCE,"RRI Energy Ormond Beach, Inc.",NATURAL GAS,STEAM,THERMAL,SP15,SCE1,1/1/1971,,750,A,,13.30182614
24200,Participating Unit,No,No,ORMOND_7_UNIT 2,Ormond Beach Unit 2,775,SCE,"RRI Energy Ormond Beach, Inc.",NATURAL GAS,STEAM,THERMAL,SP15,SCE1,1/1/1971,,750,A,,13.30182614
10800,Participating Unit,No,No,ETIWND_7_UNIT 3,ETIWANDA UNIT 3,320,SCE,"RRI Energy Etiwanda, Inc.",NATURAL GAS,STEAM,THERMAL,SP15,SCE1,,,333,A,,13.0769182
10900,Participating Unit,No,No,ETIWND_7_UNIT 4,ETIWANDA UNIT 4,320,SCE,"RRI Energy Etiwanda, Inc.",NATURAL GAS,STEAM,THERMAL,SP15,SCE1,,,333,A,,13.0769182
600,Participating Unit,No,No,ALAMIT_7_UNIT 1,Alamitos 1,174.56,SCE,AES,NATURAL GAS,STEAM,THERMAL,SP15,SCE1,1/1/1956,,175,A,,12.99839663
700,Participating Unit,No,No,ALAMIT_7_UNIT 2,Alamitos 2,175,SCE,AES,NATURAL GAS,STEAM,THERMAL,SP15,SCE1,1/1/1957,,176,A,,12.99839663
800,Participating Unit,No,No,ALAMIT_7_UNIT 3,Alamitos 3,332.18,SCE,AES,NATURAL GAS,STEAM,THERMAL,SP15,SCE1,1/1/1961,,322,A,,12.99839663
900,Participating Unit,No,No,ALAMIT_7_UNIT 4,Alamitos 4,335.67,SCE,AES,NATURAL GAS,STEAM,THERMAL,SP15,SCE1,1/1/1962,,320,A,,12.99839663
1000,Participating Unit,No,No,ALAMIT_7_UNIT 5,Alamitos 5,497.97,SCE,AES,NATURAL GAS,STEAM,THERMAL,SP15,SCE1,1/1/1999,,482,A,,12.99839663
1100,Participating Unit,No,No,ALAMIT_7_UNIT 6,Alamitos 6,495,SCE,AES,NATURAL GAS,STEAM,THERMAL,SP15,SCE1,1/1/1966,,481,A,,12.99839663
3800,Participating Unit,No,No,BRDWAY_7_UNIT 3,Broadway 3,65,SCE,PAS,NATURAL GAS,STEAM,THERMAL,SP15,PAS1,1/1/1965,,65,A,,12.99839663
16500,Participating Unit,No,No,HNTGBH_7_UNIT 1,Huntington Beach 1,225.75,SCE,AES,NATURAL GAS,STEAM,THERMAL,SP15,SCE1,,,226,A,,12.99839663
16600,Participating Unit,No,No,HNTGBH_7_UNIT 2,Huntington Beach 2,225.8,SCE,AES,NATURAL GAS,STEAM,THERMAL,SP15,SCE1,,,226,A,,12.99839663
27600,Participating Unit,No,No,REDOND_7_UNIT 5,Redondo Unit 5,178.87,SCE,AES,NATURAL GAS,STEAM,THERMAL,SP15,SCE1,1/1/1954,,175,A,,12.99839663
27700,Participating Unit,No,No,REDOND_7_UNIT 6,Redondo Unit 6,175,SCE,AES,NATURAL GAS,STEAM,THERMAL,SP15,SCE1,1/1/1957,,175,A,,12.99839663
27800,Participating Unit,No,No,REDOND_7_UNIT 7,Redondo Unit 7,505.96,SCE,AES,NATURAL GAS,STEAM,THERMAL,SP15,SCE1,1/1/1967,,480,A,,12.99839663
27900,Participating Unit,No,No,REDOND_7_UNIT 8,Redondo Unit 8,495.9,SCE,AES,NATURAL GAS,STEAM,THERMAL,SP15,SCE1,1/1/1967,,480,A,,12.99839663
90700,Participating Unit,No,Yes,HARBGN_7_UNITS,HARBOR COGEN COMBINED CYCLE PLANT,109.01,SCE,Harbor Cogeneration Company,NATURAL GAS,COMBINED CYCLE,THERMAL,SP15,SCE1,6/14/2001,,107.45,A,,12.03676457
45900,Participating Unit,Yes,No,GOLETA_6_EXGEN,"EXXON COMPANY, USA",48.2,SCE,Southern California Edison Company,NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SCE1,8/19/1993,,49,A,,11.5
98900,Participating Unit,No,Yes,BUCKBL_2_PL1X3,Blythe Energy Project,493.63,SCE,"Blythe Energy, LLC",NATURAL GAS,COMBINED CYCLE,THERMAL,SP15,SCE1,6/11/2010,,537,A,,11.29797621
91700,Participating Unit,No,Yes,LEBECS_2_UNITS,PASTORIA ENERGY FACILITY,799.47,SCE,Calpine,NATURAL GAS,COMBINED CYCLE,THERMAL,SP15,SCE1,5/4/2005,,800,A,,11.01068723
20600,Participating Unit,No,No,MNDALY_7_UNIT 1,Mandalay 1,215,SCE,"RRI Energy Mandalay, Inc.",NATURAL GAS,STEAM,THERMAL,SP15,SCE1,1/1/1959,,215,A,,10.68196547
20700,Participating Unit,No,No,MNDALY_7_UNIT 2,Mandalay 2,215.29,SCE,"RRI Energy Mandalay, Inc.",NATURAL GAS,STEAM,THERMAL,SP15,SCE1,1/1/1959,,215,A,,10.68196547
