TSMachine,UnitType,EDMargCostMW,FuelType,BusNum,BusName,ID,Status,MW,Mvar,VoltSet,AGC,AVR,MWMin,MWMax,MvarMin,MvarMax,CostModel,PartFact
,PV (Photovoltaic),0,SUN (Solar),1063,BIG SPRING 6 2,1,Open,0,0,1.01,NO,YES,69,230,0,0,Cubic,230
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),1066,BIG SPRING 3 1,1,Closed,106.88,-0.83,1,NO,YES,42.75,142.5,-20.52,30.35,Cubic,142.5
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),1070,IRAAN 1 1,1,Closed,120.38,25.49,1.04,NO,YES,48.15,160.5,-23.11,34.19,Cubic,160.5
GENROU,GT (Gas Turbine),18.54,NG (Natural Gas),1072,ODESSA 1 1,1,Closed,191.59,30.82,1.01,YES,YES,57.64,192.13,-21.33,97.8,Cubic,192.13
GENROU,GT (Gas Turbine),18.54,NG (Natural Gas),1073,ODESSA 1 2,1,Closed,191.59,35.97,1.01,YES,YES,57.64,192.13,-21.33,97.8,Cubic,192.13
GENROU,GT (Gas Turbine),18.54,NG (Natural Gas),1074,ODESSA 1 3,1,Closed,191.59,32.68,1.01,YES,YES,57.64,192.13,-21.33,97.8,Cubic,192.13
GENROU,GT (Gas Turbine),18.54,NG (Natural Gas),1075,ODESSA 1 4,1,Closed,191.59,34.38,1.01,YES,YES,57.64,192.13,-21.33,97.8,Cubic,192.13
GENROU,GT (Gas Turbine),0,NG (Natural Gas),1076,ODESSA 1 5,1,Open,0,0,1.01,YES,YES,57.64,192.13,-21.33,97.8,Cubic,192.13
GENROU,GT (Gas Turbine),0,NG (Natural Gas),1077,ODESSA 1 6,1,Open,0,0,1.01,YES,YES,57.64,192.13,-21.33,97.8,Cubic,192.13
GENROU,GT (Gas Turbine),17.78,NG (Natural Gas),1078,ODESSA 1 7,1,Closed,95.23,18.16,1.01,YES,YES,28.65,95.5,-10.6,48.61,Cubic,95.5
GENROU,GT (Gas Turbine),17.78,NG (Natural Gas),1079,ODESSA 1 8,1,Closed,95.23,-10.6,1.01,YES,YES,28.65,95.5,-10.6,48.61,Cubic,95.5
GENROU,GT (Gas Turbine),17.78,NG (Natural Gas),1080,ODESSA 1 9,1,Closed,95.23,14.9,1.01,YES,YES,28.65,95.5,-10.6,48.61,Cubic,95.5
GENROU,GT (Gas Turbine),0,NG (Natural Gas),1081,ODESSA 1 10,1,Open,0,0,1.01,YES,YES,85.95,286.5,-31.8,145.83,Cubic,286.5
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),1082,FORT STOCKTON 2 0,1,Closed,112.5,-21.6,1,NO,YES,45,150,-21.6,31.95,Cubic,150
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),1084,BIG SPRING 2 0,1,Closed,86.62,24.6,1.04,NO,YES,34.65,115.5,-16.63,24.6,Cubic,115.5
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),1088,MCCAMEY 2 0,1,Closed,56.25,-0.29,1,NO,YES,22.5,75,-10.8,15.97,Cubic,75
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),1090,GOLDSMITH 0,1,Closed,114.37,31.03,1.02,NO,YES,45.75,152.5,-21.96,32.48,Cubic,152.5
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),1090,GOLDSMITH 0,2,Closed,27,7.67,1.02,NO,YES,10.8,36,-5.18,7.67,Cubic,36
GENROU,GT (Gas Turbine),0,NG (Natural Gas),2004,SAVOY 2,1,Open,0,0,1.02,YES,YES,117.54,391.8,-43.49,199.43,Cubic,391.8
GENROU,GT (Gas Turbine),0,NG (Natural Gas),2005,SAVOY 3,1,Open,0,0,1.02,YES,YES,117.54,391.8,-43.49,199.43,Cubic,391.8
GENROU,GT (Gas Turbine),0,NG (Natural Gas),2006,SAVOY 4,1,Open,0,0,1.02,YES,YES,117.54,391.8,-43.49,199.43,Cubic,391.8
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),2013,PANHANDLE 2 2,1,Closed,150.45,-28.89,1,NO,YES,60.18,200.6,-28.89,42.73,Cubic,200.6
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),2019,PANHANDLE 4 2,1,Open,0,0,1.04,NO,YES,65.4,218,-31.39,46.43,Cubic,218
GENROU,GT (Gas Turbine),17.23,NG (Natural Gas),2023,PARIS 2 2,1,Closed,83.1,18.16,1.02,YES,YES,25,83.33,-9.25,42.42,Cubic,83.33
GENROU,GT (Gas Turbine),17.87,NG (Natural Gas),2024,PARIS 2 3,1,Closed,166.2,26.53,1.02,YES,YES,50,166.67,-18.5,84.83,Cubic,166.67
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),2042,PANHANDLE 3 1,1,Closed,59.7,-11.46,1.01,NO,YES,23.88,79.6,-11.46,16.95,Cubic,79.6
GENROU,ST (Steam Turbine),0,BIT (Bituminous Coal),2056,WICHITA FALLS 1 2,1,Open,0,0,0.99,YES,YES,1.8,6,-0.73,2.8,Cubic,6
GENROU,ST (Steam Turbine),19.35,BIT (Bituminous Coal),2057,WICHITA FALLS 1 3,1,Closed,573.57,-47.07,0.99,YES,YES,216,720,-87.84,335.52,Cubic,720
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),2059,WHITE DEER 1,1,Closed,60,-11.52,1,NO,YES,24,80,-11.52,17.04,Cubic,80
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),2062,VERNON 1 1,1,Closed,101.55,-4.84,1.02,NO,YES,40.62,135.4,-19.5,28.84,Cubic,135.4
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),2071,ARCHER 2 1,1,Closed,112.5,-0.82,1,NO,YES,45,150,-21.6,31.95,Cubic,150
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),2076,JAYTON 3,1,Closed,22.5,6.39,1.04,NO,YES,9,30,-4.32,6.39,Cubic,30
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),2078,MUENSTER 1 1,1,Closed,84.38,3.09,1.02,NO,YES,33.75,112.5,-16.2,23.96,Cubic,112.5
GENROU,GT (Gas Turbine),16.09,NG (Natural Gas),2083,WICHITA FALLS 2 1,1,Closed,19.94,10.18,1.02,YES,YES,6,20,-2.22,10.18,Cubic,20
GENROU,GT (Gas Turbine),0,NG (Natural Gas),2084,WICHITA FALLS 2 2,1,Open,0,0,1.02,YES,YES,6,20,-2.22,10.18,Cubic,20
GENROU,GT (Gas Turbine),0,NG (Natural Gas),2085,WICHITA FALLS 2 3,1,Open,0,0,1.02,YES,YES,12,40,-4.44,20.36,Cubic,40
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),2089,ARCHER 1 1,1,Closed,50.7,0.48,1,NO,YES,20.28,67.6,-9.73,14.4,Cubic,67.6
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),2094,PANHANDLE 5 1,1,Open,0,0,1,NO,YES,3,10,-1.44,2.13,Cubic,10
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),2095,PANHANDLE 5 2,1,Open,0,0,1,NO,YES,23.85,79.5,-11.45,16.93,Cubic,79.5
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),2099,RALLS 1 3,1,Closed,7.5,-0.05,1.02,NO,YES,3,10,-1.44,2.13,Cubic,10
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),2100,RALLS 1 4,1,Closed,112.5,0.58,1.02,NO,YES,45,150,-21.6,31.95,Cubic,150
GENROU,GT (Gas Turbine),0,NG (Natural Gas),2103,SHERMAN 1 2,1,Open,0,0,1,YES,YES,80.32,267.73,-29.72,136.28,Cubic,267.73
GENROU,GT (Gas Turbine),0,NG (Natural Gas),2104,SHERMAN 1 3,1,Open,0,0,1,YES,YES,80.32,267.73,-29.72,136.28,Cubic,267.73
GENROU,GT (Gas Turbine),0,NG (Natural Gas),2105,SHERMAN 1 4,1,Open,0,0,1,YES,YES,80.32,267.73,-29.72,136.28,Cubic,267.73
GENROU,GT (Gas Turbine),18.01,NG (Natural Gas),2115,PARIS 1 2,1,Closed,184.2,-20.5,1,YES,YES,55.41,184.72,-20.5,94.02,Cubic,184.72
GENROU,GT (Gas Turbine),18.01,NG (Natural Gas),2116,PARIS 1 3,1,Closed,184.2,-20.5,1,YES,YES,55.41,184.72,-20.5,94.02,Cubic,184.72
GENROU,GT (Gas Turbine),18.01,NG (Natural Gas),2117,PARIS 1 4,1,Closed,184.2,-20.5,1,YES,YES,55.41,184.72,-20.5,94.02,Cubic,184.72
GENROU,GT (Gas Turbine),18.01,NG (Natural Gas),2118,PARIS 1 5,1,Closed,184.2,-20.5,1,YES,YES,55.41,184.72,-20.5,94.02,Cubic,184.72
GENROU,GT (Gas Turbine),18.01,NG (Natural Gas),2119,PARIS 1 6,1,Closed,184.2,-20.5,1,YES,YES,55.41,184.72,-20.5,94.02,Cubic,184.72
GENROU,GT (Gas Turbine),18.01,NG (Natural Gas),2120,PARIS 1 7,1,Closed,184.2,-2.92,1.01,YES,YES,55.41,184.72,-20.5,94.02,Cubic,184.72
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),2123,PANHANDLE 1 0,1,Closed,136.28,-26.16,1,NO,YES,54.51,181.7,-26.16,38.7,Cubic,181.7
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),2127,MIAMI 0,1,Closed,216.45,-0.02,1.04,NO,YES,86.58,288.6,-41.56,61.47,Cubic,288.6
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3004,SWEETWATER 4 1,1,Closed,28.13,-5.4,1,NO,YES,11.25,37.5,-5.4,7.99,Cubic,37.5
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3017,BLACKWELL 1,1,Closed,127.13,3.68,1.01,NO,YES,50.85,169.5,-24.41,36.1,Cubic,169.5
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3020,CHRISTOVAL 2,1,Closed,112.5,12.59,1.03,NO,YES,45,150,-21.6,31.95,Cubic,150
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3028,ABILENE 2 2,1,Closed,150,42.6,1.04,NO,YES,60,200,-28.8,42.6,Cubic,200
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3034,SNYDER 1 1,1,Closed,97.87,18.15,1.03,NO,YES,39.15,130.5,-18.79,27.8,Cubic,130.5
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3039,ROSCOE 2 2,1,Closed,156.75,44.52,1.04,NO,YES,62.7,209,-30.1,44.52,Cubic,209
GENROU,GT (Gas Turbine),0,NG (Natural Gas),3043,SILVER 2,1,Open,0,0,1.04,YES,YES,0.39,1.3,-0.14,0.66,Cubic,1.3
GENROU,GT (Gas Turbine),0,NG (Natural Gas),3044,SILVER 3,1,Open,0,0,1.04,YES,YES,26.82,89.4,-9.92,45.5,Cubic,89.4
GENROU,GT (Gas Turbine),0,NG (Natural Gas),3045,SILVER 4,1,Open,0,0,1.04,YES,YES,134.1,447,-49.62,227.52,Cubic,447
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3048,ROSCOE 5 2,1,Closed,180.75,51.33,1.04,NO,YES,72.3,241,-34.7,51.33,Cubic,241
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3055,WINGATE 2,1,Closed,183.88,50.05,1.04,NO,YES,73.55,245.17,-35.3,52.22,Cubic,245.17
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3056,WINGATE 3,1,Closed,183.88,31.71,1.04,NO,YES,73.55,245.17,-35.3,52.22,Cubic,245.17
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3057,WINGATE 4,1,Closed,183.88,30.31,1.04,NO,YES,73.55,245.17,-35.3,52.22,Cubic,245.17
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3060,STERLING CITY 1 2,1,Closed,124.22,16.04,1.04,NO,YES,49.69,165.63,-23.85,35.28,Cubic,165.63
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3061,STERLING CITY 1 3,1,Closed,124.22,17.93,1.04,NO,YES,49.69,165.63,-23.85,35.28,Cubic,165.63
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3062,STERLING CITY 1 4,1,Closed,124.22,27.34,1.04,NO,YES,49.69,165.63,-23.85,35.28,Cubic,165.63
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3063,STERLING CITY 1 5,1,Closed,124.22,20.41,1.04,NO,YES,49.69,165.63,-23.85,35.28,Cubic,165.63
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3065,ROSCOE 4 1,1,Closed,60.37,-8.38,1,NO,YES,24.15,80.5,-11.59,17.15,Cubic,80.5
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3068,TRENT 1 1,1,Closed,112.5,30.84,1.04,NO,YES,45,150,-21.6,31.95,Cubic,150
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3071,NOLAN 1,1,Closed,127.65,-24.51,1,NO,YES,51.06,170.2,-24.51,36.25,Cubic,170.2
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3074,BRACKETTVILLE 2 1,1,Closed,74.85,-1.88,1,NO,YES,29.94,99.8,-14.37,21.26,Cubic,99.8
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3081,HERMLEIGH 3,1,Closed,186.75,40.91,1.04,NO,YES,74.7,249,-35.86,53.04,Cubic,249
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3084,MERKEL 1 2,1,Closed,174.37,-5.29,1,NO,YES,69.75,232.5,-33.48,49.52,Cubic,232.5
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3086,LORAINE 1 1,1,Closed,56.25,-0.11,1,NO,YES,22.5,75,-10.8,15.97,Cubic,75
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3087,LORAINE 1 2,1,Open,0,0,1,NO,YES,22.5,75,-10.8,15.97,Cubic,75
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3092,ABILENE 1 4,1,Closed,150,30.83,1.04,NO,YES,60,200,-28.8,42.6,Cubic,200
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3095,MERKEL 2 1,1,Closed,90.45,21.16,1.04,NO,YES,36.18,120.6,-17.37,25.69,Cubic,120.6
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3098,FLUVANNA 2 2,1,Closed,120,21.82,1.04,NO,YES,48,160,-23.04,34.08,Cubic,160
GENSAL,HY (Hydro),0,WAT (Water),3105,BUCHANAN DAM 1 1,1,Closed,44.5,-0.74,1,NO,YES,0,44.5,-0.74,17.07,Cubic,15
GENSAL,HY (Hydro),0,WAT (Water),3106,BUCHANAN DAM 1 2,1,Closed,53.02,-2.57,1,NO,YES,0,162.8,-2.69,62.48,Cubic,54.9
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3110,FLUVANNA 1 1,1,Closed,63,13.69,1.04,NO,YES,25.2,84,-12.1,17.89,Cubic,84
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3112,STERLING CITY 2 1,1,Closed,56.1,-1.51,1,NO,YES,22.44,74.8,-10.77,15.93,Cubic,74.8
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3113,STERLING CITY 2 2,1,Closed,56.1,-0.82,1,NO,YES,22.44,74.8,-10.77,15.93,Cubic,74.8
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3117,SYNDER 1,1,Closed,47.25,-3.77,1,NO,YES,18.9,63,-9.07,13.42,Cubic,63
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3118,SYNDER 2,1,Closed,90,-6.63,1,NO,YES,36,120,-17.28,25.56,Cubic,120
,PV (Photovoltaic),0,SUN (Solar),3120,BRACKETTVILLE 1 1,1,Closed,29.7,0,1,NO,YES,11.88,39.6,0,0,Cubic,39.6
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3122,ROSCOE 1 1,1,Closed,147.75,-8.91,1,NO,YES,59.1,197,-28.37,41.96,Cubic,197
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3127,SWEETWATER 2 0,1,Closed,101.25,-19.44,1,NO,YES,40.5,135,-19.44,28.76,Cubic,135
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3129,ROSCOE 3 0,1,Closed,94.88,-18.22,1,NO,YES,37.95,126.5,-18.22,26.94,Cubic,126.5
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3131,TUSOCOLA 0,1,Closed,85.5,24.28,1.02,NO,YES,34.2,114,-16.42,24.28,Cubic,114
GENROU,GT (Gas Turbine),0,NG (Natural Gas),3133,SNYDER 2 0,1,Open,0,0,1.04,YES,YES,15.39,51.3,-5.69,26.11,Cubic,51.3
GENROU,GT (Gas Turbine),0,NG (Natural Gas),3133,SNYDER 2 0,2,Open,0,0,1.04,YES,YES,15.39,51.3,-5.69,26.11,Cubic,51.3
GENROU,GT (Gas Turbine),0,NG (Natural Gas),3133,SNYDER 2 0,3,Open,0,0,1.04,YES,YES,15.39,51.3,-5.69,26.11,Cubic,51.3
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3137,SWEETWATER 1 0,1,Closed,75.9,21.56,1.03,NO,YES,30.36,101.2,-14.57,21.56,Cubic,101.2
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),3141,SWEETWATER 3 0,1,Closed,68.62,-13.18,1,NO,YES,27.45,91.5,-13.18,19.49,Cubic,91.5
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),4010,SARITA 3 1,1,Closed,151.2,20.85,1.03,NO,YES,60.48,201.6,-29.03,42.94,Cubic,201.6
GENROU,ST (Steam Turbine),18.65,BIT (Bituminous Coal),4026,CHRISTINE 2,1,Closed,408.86,57.46,1.03,YES,YES,123,410,-50.02,191.06,Cubic,410
GENROU,ST (Steam Turbine),18.84,BIT (Bituminous Coal),4030,FANNIN 2,1,Closed,460.56,-23.08,1.01,YES,YES,186.72,622.4,-75.93,290.04,Cubic,622.4
GENSAL,HY (Hydro),0,WAT (Water),4045,FALCON HEIGHTS 1 1,1,Closed,93.4,8.96,1.02,NO,YES,0,93.4,-1.54,35.86,Cubic,31.5
GENSAL,HY (Hydro),0,WAT (Water),4046,FALCON HEIGHTS 1 2,1,Closed,28.5,2.93,1.02,NO,YES,0,28.5,-0.47,10.94,Cubic,9.6
GENSAL,HY (Hydro),0,WAT (Water),4047,FALCON HEIGHTS 1 3,1,Closed,27.48,6.02,1.02,NO,YES,0,195.7,-3.23,75.1,Cubic,66
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),4050,SEBASTIAN 2 1,1,Closed,150,-14.05,1,NO,YES,60,200,-28.8,42.6,Cubic,200
GENROU,GT (Gas Turbine),16.86,NG (Natural Gas),4052,BISHOP 1,1,Closed,44.08,22.5,1.04,YES,YES,13.26,44.2,-4.91,22.5,Cubic,44.2
GENROU,GT (Gas Turbine),17.5,NG (Natural Gas),4058,GREGORY 2,1,Closed,99.6,18.55,1.03,YES,YES,43.2,144,-15.98,73.3,Cubic,144
GENROU,GT (Gas Turbine),17.45,NG (Natural Gas),4059,GREGORY 3,1,Closed,84.08,19.72,1.03,YES,YES,43.2,144,-15.98,73.3,Cubic,144
GENROU,GT (Gas Turbine),17.57,NG (Natural Gas),4060,GREGORY 4,1,Closed,124.4,15.6,1.03,YES,YES,43.2,144,-15.98,73.3,Cubic,144
GENROU,GT (Gas Turbine),17.78,NG (Natural Gas),4061,GREGORY 5,1,Closed,148.87,20.61,1.03,YES,YES,51.7,172.33,-19.13,87.72,Cubic,172.33
GENROU,GT (Gas Turbine),17.84,NG (Natural Gas),4062,GREGORY 6,1,Closed,171.85,17.91,1.03,YES,YES,51.7,172.33,-19.13,87.72,Cubic,172.33
GENROU,GT (Gas Turbine),17.71,NG (Natural Gas),4063,GREGORY 7,1,Closed,124.75,20.79,1.03,YES,YES,51.7,172.33,-19.13,87.72,Cubic,172.33
GENROU,GT (Gas Turbine),16.88,NG (Natural Gas),4065,CORPUS CHRISTI 2 1,1,Closed,46.87,14.18,1.02,YES,YES,14.1,47,-5.22,23.92,Cubic,47
GENROU,GT (Gas Turbine),0,NG (Natural Gas),4075,MISSION 1 2,1,Open,0,0,1.03,YES,YES,52.9,176.33,-19.57,89.75,Cubic,176.33
GENROU,GT (Gas Turbine),29.93,NG (Natural Gas),4076,MISSION 1 3,1,Closed,175.84,36.05,1.03,YES,YES,52.9,176.33,-19.57,89.75,Cubic,176.33
GENROU,GT (Gas Turbine),29.55,NG (Natural Gas),4077,MISSION 1 4,1,Closed,97.06,28.93,1.03,YES,YES,52.9,176.33,-19.57,89.75,Cubic,176.33
GENROU,GT (Gas Turbine),18.39,NG (Natural Gas),4082,CORPUS CHRISTI 3 2,1,Closed,242.72,32.28,1.04,YES,YES,73.02,243.4,-27.02,123.89,Cubic,243.4
GENROU,GT (Gas Turbine),18.39,NG (Natural Gas),4083,CORPUS CHRISTI 3 3,1,Closed,242.72,33.27,1.04,YES,YES,73.02,243.4,-27.02,123.89,Cubic,243.4
GENROU,GT (Gas Turbine),18.39,NG (Natural Gas),4084,CORPUS CHRISTI 3 4,1,Closed,242.72,51.43,1.04,YES,YES,73.02,243.4,-27.02,123.89,Cubic,243.4
GENROU,GT (Gas Turbine),18.7,NG (Natural Gas),4085,CORPUS CHRISTI 3 5,1,Closed,168.05,54.88,1.04,YES,YES,105.6,352,-39.07,179.17,Cubic,352
GENROU,ST (Steam Turbine),0,BIT (Bituminous Coal),4090,SANTA ROSA 1 1,1,Open,0,0,1.01,YES,YES,0.42,1.4,-0.17,0.65,Cubic,1.4
GENROU,ST (Steam Turbine),17.26,BIT (Bituminous Coal),4091,SANTA ROSA 1 2,1,Closed,23.43,3.95,1.01,YES,YES,7.05,23.5,-2.87,10.95,Cubic,23.5
GENROU,ST (Steam Turbine),0,BIT (Bituminous Coal),4092,SANTA ROSA 1 3,1,Open,0,0,1.01,YES,YES,2.28,7.6,-0.93,3.54,Cubic,7.6
GENROU,ST (Steam Turbine),17.27,BIT (Bituminous Coal),4093,SANTA ROSA 1 4,1,Closed,27.92,2.53,1.01,YES,YES,8.4,28,-3.42,13.05,Cubic,28
GENROU,ST (Steam Turbine),17.27,BIT (Bituminous Coal),4094,SANTA ROSA 1 5,1,Closed,27.92,8.12,1.01,YES,YES,8.4,28,-3.42,13.05,Cubic,28
GENROU,ST (Steam Turbine),17.27,BIT (Bituminous Coal),4095,SANTA ROSA 1 6,1,Closed,27.92,3.75,1.01,YES,YES,8.4,28,-3.42,13.05,Cubic,28
GENROU,ST (Steam Turbine),0,BIT (Bituminous Coal),4096,SANTA ROSA 1 7,1,Open,0,0,1.01,YES,YES,8.4,28,-3.42,13.05,Cubic,28
GENROU,ST (Steam Turbine),17.27,BIT (Bituminous Coal),4097,SANTA ROSA 1 8,1,Closed,27.92,3.29,1.01,YES,YES,8.4,28,-3.42,13.05,Cubic,28
GENROU,ST (Steam Turbine),0,BIT (Bituminous Coal),4098,SANTA ROSA 1 9,1,Open,0,0,1.01,YES,YES,8.4,28,-3.42,13.05,Cubic,28
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),4105,TAFT 2 1,1,Closed,135,26.12,1.01,NO,YES,54,180,-25.92,38.34,Cubic,180
GENROU,GT (Gas Turbine),29.35,NG (Natural Gas),4115,LAREDO 1 2,1,Closed,131.43,37.25,1.04,YES,YES,39.54,131.8,-14.63,67.09,Cubic,131.8
GENROU,GT (Gas Turbine),29.32,NG (Natural Gas),4116,LAREDO 1 3,1,Closed,123.76,34.12,1.04,YES,YES,39.54,131.8,-14.63,67.09,Cubic,131.8
GENROU,GT (Gas Turbine),0,NG (Natural Gas),4133,PEARSALL 2,1,Open,0,0,1,YES,YES,10.08,33.6,-3.73,17.1,Cubic,33.6
