,wkt_geom,name,Number,Substation Longitude,Substation Latitude,geometry,index_right,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,YEAR,PEAK_MONTH,AVAIL_CAP,PLAN_OUT,UNPLAN_OUT,OTHER_OUT,TOTAL_CAP,PEAK_LOAD,MIN_LOAD,SHAPE_Leng,SHAPE_Area,State
10,PointZ (-104.29640000000000555 29.58262599701680173 0),PRESIDIO 1 1,1011,-104.2964,29.582626,POINT (-419042.4257897146 -1698803.316511362),18.0,19.0,5701,EL PASO ELECTRIC COMPANY,P O BOX 982,EL PASO,TX,79960,(800) 592-1634,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,http://www.epelectric.com/,2018,7.0,1860.0,0.0,227.0,0.0,2087.0,1926.0,754.0,4544634.088527907,253437255036.07812,Texas
11,PointZ (-101.9614609999999999 30.0187161366776003 0),SANDERSON 0,1012,-101.961461,30.01871614,POINT (-190453.9721049623 -1658946.781605179),18.0,19.0,5701,EL PASO ELECTRIC COMPANY,P O BOX 982,EL PASO,TX,79960,(800) 592-1634,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,http://www.epelectric.com/,2018,7.0,1860.0,0.0,227.0,0.0,2087.0,1926.0,754.0,4544634.088527907,253437255036.07812,Texas
12,PointZ (-103.15204599999999857 31.47384035451710105 0),MONAHANS 2 0,1013,-103.152046,31.47384035,POINT (-300939.0162261073 -1495041.817484602),7.0,8.0,5723,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",7620 METRO CENTER DRIVE,AUSTIN,TX,78744,(512) 225-7000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,http://www.ercot.com/,2018,7.0,94370.0,161.0,2462.0,-365.0,97017.0,72236.0,35202.0,10449400.752339242,698096582274.3453,Texas
13,PointZ (-103.07613399999999615 31.16028164617300078 0),GRANDFALLS 0,1014,-103.076134,31.16028165,POINT (-294771.7472208299 -1529910.287742909),18.0,19.0,5701,EL PASO ELECTRIC COMPANY,P O BOX 982,EL PASO,TX,79960,(800) 592-1634,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,http://www.epelectric.com/,2018,7.0,1860.0,0.0,227.0,0.0,2087.0,1926.0,754.0,4544634.088527907,253437255036.07812,Texas
14,PointZ (-103.99676100000000645 30.27596949237780066 0),MARFA 0,1015,-103.996761,30.27596949,POINT (-386826.2081334665 -1623807.927756601),18.0,19.0,5701,EL PASO ELECTRIC COMPANY,P O BOX 982,EL PASO,TX,79960,(800) 592-1634,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,http://www.epelectric.com/,2018,7.0,1860.0,0.0,227.0,0.0,2087.0,1926.0,754.0,4544634.088527907,253437255036.07812,Texas
15,PointZ (-101.49277499999999463 31.75389204309719915 0),GARDEN CITY 0,1016,-101.492775,31.75389204,POINT (-142082.6480198972 -1468388.485851699),7.0,8.0,5723,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",7620 METRO CENTER DRIVE,AUSTIN,TX,78744,(512) 225-7000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,http://www.ercot.com/,2018,7.0,94370.0,161.0,2462.0,-365.0,97017.0,72236.0,35202.0,10449400.752339242,698096582274.3453,Texas
16,PointZ (-102.40460699999999861 31.71292184719539975 0),ODESSA 4 0,1017,-102.404607,31.71292185,POINT (-228959.34862232 -1470946.618182553),1.0,2.0,59504,SOUTHWEST POWER POOL,201 WORTHEN DRIVE,LITTLE ROCK,AR,72223,(501) 614-3200,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,https://www.spp.org/,2018,7.0,70316.0,3359.0,4482.0,0.0,78157.0,49493.0,25521.0,23504926.129722975,2336457036619.05,Texas
17,PointZ (-102.62393299999999385 31.78999162627729902 0),NOTREES 0,1018,-102.623933,31.78999163,POINT (-249607.8862957808 -1461825.813873962),1.0,2.0,59504,SOUTHWEST POWER POOL,201 WORTHEN DRIVE,LITTLE ROCK,AR,72223,(501) 614-3200,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,https://www.spp.org/,2018,7.0,70316.0,3359.0,4482.0,0.0,78157.0,49493.0,25521.0,23504926.129722975,2336457036619.05,Texas
18,PointZ (-102.12336600000000431 31.9656845242861003 0),MIDLAND 4 0,1019,-102.123366,31.96568452,POINT (-201583.0376653309 -1443735.113296402),1.0,2.0,59504,SOUTHWEST POWER POOL,201 WORTHEN DRIVE,LITTLE ROCK,AR,72223,(501) 614-3200,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,https://www.spp.org/,2018,7.0,70316.0,3359.0,4482.0,0.0,78157.0,49493.0,25521.0,23504926.129722975,2336457036619.05,Texas
19,PointZ (-101.10769999999999413 31.97875948202930019 0),BIG SPRING 1 0,1020,-101.1077,31.97875948,POINT (-105153.35719764 -1444103.543390107),7.0,8.0,5723,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",7620 METRO CENTER DRIVE,AUSTIN,TX,78744,(512) 225-7000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,http://www.ercot.com/,2018,7.0,94370.0,161.0,2462.0,-365.0,97017.0,72236.0,35202.0,10449400.752339242,698096582274.3453,Texas
20,PointZ (-101.11310000000000286 31.97249921204529954 0),BIG SPRING 1 1,1021,-101.1131,31.97249921,POINT (-105673.8082090671 -1444788.506819158),7.0,8.0,5723,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",7620 METRO CENTER DRIVE,AUSTIN,TX,78744,(512) 225-7000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,http://www.ercot.com/,2018,7.0,94370.0,161.0,2462.0,-365.0,97017.0,72236.0,35202.0,10449400.752339242,698096582274.3453,Texas
21,PointZ (-101.56961699999999382 32.9169266216795009 0),O DONNELL 2 0,1022,-101.569617,32.91692662,POINT (-147321.8374193636 -1339735.96020888),1.0,2.0,59504,SOUTHWEST POWER POOL,201 WORTHEN DRIVE,LITTLE ROCK,AR,72223,(501) 614-3200,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,https://www.spp.org/,2018,7.0,70316.0,3359.0,4482.0,0.0,78157.0,49493.0,25521.0,23504926.129722975,2336457036619.05,Texas
22,PointZ (-101.57501700000000255 32.91224230520560212 0),O DONNELL 2 1,1023,-101.575017,32.91224231,POINT (-147837.0666186866 -1340244.574206898),1.0,2.0,59504,SOUTHWEST POWER POOL,201 WORTHEN DRIVE,LITTLE ROCK,AR,72223,(501) 614-3200,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,https://www.spp.org/,2018,7.0,70316.0,3359.0,4482.0,0.0,78157.0,49493.0,25521.0,23504926.129722975,2336457036619.05,Texas
23,PointZ (-102.62188199999999938 31.96014956488770054 0),ODESSA 6 0,1024,-102.621882,31.96014956,POINT (-248910.0638669897 -1443039.682625239),1.0,2.0,59504,SOUTHWEST POWER POOL,201 WORTHEN DRIVE,LITTLE ROCK,AR,72223,(501) 614-3200,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,https://www.spp.org/,2018,7.0,70316.0,3359.0,4482.0,0.0,78157.0,49493.0,25521.0,23504926.129722975,2336457036619.05,Texas
24,PointZ (-101.21099999999999852 32.02831852663390322 0),BIG SPRINGS 0,1025,-101.211,32.02831853,POINT (-114891.0204705051 -1438496.221142504),7.0,8.0,5723,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",7620 METRO CENTER DRIVE,AUSTIN,TX,78744,(512) 225-7000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,http://www.ercot.com/,2018,7.0,94370.0,161.0,2462.0,-365.0,97017.0,72236.0,35202.0,10449400.752339242,698096582274.3453,Texas
25,PointZ (-101.21639999999999304 32.02511383256810262 0),BIG SPRINGS 1,1026,-101.2164,32.02511383,POINT (-115407.6968258911 -1438843.029378694),7.0,8.0,5723,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",7620 METRO CENTER DRIVE,AUSTIN,TX,78744,(512) 225-7000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,http://www.ercot.com/,2018,7.0,94370.0,161.0,2462.0,-365.0,97017.0,72236.0,35202.0,10449400.752339242,698096582274.3453,Texas
26,PointZ (-102.03329800000000205 32.31102463077070297 0),MIDLAND 2 0,1027,-102.033298,32.31102463,POINT (-192239.4254163702 -1405789.234568737),1.0,2.0,59504,SOUTHWEST POWER POOL,201 WORTHEN DRIVE,LITTLE ROCK,AR,72223,(501) 614-3200,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,https://www.spp.org/,2018,7.0,70316.0,3359.0,4482.0,0.0,78157.0,49493.0,25521.0,23504926.129722975,2336457036619.05,Texas
27,PointZ (-101.23778400000000488 32.86741686366600135 0),COAHOMA 0,1028,-101.237784,32.86741686,POINT (-116249.7981342989 -1345721.199407476),1.0,2.0,59504,SOUTHWEST POWER POOL,201 WORTHEN DRIVE,LITTLE ROCK,AR,72223,(501) 614-3200,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,https://www.spp.org/,2018,7.0,70316.0,3359.0,4482.0,0.0,78157.0,49493.0,25521.0,23504926.129722975,2336457036619.05,Texas
28,PointZ (-102.07246399999999653 31.98322386807599926 0),MIDLAND 3 0,1029,-102.072464,31.98322387,POINT (-196710.7503464663 -1441915.694722927),1.0,2.0,59504,SOUTHWEST POWER POOL,201 WORTHEN DRIVE,LITTLE ROCK,AR,72223,(501) 614-3200,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,https://www.spp.org/,2018,7.0,70316.0,3359.0,4482.0,0.0,78157.0,49493.0,25521.0,23504926.129722975,2336457036619.05,Texas
29,PointZ (-103.21335999999999444 29.79115979516339863 0),ALPINE 0,1030,-103.21336,29.7911598,POINT (-312752.076095374 -1680395.545096925),18.0,19.0,5701,EL PASO ELECTRIC COMPANY,P O BOX 982,EL PASO,TX,79960,(800) 592-1634,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,http://www.epelectric.com/,2018,7.0,1860.0,0.0,227.0,0.0,2087.0,1926.0,754.0,4544634.088527907,253437255036.07812,Texas
30,PointZ (-103.75006500000000642 30.99571163179059852 0),FORT DAVIS 0,1031,-103.750065,30.99571163,POINT (-359992.0738740345 -1545510.23563995),18.0,19.0,5701,EL PASO ELECTRIC COMPANY,P O BOX 982,EL PASO,TX,79960,(800) 592-1634,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,http://www.epelectric.com/,2018,7.0,1860.0,0.0,227.0,0.0,2087.0,1926.0,754.0,4544634.088527907,253437255036.07812,Texas
31,PointZ (-102.22010000000000218 31.19842285292650175 0),MCCAMEY 1 0,1032,-102.2201,31.19842285,POINT (-212674.0981886353 -1528219.426111613),7.0,8.0,5723,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",7620 METRO CENTER DRIVE,AUSTIN,TX,78744,(512) 225-7000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,http://www.ercot.com/,2018,7.0,94370.0,161.0,2462.0,-365.0,97017.0,72236.0,35202.0,10449400.752339242,698096582274.3453,Texas
32,PointZ (-102.23090000000000543 31.19842285292650175 0),MCCAMEY 1 1,1033,-102.2309,31.19842285,POINT (-213708.4007772275 -1528192.727233417),7.0,8.0,5723,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",7620 METRO CENTER DRIVE,AUSTIN,TX,78744,(512) 225-7000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,http://www.ercot.com/,2018,7.0,94370.0,161.0,2462.0,-365.0,97017.0,72236.0,35202.0,10449400.752339242,698096582274.3453,Texas
33,PointZ (-101.29363700000000392 31.98075498259879978 0),BIG SPRING 4 0,1034,-101.293637,31.98075498,POINT (-122799.8254089947 -1443636.467700645),7.0,8.0,5723,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",7620 METRO CENTER DRIVE,AUSTIN,TX,78744,(512) 225-7000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,http://www.ercot.com/,2018,7.0,94370.0,161.0,2462.0,-365.0,97017.0,72236.0,35202.0,10449400.752339242,698096582274.3453,Texas
34,PointZ (-101.29903699999999844 31.97754862551419919 0),BIG SPRING 4 1,1035,-101.299037,31.97754863,POINT (-123317.0808699318 -1443982.943418767),7.0,8.0,5723,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",7620 METRO CENTER DRIVE,AUSTIN,TX,78744,(512) 225-7000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,http://www.ercot.com/,2018,7.0,94370.0,161.0,2462.0,-365.0,97017.0,72236.0,35202.0,10449400.752339242,698096582274.3453,Texas
35,PointZ (-102.58725300000000402 31.17764834058279888 0),CRANE 0,1036,-102.587253,31.17764834,POINT (-247893.3223311101 -1529531.843330525),18.0,19.0,5701,EL PASO ELECTRIC COMPANY,P O BOX 982,EL PASO,TX,79960,(800) 592-1634,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,http://www.epelectric.com/,2018,7.0,1860.0,0.0,227.0,0.0,2087.0,1926.0,754.0,4544634.088527907,253437255036.07812,Texas
36,PointZ (-102.46509000000000356 31.78997862498620108 0),ODESSA 5 0,1037,-102.46509,31.78997862,POINT (-234502.8319879113 -1462274.351237382),1.0,2.0,59504,SOUTHWEST POWER POOL,201 WORTHEN DRIVE,LITTLE ROCK,AR,72223,(501) 614-3200,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,https://www.spp.org/,2018,7.0,70316.0,3359.0,4482.0,0.0,78157.0,49493.0,25521.0,23504926.129722975,2336457036619.05,Texas
37,PointZ (-102.49680800000000147 30.75865488806820025 0),FORT STOCKTON 1 0,1038,-102.496808,30.75865489,POINT (-240390.9982593841 -1576018.390479291),18.0,19.0,5701,EL PASO ELECTRIC COMPANY,P O BOX 982,EL PASO,TX,79960,(800) 592-1634,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,http://www.epelectric.com/,2018,7.0,1860.0,0.0,227.0,0.0,2087.0,1926.0,754.0,4544634.088527907,253437255036.07812,Texas
38,PointZ (-102.50220799999999599 30.75231281762570035 0),FORT STOCKTON 1 1,1039,-102.502208,30.75231282,POINT (-240928.2669994478 -1576702.96726891),18.0,19.0,5701,EL PASO ELECTRIC COMPANY,P O BOX 982,EL PASO,TX,79960,(800) 592-1634,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,http://www.epelectric.com/,2018,7.0,1860.0,0.0,227.0,0.0,2087.0,1926.0,754.0,4544634.088527907,253437255036.07812,Texas
39,PointZ (-102.68830300000000477 32.32660331822199851 0),ANDREWS 0,1040,-102.688303,32.32660332,POINT (-254097.9177970083 -1402363.890229324),1.0,2.0,59504,SOUTHWEST POWER POOL,201 WORTHEN DRIVE,LITTLE ROCK,AR,72223,(501) 614-3200,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,https://www.spp.org/,2018,7.0,70316.0,3359.0,4482.0,0.0,78157.0,49493.0,25521.0,23504926.129722975,2336457036619.05,Texas
40,PointZ (-101.3896000000000015 32.12860609240590293 0),FORSAN 0,1041,-101.3896,32.12860609,POINT (-131676.007980798 -1427159.890382994),7.0,8.0,5723,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",7620 METRO CENTER DRIVE,AUSTIN,TX,78744,(512) 225-7000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,http://www.ercot.com/,2018,7.0,94370.0,161.0,2462.0,-365.0,97017.0,72236.0,35202.0,10449400.752339242,698096582274.3453,Texas
41,PointZ (-101.39499999999999602 32.12692929174409784 0),FORSAN 1,1042,-101.395,32.12692929,POINT (-132190.2950042992 -1427336.856924275),7.0,8.0,5723,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",7620 METRO CENTER DRIVE,AUSTIN,TX,78744,(512) 225-7000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,http://www.ercot.com/,2018,7.0,94370.0,161.0,2462.0,-365.0,97017.0,72236.0,35202.0,10449400.752339242,698096582274.3453,Texas
