BusNum,BusName,AreaName,ZoneName,ID,Status,MW,Mvar,MVA,SMW,SMvar,DistStatus,DistMWInput,DistMvarInput
1064,ODESSA 3 0,Far West,Far West Texas,1,Closed,6.59,1.87,6.85,6.59,1.87,Closed,0,0
1067,BIG SPRING 7 0,Far West,Far West Texas,1,Closed,101.55,28.77,105.55,101.55,28.77,Closed,0,0
1068,MIDLAND 1 0,Far West,Far West Texas,2,Closed,58.71,16.64,61.02,58.71,16.64,Closed,0,0
1068,MIDLAND 1 0,Far West,Far West Texas,1,Closed,0.69,0.2,0.72,0.69,0.2,Closed,0,0
1071,ODESSA 1 0,Far West,Far West Texas,1,Closed,91.46,25.91,95.06,91.46,25.91,Closed,0,0
1083,FORT STOCKTON 3 0,Far West,Far West Texas,1,Closed,39.95,11.32,41.52,39.95,11.32,Closed,0,0
1085,KERMIT 0,Far West,Far West Texas,2,Closed,18.38,5.21,19.1,18.38,5.21,Closed,0,0
1085,KERMIT 0,Far West,Far West Texas,1,Closed,2.92,0.83,3.04,2.92,0.83,Closed,0,0
1086,PECOS 0,Far West,Far West Texas,1,Closed,39.67,11.24,41.23,39.67,11.24,Closed,0,0
1087,SHEFFIELD 0,Far West,Far West Texas,1,Closed,0.91,0.26,0.94,0.91,0.26,Closed,0,0
1089,LAMESA 0,Far West,Far West Texas,2,Closed,39.77,11.27,41.34,39.77,11.27,Closed,0,0
1089,LAMESA 0,Far West,Far West Texas,1,Closed,0.83,0.24,0.86,0.83,0.24,Closed,0,0
1091,RALLS 2 0,Far West,Far West Texas,2,Closed,6.91,1.96,7.18,6.91,1.96,Closed,0,0
1091,RALLS 2 0,Far West,Far West Texas,1,Closed,4.71,1.34,4.9,4.71,1.34,Closed,0,0
2001,PARIS 3 0,North,Red River,2,Closed,34.05,9.65,35.39,34.05,9.65,Closed,0,0
2001,PARIS 3 0,North,Red River,1,Closed,14.31,4.05,14.87,14.31,4.05,Closed,0,0
2007,HONEY GROVE 0,North,Red River,1,Closed,9.54,2.7,9.92,9.54,2.7,Closed,0,0
2008,MEMPHIS 0,North,Panhandle,1,Closed,8.06,2.28,8.38,8.06,2.28,Closed,0,0
2009,IOWA PARK 0,North,Red River,1,Closed,39.14,11.09,40.68,39.14,11.09,Closed,0,0
2010,VERNON 2 0,North,Panhandle,5,Closed,38.97,11.04,40.51,38.97,11.04,Closed,0,0
2010,VERNON 2 0,North,Panhandle,2,Closed,9.61,2.72,9.98,9.61,2.72,Closed,0,0
2010,VERNON 2 0,North,Panhandle,1,Closed,5.11,1.45,5.31,5.11,1.45,Closed,0,0
2010,VERNON 2 0,North,Panhandle,3,Closed,2.93,0.83,3.04,2.93,0.83,Closed,0,0
2010,VERNON 2 0,North,Panhandle,4,Closed,0.19,0.05,0.2,0.19,0.05,Closed,0,0
2014,CHILDRESS 0,North,Panhandle,2,Closed,21.8,6.18,22.66,21.8,6.18,Closed,0,0
2014,CHILDRESS 0,North,Panhandle,1,Closed,3.62,1.03,3.77,3.62,1.03,Closed,0,0
2015,FORESTBURG 0,North,Red River,1,Closed,4.69,1.33,4.87,4.69,1.33,Closed,0,0
2016,SHERMAN 3 0,North,Red River,1,Closed,69.27,19.63,71.99,69.27,19.63,Closed,0,0
2020,WICHITA FALLS 6 0,North,Red River,1,Closed,47.97,13.59,49.86,47.97,13.59,Closed,0,0
2022,PARIS 2 1,North,Red River,1,Closed,11.56,3.28,12.02,11.56,3.28,Closed,0,0
2025,WICHITA FALLS 4 0,North,Red River,1,Closed,39.62,11.23,41.18,39.62,11.23,Closed,0,0
2026,WHEELER 0,North,Panhandle,4,Closed,7.94,2.25,8.25,7.94,2.25,Closed,0,0
2026,WHEELER 0,North,Panhandle,3,Closed,7.17,2.03,7.46,7.17,2.03,Closed,0,0
2026,WHEELER 0,North,Panhandle,1,Closed,2.51,0.71,2.61,2.51,0.71,Closed,0,0
2026,WHEELER 0,North,Panhandle,2,Closed,0.95,0.27,0.99,0.95,0.27,Closed,0,0
2027,DEPORT 0,North,Red River,1,Closed,3.55,1.01,3.69,3.55,1.01,Closed,0,0
2028,WICHITA FALLS 3 0,North,Red River,1,Closed,14.24,4.03,14.8,14.24,4.03,Closed,0,0
2029,SILVERTON 0,North,Panhandle,1,Closed,3.2,0.91,3.33,3.2,0.91,Closed,0,0
2030,BONHAM 0,North,Red River,2,Closed,43.23,12.25,44.93,43.23,12.25,Closed,0,0
2030,BONHAM 0,North,Red River,1,Closed,3.91,1.11,4.07,3.91,1.11,Closed,0,0
2031,MATADOR 0,North,Panhandle,3,Closed,3.71,1.05,3.85,3.71,1.05,Closed,0,0
2031,MATADOR 0,North,Panhandle,2,Closed,1.27,0.36,1.32,1.27,0.36,Closed,0,0
2031,MATADOR 0,North,Panhandle,1,Closed,0.79,0.22,0.82,0.79,0.22,Closed,0,0
2032,ARTHUR CITY 0,North,Red River,1,Closed,3.35,0.95,3.49,3.35,0.95,Closed,0,0
2033,LEONARD 0,North,Red River,2,Closed,12.27,3.48,12.75,12.27,3.48,Closed,0,0
2033,LEONARD 0,North,Red River,1,Closed,1.3,0.37,1.35,1.3,0.37,Closed,0,0
2034,GORDONVILLE 0,North,Red River,1,Closed,5.34,1.51,5.55,5.34,1.51,Closed,0,0
2035,KNOX CITY 0,North,Panhandle,1,Closed,4.15,1.18,4.31,4.15,1.18,Closed,0,0
2035,KNOX CITY 0,North,Panhandle,2,Closed,0.53,0.15,0.56,0.53,0.15,Closed,0,0
2036,WICHITA FALLS 7 0,North,Red River,1,Closed,41.59,11.78,43.22,41.59,11.78,Closed,0,0
2037,LINDSAY 0,North,Red River,2,Closed,2.81,0.8,2.92,2.81,0.8,Closed,0,0
2037,LINDSAY 0,North,Red River,1,Closed,0.69,0.2,0.72,0.69,0.2,Closed,0,0
2038,ECTOR 0,North,Red River,1,Closed,2.6,0.74,2.71,2.6,0.74,Closed,0,0
2039,SUNSET 0,North,Red River,1,Closed,5.56,1.58,5.78,5.56,1.58,Closed,0,0
2040,CLARKSVILLE 0,North,Red River,1,Closed,15.9,4.51,16.53,15.9,4.51,Closed,0,0
2043,SADLER 0,North,Red River,1,Closed,4.24,1.2,4.4,4.24,1.2,Closed,0,0
2044,WHITESBORO 0,North,Red River,1,Closed,27.4,7.76,28.48,27.4,7.76,Closed,0,0
2045,SHEPPARD AFB 0,North,Red River,1,Closed,22.61,6.4,23.49,22.61,6.4,Closed,0,0
2046,POTTSBORO 0,North,Red River,1,Closed,22.13,6.27,23.01,22.13,6.27,Closed,0,0
2047,BELLS 0,North,Red River,1,Closed,9.41,2.67,9.78,9.41,2.67,Closed,0,0
2047,BELLS 0,North,Red River,2,Closed,5.55,1.57,5.77,5.55,1.57,Closed,0,0
2048,CROSBYTON 0,North,Panhandle,1,Closed,6.42,1.82,6.67,6.42,1.82,Closed,0,0
2049,ELECTRA 0,North,Panhandle,3,Closed,10.51,2.98,10.92,10.51,2.98,Closed,0,0
2049,ELECTRA 0,North,Panhandle,2,Closed,0.58,0.16,0.6,0.58,0.16,Closed,0,0
2049,ELECTRA 0,North,Panhandle,1,Closed,0.49,0.14,0.51,0.49,0.14,Closed,0,0
2050,PATTONVILLE 0,North,Red River,1,Closed,3.66,1.04,3.8,3.66,1.04,Closed,0,0
2051,HENRIETTA 0,North,Red River,1,Closed,17.85,5.06,18.55,17.85,5.06,Closed,0,0
2052,PANHANDLE 6 0,North,Panhandle,2,Closed,15.38,4.36,15.98,15.38,4.36,Closed,0,0
2052,PANHANDLE 6 0,North,Panhandle,1,Closed,9.46,2.68,9.83,9.46,2.68,Closed,0,0
2053,BOWIE 0,North,Red River,1,Closed,29.13,8.25,30.28,29.13,8.25,Closed,0,0
2055,WICHITA FALLS 1 1,North,Red River,1,Closed,49.62,14.06,51.57,49.62,14.06,Closed,0,0
2060,ROXTON 0,North,Red River,1,Closed,3.8,1.08,3.94,3.8,1.08,Closed,0,0
2063,DENISON 2 0,North,Red River,1,Closed,65.62,18.59,68.2,65.62,18.59,Closed,0,0
2064,SUMNER 0,North,Red River,1,Closed,7.04,1.99,7.32,7.04,1.99,Closed,0,0
2064,SUMNER 0,North,Red River,2,Closed,3.01,0.85,3.13,3.01,0.85,Closed,0,0
2065,GAINESVILLE 0,North,Red River,1,Closed,78.36,22.2,81.44,78.36,22.2,Closed,0,0
2066,ASPERMONT 0,North,Panhandle,1,Closed,4.05,1.15,4.21,4.05,1.15,Closed,0,0
2066,ASPERMONT 0,North,Panhandle,2,Closed,2.54,0.72,2.64,2.54,0.72,Closed,0,0
2066,ASPERMONT 0,North,Panhandle,3,Closed,0.52,0.15,0.54,0.52,0.15,Closed,0,0
2067,WICHITA FALLS 5 0,North,Red River,1,Closed,53.97,15.29,56.09,53.97,15.29,Closed,0,0
2068,WINDTHORST 0,North,Red River,1,Closed,5.76,1.63,5.99,5.76,1.63,Closed,0,0
2069,HOWE 0,North,Red River,1,Closed,21.92,6.21,22.79,21.92,6.21,Closed,0,0
2072,COLLINSVILLE 0,North,Red River,1,Closed,9.71,2.75,10.09,9.71,2.75,Closed,0,0
2079,PADUCAH 0,North,Panhandle,1,Closed,4.48,1.27,4.66,4.48,1.27,Closed,0,0
2080,NOCONA 0,North,Red River,1,Closed,16.93,4.8,17.6,16.93,4.8,Closed,0,0
2081,DODD CITY 0,North,Red River,1,Closed,4.46,1.26,4.64,4.46,1.26,Closed,0,0
2082,WICHITA FALLS 2 0,North,Red River,1,Closed,59.03,16.73,61.35,59.03,16.73,Closed,0,0
2086,MONTAGUE 0,North,Red River,1,Closed,2.19,0.62,2.28,2.19,0.62,Closed,0,0
2087,SPUR 0,North,Panhandle,1,Closed,7.9,2.24,8.21,7.9,2.24,Closed,0,0
2090,ANNONA 0,North,Red River,1,Closed,2.42,0.69,2.52,2.42,0.69,Closed,0,0
2091,SEYMOUR 0,North,Panhandle,1,Closed,17.05,4.83,17.72,17.05,4.83,Closed,0,0
2092,DENISON 1 0,North,Red River,1,Closed,24.11,6.83,25.06,24.11,6.83,Closed,0,0
2106,WHITEWRIGHT 0,North,Red River,1,Closed,14.4,4.08,14.97,14.4,4.08,Closed,0,0
2107,SHERMAN 2 0,North,Red River,1,Closed,74.15,21.01,77.07,74.15,21.01,Closed,0,0
2108,ROCHESTER 0,North,Panhandle,1,Closed,2.14,0.61,2.23,2.14,0.61,Closed,0,0
2109,BURKBURNETT 0,North,Red River,1,Closed,33.81,9.58,35.14,33.81,9.58,Closed,0,0
2110,MUENSTER 2 0,North,Red River,1,Closed,8.59,2.43,8.93,8.59,2.43,Closed,0,0
2111,ARCHER CITY 0,North,Red River,1,Closed,7,1.98,7.28,7,1.98,Closed,0,0
2111,ARCHER CITY 0,North,Red River,2,Closed,6.95,1.97,7.22,6.95,1.97,Closed,0,0
2112,PETROLIA 0,North,Red River,1,Closed,4.54,1.29,4.72,4.54,1.29,Closed,0,0
2114,PARIS 1 1,North,Red River,1,Closed,70.78,20.05,73.56,70.78,20.05,Closed,0,0
2121,BAGWELL 0,North,Red River,1,Closed,2.33,0.66,2.43,2.33,0.66,Closed,0,0
2122,TELEPHONE 0,North,Red River,1,Closed,6.72,1.9,6.99,6.72,1.9,Closed,0,0
2124,VAN ALSTYNE 0,North,Red River,1,Closed,21.29,6.03,22.12,21.29,6.03,Closed,0,0
2125,TIOGA 0,North,Red River,1,Closed,4.06,1.15,4.22,4.06,1.15,Closed,0,0
2126,VALLEY VIEW 0,North,Red River,1,Closed,14.24,4.03,14.8,14.24,4.03,Closed,0,0
2129,TRENTON 0,North,Red River,1,Closed,6.63,1.88,6.89,6.63,1.88,Closed,0,0
2132,HASKELL 2,North,Panhandle,1,Closed,11.94,3.38,12.41,11.94,3.38,Closed,0,0
2133,SAINT JO 0,North,Red River,1,Closed,5.68,1.61,5.9,5.68,1.61,Closed,0,0
3002,KERRVILLE 1,West,Hill Country,1,Closed,112.86,31.98,117.3,112.86,31.98,Closed,0,0
3005,LEAKEY 0,West,Hill Country,3,Closed,5.72,1.62,5.95,5.72,1.62,Closed,0,0
3005,LEAKEY 0,West,Hill Country,2,Closed,0.82,0.23,0.86,0.82,0.23,Closed,0,0
3005,LEAKEY 0,West,Hill Country,1,Closed,0.79,0.22,0.82,0.79,0.22,Closed,0,0
3006,HAMLIN 0,West,Abilene,1,Closed,7.35,2.08,7.64,7.35,2.08,Closed,0,0
3007,MERKEL 3 0,West,Abilene,1,Closed,14.96,4.24,15.55,14.96,4.24,Closed,0,0
3008,COLEMAN 0,West,Abilene,1,Closed,19,5.38,19.74,19,5.38,Closed,0,0
3008,COLEMAN 0,West,Abilene,2,Closed,0.81,0.23,0.85,0.81,0.23,Closed,0,0
3009,SONORA 0,West,Hill Country,1,Closed,12.54,3.55,13.03,12.54,3.55,Closed,0,0
3010,CAMP WOOD 0,West,Hill Country,1,Closed,4.67,1.32,4.85,4.67,1.32,Closed,0,0
3011,LLANO 0,West,Hill Country,1,Closed,18.98,5.38,19.73,18.98,5.38,Closed,0,0
3011,LLANO 0,West,Hill Country,2,Closed,8.16,2.31,8.48,8.16,2.31,Closed,0,0
3012,WILLOW CITY 0,West,Hill Country,1,Closed,0.56,0.16,0.59,0.56,0.16,Closed,0,0
3013,ABILENE 4 0,West,Abilene,1,Closed,64.56,18.29,67.1,64.56,18.29,Closed,0,0
3014,KINGSLAND 0,West,Hill Country,1,Closed,22,6.23,22.87,22,6.23,Closed,0,0
3015,ROSCOE 6 0,West,Abilene,1,Closed,5.36,1.52,5.58,5.36,1.52,Closed,0,0
3021,LUEDERS 0,West,Abilene,2,Closed,1.42,0.4,1.47,1.42,0.4,Closed,0,0
3021,LUEDERS 0,West,Abilene,1,Closed,0.52,0.15,0.55,0.52,0.15,Closed,0,0
3022,COLORADO CITY 0,West,Abilene,1,Closed,24.59,6.97,25.56,24.59,6.97,Closed,0,0
3023,STAMFORD 0,West,Abilene,1,Closed,10.41,2.95,10.82,10.41,2.95,Closed,0,0
3024,ELDORADO 0,West,Hill Country,1,Closed,10.13,2.87,10.53,10.13,2.87,Closed,0,0
3025,SAN SABA 0,West,Hill Country,1,Closed,13.67,3.87,14.21,13.67,3.87,Closed,0,0
3029,LOMETA 0,West,Hill Country,1,Closed,4.87,1.38,5.06,4.87,1.38,Closed,0,0
3030,SAN ANGELO 1 0,West,Abilene,1,Closed,129.72,36.75,134.83,129.72,36.75,Closed,0,0
3031,TUSCOLA 0,West,Abilene,1,Closed,14.73,4.17,15.31,14.73,4.17,Closed,0,0
3032,ABILENE 7 0,West,Abilene,1,Closed,72.86,20.64,75.73,72.86,20.64,Closed,0,0
3035,CHEROKEE 0,West,Hill Country,1,Closed,3.47,0.98,3.6,3.47,0.98,Closed,0,0
3036,RICHLAND SPRINGS 0,West,Hill Country,2,Closed,4.5,1.28,4.68,4.5,1.28,Closed,0,0
3036,RICHLAND SPRINGS 0,West,Hill Country,1,Closed,1.3,0.37,1.35,1.3,0.37,Closed,0,0
3040,BALLINGER 0,West,Abilene,1,Closed,14.61,4.14,15.18,14.61,4.14,Closed,0,0
3042,SILVER 1,West,Abilene,1,Closed,5.02,1.42,5.21,5.02,1.42,Closed,0,0
3042,SILVER 1,West,Abilene,2,Closed,3.74,1.06,3.89,3.74,1.06,Closed,0,0
3049,ANSON 0,West,Abilene,1,Closed,10.58,3,11,10.58,3,Closed,0,0
3051,DEL RIO 1,West,Hill Country,2,Closed,144.45,40.93,150.13,144.45,40.93,Closed,0,0
3051,DEL RIO 1,West,Hill Country,1,Closed,0.84,0.24,0.88,0.84,0.24,Closed,0,0
3052,HUNT 0,West,Hill Country,1,Closed,8.08,2.29,8.39,8.08,2.29,Closed,0,0
3066,BRADY 0,West,Hill Country,1,Closed,22.03,6.24,22.9,22.03,6.24,Closed,0,0
3069,OVALO 0,West,Abilene,1,Closed,3.81,1.08,3.96,3.81,1.08,Closed,0,0
3072,MILES 0,West,Abilene,1,Closed,5.98,1.7,6.22,5.98,1.7,Closed,0,0
3075,MASON 0,West,Hill Country,1,Closed,12.18,3.45,12.66,12.18,3.45,Closed,0,0
3076,BRACKETTVILLE 3 0,West,Hill Country,1,Closed,10.79,3.06,11.22,10.79,3.06,Closed,0,0
3077,ABILENE 6 0,West,Abilene,1,Closed,68.66,19.45,71.36,68.66,19.45,Closed,0,0
3093,ROCKSPRINGS 0,West,Hill Country,1,Closed,5.05,1.43,5.24,5.05,1.43,Closed,0,0
3099,DYESS AFB 0,West,Abilene,1,Closed,12.08,3.42,12.55,12.08,3.42,Closed,0,0
3100,HAWLEY 0,West,Abilene,1,Closed,8.53,2.42,8.86,8.53,2.42,Closed,0,0
3101,BUCHANAN DAM 2 0,West,Hill Country,3,Closed,6.53,1.85,6.79,6.53,1.85,Closed,0,0
3101,BUCHANAN DAM 2 0,West,Hill Country,2,Closed,2.79,0.79,2.9,2.79,0.79,Closed,0,0
3101,BUCHANAN DAM 2 0,West,Hill Country,1,Closed,0.1,0.03,0.11,0.1,0.03,Closed,0,0
3102,ABILENE 3 0,West,Abilene,1,Closed,75.26,21.32,78.22,75.26,21.32,Closed,0,0
3103,SWEETWATER 5 0,West,Abilene,2,Closed,38.98,11.05,40.52,38.98,11.05,Closed,0,0
3103,SWEETWATER 5 0,West,Abilene,1,Closed,0.33,0.09,0.35,0.33,0.09,Closed,0,0
3107,INGRAM 0,West,Hill Country,1,Closed,14.87,4.21,15.45,14.87,4.21,Closed,0,0
3108,KEMPNER 0,West,Hill Country,1,Closed,23.52,6.66,24.45,23.52,6.66,Closed,0,0
3114,SAN ANGELO 2 0,West,Abilene,2,Closed,98.15,27.81,102.02,98.15,27.81,Closed,0,0
3114,SAN ANGELO 2 0,West,Abilene,1,Closed,0.15,0.04,0.16,0.15,0.04,Closed,0,0
3115,ROTAN 0,West,Abilene,1,Closed,6.02,1.71,6.25,6.02,1.71,Closed,0,0
3115,ROTAN 0,West,Abilene,2,Closed,3.56,1.01,3.7,3.56,1.01,Closed,0,0
3123,UVALDE 0,West,Hill Country,1,Closed,66.07,18.72,68.67,66.07,18.72,Closed,0,0
3124,FREDERICKSBURG 0,West,Hill Country,1,Closed,64.54,18.29,67.08,64.54,18.29,Closed,0,0
3125,ABILENE 5 0,West,Abilene,1,Closed,91.26,25.86,94.85,91.26,25.86,Closed,0,0
3126,SABINAL 0,West,Hill Country,1,Closed,9.96,2.82,10.35,9.96,2.82,Closed,0,0
3128,LORAINE 2 0,West,Abilene,1,Closed,2.82,0.8,2.93,2.82,0.8,Closed,0,0
3130,SAN ANGELO 3 0,West,Abilene,4,Closed,83.91,23.77,87.21,83.91,23.77,Closed,0,0
3130,SAN ANGELO 3 0,West,Abilene,3,Closed,3.89,1.1,4.04,3.89,1.1,Closed,0,0
3130,SAN ANGELO 3 0,West,Abilene,1,Closed,3.43,0.97,3.56,3.43,0.97,Closed,0,0
3130,SAN ANGELO 3 0,West,Abilene,2,Closed,0.93,0.26,0.97,0.93,0.26,Closed,0,0
3132,EDEN 0,West,Hill Country,1,Closed,9.56,2.71,9.94,9.56,2.71,Closed,0,0
3136,SNYDER 2 3,West,Abilene,1,Closed,46.96,13.3,48.8,46.96,13.3,Closed,0,0
3138,MENARD 0,West,Hill Country,1,Closed,6.13,1.74,6.37,6.13,1.74,Closed,0,0
3138,MENARD 0,West,Hill Country,2,Closed,4.82,1.37,5.01,4.82,1.37,Closed,0,0
3139,WINTERS 0,West,Abilene,3,Closed,10.12,2.87,10.52,10.12,2.87,Closed,0,0
3139,WINTERS 0,West,Abilene,2,Closed,4.32,1.22,4.49,4.32,1.22,Closed,0,0
3139,WINTERS 0,West,Abilene,1,Closed,0.48,0.14,0.5,0.48,0.14,Closed,0,0
3140,GOLDSBORO 0,West,Abilene,1,Closed,0.22,0.06,0.23,0.22,0.06,Closed,0,0
3142,GOODFELLOW AFB 0,West,Abilene,2,Closed,6.03,1.71,6.27,6.03,1.71,Closed,0,0
3142,GOODFELLOW AFB 0,West,Abilene,1,Closed,1.04,0.29,1.08,1.04,0.29,Closed,0,0
3143,SANTA ANNA 0,West,Hill Country,1,Closed,5.75,1.63,5.98,5.75,1.63,Closed,0,0
3144,ROWENA 0,West,Hill Country,3,Closed,2,0.57,2.08,2,0.57,Closed,0,0
3144,ROWENA 0,West,Hill Country,2,Closed,1.87,0.53,1.94,1.87,0.53,Closed,0,0
3144,ROWENA 0,West,Hill Country,1,Closed,1.68,0.48,1.75,1.68,0.48,Closed,0,0
3145,TRENT 2 0,West,Abilene,2,Closed,1.99,0.56,2.06,1.99,0.56,Closed,0,0
3145,TRENT 2 0,West,Abilene,1,Closed,0.95,0.27,0.99,0.95,0.27,Closed,0,0
3146,JUNCTION 0,West,Hill Country,2,Closed,11.83,3.35,12.3,11.83,3.35,Closed,0,0
3146,JUNCTION 0,West,Hill Country,1,Closed,0.2,0.06,0.21,0.2,0.06,Closed,0,0
3147,LAMPASAS 0,West,Hill Country,1,Closed,34.76,9.85,36.13,34.76,9.85,Closed,0,0
4002,LAUGHLIN A F B 0,South,Laredo,1,Closed,1.01,0.29,1.05,1.01,0.29,Closed,0,0
4003,EDINBURG 3 0,South,McAllen,1,Closed,127.29,36.07,132.3,127.29,36.07,Closed,0,0
4005,LAREDO 7 1,South,Laredo,1,Closed,164.14,46.51,170.6,164.14,46.51,Closed,0,0
4006,BRUNI 2 0,South,Laredo,2,Closed,1.42,0.4,1.48,1.42,0.4,Closed,0,0
4006,BRUNI 2 0,South,Laredo,1,Closed,1.33,0.38,1.38,1.33,0.38,Closed,0,0
4007,MCALLEN 2 0,South,McAllen,1,Closed,183.66,52.04,190.89,183.66,52.04,Closed,0,0
4008,POTEET 0,South,Laredo,1,Closed,32.49,9.21,33.77,32.49,9.21,Closed,0,0
4011,HEBBRONVILLE 0,South,McAllen,1,Closed,16.05,4.55,16.68,16.05,4.55,Closed,0,0
4012,PROGRESO 0,South,McAllen,1,Closed,13.74,3.89,14.28,13.74,3.89,Closed,0,0
4013,EDINBURG 2 0,South,McAllen,1,Closed,92.35,26.17,95.98,92.35,26.17,Closed,0,0
4015,EAGLE PASS 1,South,Laredo,1,Closed,159.81,45.28,166.1,159.81,45.28,Closed,0,0
4016,CHARLOTTE 0,South,Laredo,1,Closed,6.25,1.77,6.49,6.25,1.77,Closed,0,0
4017,CORPUS CHRISTI 4 0,South,Corpus Christi,1,Closed,89.56,25.38,93.09,89.56,25.38,Closed,0,0
4018,WOODSBORO 0,South,Corpus Christi,1,Closed,7.14,2.02,7.42,7.14,2.02,Closed,0,0
4019,MERCEDES 0,South,McAllen,2,Closed,97.58,27.65,101.42,97.58,27.65,Closed,0,0
4019,MERCEDES 0,South,McAllen,1,Closed,38.25,10.84,39.76,38.25,10.84,Closed,0,0
4020,CORPUS CHRISTI 16 0,South,Corpus Christi,1,Closed,117.81,33.38,122.45,117.81,33.38,Closed,0,0
4021,EDCOUCH 0,South,McAllen,1,Closed,31.97,9.06,33.23,31.97,9.06,Closed,0,0
4022,ENCINAL 0,South,Laredo,1,Closed,5.56,1.58,5.78,5.56,1.58,Closed,0,0
