wkt_geom,name,Number,Substation Longitude,Substation Latitude
PointZ (-99.76449700000000576 33.88636572485329879 0),VERNON 2 0,2010,-99.764497,33.88636572
PointZ (-101.29283300000000168 35.22951152780230188 0),PANHANDLE 2 0,2011,-101.292833,35.22951153
PointZ (-101.27483300000000099 35.22657082744480306 0),PANHANDLE 2 1,2012,-101.274833,35.22657083
PointZ (-101.2982329999999962 35.22789414914569761 0),PANHANDLE 2 2,2013,-101.298233,35.22789415
PointZ (-100.800848000000002 34.43831933711199866 0),CHILDRESS 0,2014,-100.800848,34.43831934
PointZ (-97.43618899999999883 33.46260761849649867 0),FORESTBURG 0,2015,-97.436189,33.46260762
PointZ (-96.75839399999999557 33.61862986913420315 0),SHERMAN 3 0,2016,-96.758394,33.61862987
PointZ (-101.23505600000000015 35.4172322477776973 0),PANHANDLE 4 0,2017,-101.235056,35.41723225
PointZ (-101.21705599999999947 35.42016602178019724 0),PANHANDLE 4 1,2018,-101.217056,35.42016602
PointZ (-101.24045599999999467 35.41415165815949706 0),PANHANDLE 4 2,2019,-101.240456,35.41415166
PointZ (-98.51406400000000474 33.93482400697710233 0),WICHITA FALLS 6 0,2020,-98.514064,33.93482401
PointZ (-95.53969999999999629 33.68481859005159862 0),PARIS 2 0,2021,-95.5397,33.68481859
PointZ (-95.52169999999999561 33.68631635628720034 0),PARIS 2 1,2022,-95.5217,33.68631636
PointZ (-95.54510000000000502 33.68317100485769799 0),PARIS 2 2,2023,-95.5451,33.683171
PointZ (-95.54510000000000502 33.68017533126359808 0),PARIS 2 3,2024,-95.5451,33.68017533
PointZ (-98.48204599999999687 33.85554667287040331 0),WICHITA FALLS 4 0,2025,-98.482046,33.85554667
PointZ (-100.75690500000000327 35.82054690507789729 0),WHEELER 0,2026,-100.756905,35.82054691
PointZ (-95.31108799999999803 33.47363776515859968 0),DEPORT 0,2027,-95.311088,33.47363777
PointZ (-98.3797569999999979 33.99433708060880122 0),WICHITA FALLS 3 0,2028,-98.379757,33.99433708
PointZ (-101.27816099999999722 34.44857243027630034 0),SILVERTON 0,2029,-101.278161,34.44857243
PointZ (-96.23165400000000602 33.699326300312201 0),BONHAM 0,2030,-96.231654,33.6993263
PointZ (-100.37521700000000635 33.7002020504020976 0),MATADOR 0,2031,-100.375217,33.70020205
PointZ (-95.64013699999999574 33.84889897480459808 0),ARTHUR CITY 0,2032,-95.640137,33.84889897
PointZ (-96.17016300000000228 33.43242748276379928 0),LEONARD 0,2033,-96.170163,33.43242748
PointZ (-96.83076400000000206 33.82196014723049871 0),GORDONVILLE 0,2034,-96.830764,33.82196015
PointZ (-99.84466700000000117 33.42282348542740067 0),KNOX CITY 0,2035,-99.844667,33.42282349
PointZ (-98.53467000000000553 33.88597586974010056 0),WICHITA FALLS 7 0,2036,-98.53467,33.88597587
PointZ (-97.30183399999999949 33.60536149170300035 0),LINDSAY 0,2037,-97.301834,33.60536149
PointZ (-96.27389700000000516 33.54451914174369875 0),ECTOR 0,2038,-96.273897,33.54451914
PointZ (-97.74281799999999976 33.44547807099640124 0),SUNSET 0,2039,-97.742818,33.44547807
PointZ (-94.98825800000000186 33.65257524229060238 0),CLARKSVILLE 0,2040,-94.988258,33.65257524
PointZ (-101.56957199999999375 35.37576496536500059 0),PANHANDLE 3 0,2041,-101.569572,35.37576497
PointZ (-101.57497200000000248 35.37268279114729808 0),PANHANDLE 3 1,2042,-101.574972,35.37268279
PointZ (-96.8305430000000058 33.72899240431259926 0),SADLER 0,2043,-96.830543,33.7289924
PointZ (-96.92712099999999964 33.73491202397779887 0),WHITESBORO 0,2044,-96.927121,33.73491202
PointZ (-98.50001600000000224 33.96653734734100283 0),SHEPPARD AFB 0,2045,-98.500016,33.96653735
PointZ (-96.7169889999999981 33.79174197780739775 0),POTTSBORO 0,2046,-96.716989,33.79174198
PointZ (-96.41887400000000241 33.61465145392990195 0),BELLS 0,2047,-96.418874,33.61465145
PointZ (-100.98111400000000515 33.7640048425298005 0),CROSBYTON 0,2048,-100.981114,33.76400484
PointZ (-99.09762399999999616 34.12125771287470144 0),ELECTRA 0,2049,-99.097624,34.12125771
PointZ (-95.47420300000000282 33.39323341421030023 0),PATTONVILLE 0,2050,-95.474203,33.39323341
PointZ (-98.19325100000000361 33.74951055255979782 0),HENRIETTA 0,2051,-98.193251,33.74951055
PointZ (-100.985549000000006 34.89190196942519862 0),PANHANDLE 6 0,2052,-100.985549,34.89190197
PointZ (-97.94711999999999819 33.51156771079290309 0),BOWIE 0,2053,-97.94712,33.51156771
PointZ (-98.47509999999999764 33.90134886075689735 0),WICHITA FALLS 1 0,2054,-98.4751,33.90134886
PointZ (-98.45709999999999695 33.90284284344279797 0),WICHITA FALLS 1 1,2055,-98.4571,33.90284284
PointZ (-98.48050000000000637 33.89970543740430031 0),WICHITA FALLS 1 2,2056,-98.4805,33.89970544
PointZ (-98.48050000000000637 33.89671733049949864 0),WICHITA FALLS 1 3,2057,-98.4805,33.89671733
PointZ (-101.23489999999999611 35.46717281323810056 0),WHITE DEER 0,2058,-101.2349,35.46717281
PointZ (-101.24030000000000484 35.46262805545269714 0),WHITE DEER 1,2059,-101.2403,35.46262806
PointZ (-95.80070100000000366 33.56782457013599696 0),ROXTON 0,2060,-95.800701,33.56782457
PointZ (-99.35572200000000009 34.27958928561770335 0),VERNON 1 0,2061,-99.355722,34.27958929
PointZ (-99.36112199999999461 34.27646581095120126 0),VERNON 1 1,2062,-99.361122,34.27646581
PointZ (-96.59506100000000117 33.76180684053120018 0),DENISON 2 0,2063,-96.595061,33.76180684
PointZ (-95.73532699999999807 33.73625516459090079 0),SUMNER 0,2064,-95.735327,33.73625516
PointZ (-97.167349999999999 33.6510950618979976 0),GAINESVILLE 0,2065,-97.16735,33.65109506
PointZ (-100.23613299999999526 33.172518104345599 0),ASPERMONT 0,2066,-100.236133,33.1725181
PointZ (-98.50083999999999662 33.79010980668869735 0),WICHITA FALLS 5 0,2067,-98.50084,33.79010981
PointZ (-98.44862700000000189 33.50362288401149868 0),WINDTHORST 0,2068,-98.448627,33.50362288
PointZ (-96.73864500000000533 33.44656272806250286 0),HOWE 0,2069,-96.738645,33.44656273
PointZ (-98.57294400000000678 33.4825475664679999 0),ARCHER 2 0,2070,-98.572944,33.48254757
PointZ (-98.5783440000000013 33.47939477881720194 0),ARCHER 2 1,2071,-98.578344,33.47939478
PointZ (-96.89757500000000334 33.52870349462409649 0),COLLINSVILLE 0,2072,-96.897575,33.52870349
PointZ (-100.50616700000000492 32.95764018578630328 0),JAYTON 0,2073,-100.506167,32.95764019
PointZ (-100.48816700000000424 32.96066079149670003 0),JAYTON 1,2074,-100.488167,32.96066079
PointZ (-100.48816700000000424 32.95310906723300093 0),JAYTON 2,2075,-100.488167,32.95310907
PointZ (-100.51156699999999944 32.95295802512740124 0),JAYTON 3,2076,-100.511567,32.95295803
PointZ (-97.41940599999999506 33.72252677540559773 0),MUENSTER 1 0,2077,-97.419406,33.72252678
PointZ (-97.42480600000000379 33.71938274958429815 0),MUENSTER 1 1,2078,-97.424806,33.71938275
PointZ (-100.27824699999999325 33.98536732934699955 0),PADUCAH 0,2079,-100.278247,33.98536733
PointZ (-97.95480200000000082 33.78260211622819753 0),NOCONA 0,2080,-97.954802,33.78260212
PointZ (-96.06315600000000643 33.60654460799909771 0),DODD CITY 0,2081,-96.063156,33.60654461
PointZ (-98.58039999999999736 33.84904684409210063 0),WICHITA FALLS 2 0,2082,-98.5804,33.84904684
PointZ (-98.58580000000000609 33.8488973406301028 0),WICHITA FALLS 2 1,2083,-98.5858,33.84889734
PointZ (-98.58580000000000609 33.84590745442500292 0),WICHITA FALLS 2 2,2084,-98.5858,33.84590745
PointZ (-98.58580000000000609 33.84291746358719877 0),WICHITA FALLS 2 3,2085,-98.5858,33.84291746
PointZ (-97.67887299999999584 33.61791079408519778 0),MONTAGUE 0,2086,-97.678873,33.61791079
PointZ (-100.70573199999999758 33.33203006941440094 0),SPUR 0,2087,-100.705732,33.33203007
PointZ (-98.49099999999999966 33.48476983610569846 0),ARCHER 1 0,2088,-98.491,33.48476984
PointZ (-98.49639999999999418 33.48161712933799805 0),ARCHER 1 1,2089,-98.4964,33.48161713
PointZ (-94.88184499999999844 33.48771319326019835 0),ANNONA 0,2090,-94.881845,33.48771319
PointZ (-99.23476499999999589 33.61215119301429866 0),SEYMOUR 0,2091,-99.234765,33.61215119
PointZ (-96.4617939999999976 33.71814326887520252 0),DENISON 1 0,2092,-96.461794,33.71814327
PointZ (-101.53100000000000591 35.33855408510449791 0),PANHANDLE 5 0,2093,-101.531,35.33855409
PointZ (-101.53640000000000043 35.33693887776770026 0),PANHANDLE 5 1,2094,-101.5364,35.33693888
PointZ (-101.53640000000000043 35.334002070864301 0),PANHANDLE 5 2,2095,-101.5364,35.33400207
PointZ (-101.37199999999999989 33.65062300436880349 0),RALLS 1 0,2096,-101.372,33.650623
PointZ (-101.3539999999999992 33.65212136616779759 0),RALLS 1 1,2097,-101.354,33.65212137
PointZ (-101.3539999999999992 33.64462928007189646 0),RALLS 1 2,2098,-101.354,33.64462928
PointZ (-101.37739999999999441 33.65047315997809818 0),RALLS 1 3,2099,-101.3774,33.65047316
PointZ (-101.37739999999999441 33.64747634748970029 0),RALLS 1 4,2100,-101.3774,33.64747635
PointZ (-96.59989299999999446 33.56907590803059804 0),SHERMAN 1 0,2101,-96.599893,33.56907591
PointZ (-96.58189299999999378 33.5720754417771019 0),SHERMAN 1 1,2102,-96.581893,33.57207544
PointZ (-96.60529300000000319 33.5689259163991025 0),SHERMAN 1 2,2103,-96.605293,33.56892592
PointZ (-96.60529300000000319 33.56592626780300037 0),SHERMAN 1 3,2104,-96.605293,33.56592627
PointZ (-96.60529300000000319 33.56292651499880009 0),SHERMAN 1 4,2105,-96.605293,33.56292651
PointZ (-96.38711499999999432 33.4840687510383006 0),WHITEWRIGHT 0,2106,-96.387115,33.48406875
PointZ (-96.53420500000000004 33.59513541778139967 0),SHERMAN 2 0,2107,-96.534205,33.59513542
PointZ (-99.6331260000000043 33.31381118269649733 0),ROCHESTER 0,2108,-99.633126,33.31381118
PointZ (-98.61346699999999998 34.09432982713379801 0),BURKBURNETT 0,2109,-98.613467,34.09432983
PointZ (-97.37385500000000604 33.67309355755480027 0),MUENSTER 2 0,2110,-97.373855,33.67309356
PointZ (-98.87578200000000095 33.518392421147297 0),ARCHER CITY 0,2111,-98.875782,33.51839242
PointZ (-98.2503200000000021 33.99935480350279704 0),PETROLIA 0,2112,-98.25032,33.9993548
PointZ (-95.57200000000000273 33.61131442798299673 0),PARIS 1 0,2113,-95.572,33.61131443
PointZ (-95.55400000000000205 33.62030831144019771 0),PARIS 1 1,2114,-95.554,33.62030831
PointZ (-95.57739999999999725 33.61416257499819693 0),PARIS 1 2,2115,-95.5774,33.61416257
PointZ (-95.57739999999999725 33.6111644989245022 0),PARIS 1 3,2116,-95.5774,33.6111645
PointZ (-95.57739999999999725 33.60816631857340298 0),PARIS 1 4,2117,-95.5774,33.60816632
PointZ (-95.57739999999999725 33.60516803394960306 0),PARIS 1 5,2118,-95.5774,33.60516803
PointZ (-95.57739999999999725 33.60216964505769965 0),PARIS 1 6,2119,-95.5774,33.60216965
PointZ (-95.57739999999999725 33.59917115190219761 0),PARIS 1 7,2120,-95.5774,33.59917115
PointZ (-95.14296600000000126 33.79289309849659872 0),BAGWELL 0,2121,-95.142966,33.7928931
PointZ (-95.98782300000000589 33.76824236051069761 0),TELEPHONE 0,2122,-95.987823,33.76824236
PointZ (-101.36377799999999638 35.43397881771640101 0),PANHANDLE 1 0,2123,-101.363778,35.43397882
PointZ (-96.54631299999999783 33.43205486529709702 0),VAN ALSTYNE 0,2124,-96.546313,33.43205487
PointZ (-96.88912399999999536 33.46043840093339838 0),TIOGA 0,2125,-96.889124,33.4604384
PointZ (-97.12495199999999329 33.4544237948122003 0),VALLEY VIEW 0,2126,-97.124952,33.45442379
PointZ (-100.52781099999999981 35.64218739193459839 0),MIAMI 0,2127,-100.527811,35.64218739
PointZ (-100.51701099999999656 35.64657569184699781 0),MIAMI 1,2128,-100.517011,35.64657569
PointZ (-96.30248500000000433 33.42710778536989835 0),TRENTON 0,2129,-96.302485,33.42710779
PointZ (-99.63958900000000085 33.1151471573478986 0),HASKELL 0,2130,-99.639589,33.11514716
PointZ (-99.6287889999999976 33.1136395133693 0),HASKELL 1,2131,-99.628789,33.11363951
PointZ (-99.63958900000000085 33.10760866779870071 0),HASKELL 2,2132,-99.639589,33.10760867
PointZ (-97.52632900000000404 33.73238575951690166 0),SAINT JO 0,2133,-97.526329,33.73238576
PointZ (-99.15223899999999446 30.02735095113240149 0),KERRVILLE 0,3001,-99.152239,30.02735095
PointZ (-99.14143900000000542 30.02735095113240149 0),KERRVILLE 1,3002,-99.141439,30.02735095
PointZ (-100.32989999999999498 32.34995620987849918 0),SWEETWATER 4 0,3003,-100.3299,32.34995621
PointZ (-100.33530000000000371 32.34676281950689969 0),SWEETWATER 4 1,3004,-100.3353,32.34676282
PointZ (-99.67347100000000637 29.63351861064030146 0),LEAKEY 0,3005,-99.673471,29.63351861
PointZ (-100.11503199999999936 32.84793124742350301 0),HAMLIN 0,3006,-100.115032,32.84793125
PointZ (-100.02372300000000394 32.4629905327391981 0),MERKEL 3 0,3007,-100.023723,32.46299053
PointZ (-99.55879099999999937 31.72618543508669831 0),COLEMAN 0,3008,-99.558791,31.72618544
PointZ (-100.55161999999999978 30.43055034255129954 0),SONORA 0,3009,-100.55162,30.43055034
PointZ (-100.06958799999999599 29.66531598559879868 0),CAMP WOOD 0,3010,-100.069588,29.66531599
PointZ (-98.90926600000000235 30.64445470642030145 0),LLANO 0,3011,-98.909266,30.64445471
PointZ (-98.69971400000000017 30.42775695121079949 0),WILLOW CITY 0,3012,-98.699714,30.42775695
PointZ (-99.65848800000000551 32.32655131297960338 0),ABILENE 4 0,3013,-99.658488,32.32655131
PointZ (-98.43374799999999425 30.66352853967060099 0),KINGSLAND 0,3014,-98.433748,30.66352854
PointZ (-100.56453899999999635 32.40457464234579987 0),ROSCOE 6 0,3015,-100.564539,32.40457464
PointZ (-100.25960000000000605 32.18439036564100064 0),BLACKWELL 0,3016,-100.2596,32.18439037
PointZ (-100.26500000000000057 32.17814416252460319 0),BLACKWELL 1,3017,-100.265,32.17814416
PointZ (-100.66082000000000107 31.07464377642419961 0),CHRISTOVAL 0,3018,-100.66082,31.07464378
PointZ (-100.64282000000000039 31.07310207464729856 0),CHRISTOVAL 1,3019,-100.64282,31.07310207
PointZ (-100.66621999999999559 31.07140616126940103 0),CHRISTOVAL 2,3020,-100.66622,31.07140616
PointZ (-99.68549199999999644 32.85803541953099938 0),LUEDERS 0,3021,-99.685492,32.85803542
PointZ (-100.9093560000000025 32.30537717915670015 0),COLORADO CITY 0,3022,-100.909356,32.30537718
PointZ (-99.84196400000000438 32.93033605521839746 0),STAMFORD 0,3023,-99.841964,32.93033606
PointZ (-100.58646400000000654 30.87426986319659861 0),ELDORADO 0,3024,-100.586464,30.87426986
PointZ (-98.75499100000000396 31.14630992036509838 0),SAN SABA 0,3025,-98.754991,31.14630992
PointZ (-99.47480000000000189 32.61650365816610275 0),ABILENE 2 0,3026,-99.4748,32.61650366
PointZ (-99.45680000000000121 32.61801977749770032 0),ABILENE 2 1,3027,-99.4568,32.61801978
PointZ (-99.48019999999999641 32.61483589039190178 0),ABILENE 2 2,3028,-99.4802,32.61483589
PointZ (-98.3677420000000069 31.24799121237940014 0),LOMETA 0,3029,-98.367742,31.24799121
PointZ (-100.31307499999999777 31.50051199569900007 0),SAN ANGELO 1 0,3030,-100.313075,31.500512
PointZ (-99.81704100000000324 32.26342703905039855 0),TUSCOLA 0,3031,-99.817041,32.26342704
PointZ (-99.91872399999999743 32.32442509865399671 0),ABILENE 7 0,3032,-99.918724,32.3244251
PointZ (-100.98619999999999663 32.70979876664490149 0),SNYDER 1 0,3033,-100.9862,32.70979877
PointZ (-100.99160000000000537 32.70661814190889771 0),SNYDER 1 1,3034,-100.9916,32.70661814
PointZ (-99.0708929999999981 30.93055631259090177 0),CHEROKEE 0,3035,-99.070893,30.93055631
PointZ (-99.12646700000000521 31.50717118367110103 0),RICHLAND SPRINGS 0,3036,-99.126467,31.50717118
PointZ (-100.6483999999999952 32.4587690344257993 0),ROSCOE 2 0,3037,-100.6484,32.45876903
PointZ (-100.63039999999999452 32.46028781905270222 0),ROSCOE 2 1,3038,-100.6304,32.46028782
PointZ (-100.65380000000000393 32.45557949099259787 0),ROSCOE 2 2,3039,-100.6538,32.45557949
PointZ (-99.92516200000000026 31.72939061320520082 0),BALLINGER 0,3040,-99.925162,31.72939061
PointZ (-100.67369999999999663 32.03626810141749814 0),SILVER 0,3041,-100.6737,32.0362681
PointZ (-100.65569999999999595 32.03931980999829676 0),SILVER 1,3042,-100.6557,32.03931981
PointZ (-100.67910000000000537 32.03611550089750182 0),SILVER 2,3043,-100.6791,32.0361155
PointZ (-100.67910000000000537 32.03306367999660154 0),SILVER 3,3044,-100.6791,32.03306368
PointZ (-100.67910000000000537 32.03001175738739903 0),SILVER 4,3045,-100.6791,32.03001176
PointZ (-100.50870000000000459 32.3000290618858017 0),ROSCOE 5 0,3046,-100.5087,32.30002906
PointZ (-100.50870000000000459 32.28785647262120051 0),ROSCOE 5 1,3047,-100.5087,32.28785647
PointZ (-100.51949999999999363 32.29698607468500171 0),ROSCOE 5 2,3048,-100.5195,32.29698607
PointZ (-99.8963940000000008 32.73726503213669758 0),ANSON 0,3049,-99.896394,32.73726503
