TSMachine,MargCost $/MWh,MVABase,MWMax,BusNum,FuelType,BusName,ID,Status,MW,Mvar,VoltSet,AGC,AVR,MWMin,MvarMin,MvarMax,CostModel,PartFact,Fuel Cost $/MBTU,Heat Rate MBTU/MWh
GENROU,20.64,951.99,806,25830,NG (Natural Gas),OXNARD 9 7,1,Closed,802.73,410.25,1.042,YES,YES,320.46,-89.47,410.25,Cubic,806,3.284,6.28501827
GENROU,18.63,856.08,803.1,40787,BIT (Bituminous Coal),PAGE 2 5,1,Closed,799.84,21.71,1.02,YES,YES,339.15,-97.98,374.24,Cubic,803.1,1.989,9.366515837
GENSAL,0,1299.87,1082.5,11019,WAT (Water),GRAND COULEE 9,1,Closed,754.61,322.47,1.041,NO,YES,424.83,-53.04,415.68,Cubic,1082.5,0,
GENROU,18.38,692.83,642.2,13698,BIT (Bituminous Coal),BOARDMAN 4 4,1,Closed,639.59,299.27,1.044,YES,YES,188.21,-78.35,299.27,Cubic,642.2,2.021,9.094507669
GENROU,20.35,716.41,600,26163,NG (Natural Gas),MC KITTRICK 2 4,1,Closed,597.56,-66.6,1.00283,YES,YES,194.01,-66.6,305.4,Cubic,600,3.481,5.846021258
GENROU,16.78,696.61,568,77261,BIT (Bituminous Coal),COLSTRIP 2 8,1,Closed,565.69,-26.01,1.02018,YES,YES,106.72,-69.3,264.69,Cubic,568,1.871,8.968466061
GENROU,16,618.21,568,77259,BIT (Bituminous Coal),COLSTRIP 2 6,1,Closed,565.69,-26.01,1.02018,YES,YES,270.11,-69.3,264.69,Cubic,568,1.784,8.968609865
GENROU,20.32,968.04,803.1,40786,BIT (Bituminous Coal),PAGE 2 4,1,Closed,558.91,21.71,1.02,YES,YES,163.19,-97.98,374.24,Cubic,803.1,2.268,8.959435626
GENROU,15.03,598.59,552.3,60751,BIT (Bituminous Coal),BRUSH 3 4,1,Closed,550.06,95.96,1.049,YES,YES,78.79,-67.38,257.37,Cubic,552.3,1.681,8.941106484
GENROU,14.11,593.17,545.1,60663,BIT (Bituminous Coal),PUEBLO 12 7,1,Closed,542.89,101.42,1.01874,YES,YES,143.32,-66.5,254.02,Cubic,545.1,1.58,8.930379747
GENROU,17.38,688.1,545.1,60664,BIT (Bituminous Coal),PUEBLO 12 8,1,Closed,542.89,101.42,1.01874,YES,YES,233.56,-66.5,254.02,Cubic,545.1,1.945,8.935732648
GENROU,18.17,598.49,545.1,60662,BIT (Bituminous Coal),PUEBLO 12 6,1,Closed,542.89,101.42,1.01874,YES,YES,234.92,-66.5,254.02,Cubic,545.1,2.034,8.933136676
GENROU,16.31,585.95,525.73,50399,BIT (Bituminous Coal),CASTLE DALE 2 5,1,Closed,523.6,-59.59,1.02018,YES,YES,55.82,-64.14,244.99,Cubic,525.73,1.832,8.902838428
GENROU,17.45,587.41,525.73,50398,BIT (Bituminous Coal),CASTLE DALE 2 4,1,Closed,523.6,-59.59,1.02018,YES,YES,171.46,-64.14,244.99,Cubic,525.73,1.961,8.898521163
GENROU,19.91,592.39,525.73,50397,BIT (Bituminous Coal),CASTLE DALE 2 3,1,Closed,523.59,-59.59,1.02018,YES,YES,69.07,-64.14,244.99,Cubic,525.73,2.237,8.900312919
GENROU,16.57,609.96,518.65,50448,BIT (Bituminous Coal),HUNTINGTON 2 3,1,Closed,516.54,241.69,1.047,YES,YES,245.71,-63.28,241.69,Cubic,518.65,1.864,8.889484979
GENROU,13.45,528.2,499.5,50382,BIT (Bituminous Coal),VERNAL 3 3,1,Closed,495.45,35.11,1.041,YES,YES,191.6,-60.94,232.77,Cubic,499.5,1.519,8.854509546
GENROU,13.59,593.45,475.87,60872,BIT (Bituminous Coal),CRAIG 2 6,1,Closed,473.94,55.38,1.01822,YES,YES,61.04,-58.06,221.75,Cubic,475.87,1.541,8.818948735
GENROU,15.21,565.2,475.87,60873,BIT (Bituminous Coal),CRAIG 2 7,1,Closed,473.94,55.38,1.01822,YES,YES,167.43,-58.06,221.75,Cubic,475.87,1.725,8.817391304
GENROU,15.69,480.85,475.87,60874,BIT (Bituminous Coal),CRAIG 2 8,1,Closed,473.93,55.38,1.01822,YES,YES,232.67,-58.06,221.75,Cubic,475.87,1.78,8.814606742
GENROU,19.98,568.58,467.97,21647,NG (Natural Gas),PITTSBURG 5 7,1,Closed,466.07,238.2,1.042,YES,YES,74.01,-51.94,238.2,Cubic,467.97,3.589,5.567010309
GENROU,17.89,514.02,441.45,40881,BIT (Bituminous Coal),SPRINGERVILLE 2 7,1,Closed,439.66,52.57,1.02018,YES,YES,68.05,-53.86,205.72,Cubic,441.45,2.043,8.756730299
GENROU,20.83,565.19,441.45,40878,BIT (Bituminous Coal),SPRINGERVILLE 2 4,1,Closed,439.66,52.57,1.02018,YES,YES,112.49,-53.86,205.72,Cubic,441.45,2.378,8.759461733
GENSAL,0,498.65,409.37,10750,WAT (Water),BRIDGEPORT 4,1,Closed,409.37,-20.06,1.00929,NO,YES,146.97,-20.06,157.2,Cubic,409.37,0,
GENROU,18.78,452.28,409.5,29083,NG (Natural Gas),SUN CITY 4 4,1,Closed,407.84,208.44,1.046,YES,YES,120.76,-45.45,208.44,Cubic,409.5,3.452,5.44032445
GENSAL,0,371.75,351,23418,WAT (Water),SHAVER LAKE 2 7,1,Closed,351,42.4,1.02508,NO,YES,35.52,-17.2,134.78,Cubic,351,0,
GENSAL,0,426.99,351,23419,WAT (Water),SHAVER LAKE 2 8,1,Closed,346.13,42.4,1.02508,NO,YES,110.04,-17.2,134.78,Cubic,351,0,
GENROU,17.75,434.91,342,25938,NG (Natural Gas),EL SEGUNDO 2 2,1,Closed,340.61,-37.96,1.02268,YES,YES,113.75,-37.96,174.08,Cubic,342,3.351,5.296926291
GENROU,22.33,822.68,702,23377,NG (Natural Gas),MOSS LANDING 4,1,Closed,338.32,-36.04,1.02312,YES,YES,328.03,-77.92,357.32,Cubic,702,3.863,5.780481491
GENSAL,0,548.59,409.37,10755,WAT (Water),BRIDGEPORT 9,1,Closed,333.93,-20.06,1.00929,NO,YES,100.4,-20.06,157.2,Cubic,409.37,0,
GENROU,19.65,376.57,333,28797,NG (Natural Gas),RANCHO CUCAMONGA 8 4,1,Closed,331.65,169.5,1.0603,YES,YES,143.29,-36.96,169.5,Cubic,333,3.722,5.279419667
GENROU,18.65,366.05,333,28798,NG (Natural Gas),RANCHO CUCAMONGA 8 5,1,Closed,331.65,169.5,1.0603,YES,YES,36.22,-36.96,169.5,Cubic,333,3.533,5.278799887
GENROU,20.72,369.63,329.1,26017,NG (Natural Gas),REDONDO BEACH 4 4,1,Closed,327.76,167.51,1.02764,YES,YES,83.56,-36.53,167.51,Cubic,329.1,3.931,5.270923429
GENROU,19.74,393.87,329.1,26019,NG (Natural Gas),REDONDO BEACH 4 6,1,Closed,327.76,167.51,1.02764,YES,YES,112.61,-36.53,167.51,Cubic,329.1,3.745,5.271028037
GENROU,21.1,457.85,329.1,26020,NG (Natural Gas),REDONDO BEACH 4 7,1,Closed,327.76,167.51,1.02764,YES,YES,95.67,-36.53,167.51,Cubic,329.1,4.003,5.271046715
GENROU,18.66,354.5,329.1,26018,NG (Natural Gas),REDONDO BEACH 4 5,1,Closed,327.76,167.51,1.02764,YES,YES,162.94,-36.53,167.51,Cubic,329.1,3.539,5.272675897
GENSAL,0,487.04,409.37,10754,WAT (Water),BRIDGEPORT 8,1,Closed,323.1,-20.06,1.00929,NO,YES,185.41,-20.06,157.2,Cubic,409.37,0,
GENROU,21.43,887.05,729.9,10860,BIT (Bituminous Coal),CENTRALIA 2 5,1,Closed,322.89,-89.05,1.02598,YES,YES,312.19,-89.05,340.13,Cubic,729.9,2.502,8.565147882
GENROU,19.21,446.37,320.33,26100,NG (Natural Gas),LONG BEACH 27 7,1,Closed,319.03,151.46,1.02606,YES,YES,140.3,-35.56,163.05,Cubic,320.33,3.657,5.252939568
GENROU,20.04,383.27,320.33,26097,NG (Natural Gas),LONG BEACH 27 4,1,Closed,319.03,151.46,1.02606,YES,YES,56.99,-35.56,163.05,Cubic,320.33,3.815,5.252948886
GENROU,19.06,320.33,320.33,26101,NG (Natural Gas),LONG BEACH 27 8,1,Closed,319.03,151.46,1.02606,YES,YES,67.6,-35.56,163.05,Cubic,320.33,3.63,5.250688705
GENROU,18.87,389.51,320.33,26098,NG (Natural Gas),LONG BEACH 27 5,1,Closed,319.03,151.46,1.02606,YES,YES,58.71,-35.56,163.05,Cubic,320.33,3.592,5.253340757
GENROU,20.15,444.98,320.33,26099,NG (Natural Gas),LONG BEACH 27 6,1,Closed,319.03,151.46,1.02606,YES,YES,127.84,-35.56,163.05,Cubic,320.33,3.836,5.25286757
GENSAL,0,370.08,360,13504,WAT (Water),THE DALLES 2 9,1,Closed,316.7,-17.64,1.02018,NO,YES,145.44,-17.64,138.24,Cubic,360,0,
GENROU,20.67,945,803.1,40788,BIT (Bituminous Coal),PAGE 2 6,1,Closed,308.1,21.71,1.02,YES,YES,296.33,-97.98,374.24,Cubic,803.1,2.421,8.5377943
GENSAL,0,363.69,360,13502,WAT (Water),THE DALLES 2 7,1,Closed,304.83,-17.64,1.02018,NO,YES,134.69,-17.64,138.24,Cubic,360,0,
GENROU,20.08,407.08,305.1,26164,NG (Natural Gas),MC KITTRICK 2 5,1,Closed,303.87,-33.87,1.00283,YES,YES,83.01,-33.87,155.3,Cubic,305.1,3.847,5.219651677
GENSAL,0,341.63,303.28,13629,WAT (Water),THE DALLES 3 10,1,Closed,303.28,-14.86,1.0251,NO,YES,33.23,-14.86,116.46,Cubic,303.28,0,
GENROU,21.22,390.91,300,26165,NG (Natural Gas),MC KITTRICK 2 6,1,Closed,298.78,-33.3,1.00283,YES,YES,68.61,-33.3,152.7,Cubic,300,4.073,5.209918979
GENROU,18.05,342.41,300,26166,NG (Natural Gas),MC KITTRICK 2 7,1,Closed,298.78,-33.3,1.00283,YES,YES,129.24,-33.3,152.7,Cubic,300,3.465,5.209235209
GENROU,19.87,393.78,294.8,30347,BIT (Bituminous Coal),MOAPA 2 3,1,Closed,293.6,137.38,1.044,YES,YES,132.05,-35.97,137.38,Cubic,294.8,2.335,8.509635974
GENSAL,0,417.45,409.37,10752,WAT (Water),BRIDGEPORT 6,1,Closed,293.05,-20.06,1.00929,NO,YES,60.56,-20.06,157.2,Cubic,409.37,0,
GENROU,21.05,532.28,441.45,40880,BIT (Bituminous Coal),SPRINGERVILLE 2 6,1,Closed,293.05,52.57,1.02018,YES,YES,54.27,-53.86,205.72,Cubic,441.45,2.473,8.511928831
GENROU,17.54,293.6,293.6,60891,BIT (Bituminous Coal),WELLINGTON 4 8,1,Closed,292.41,38.28,1.0241,YES,YES,87.56,-35.82,136.82,Cubic,293.6,2.061,8.510431829
GENSAL,0,414.27,351,23417,WAT (Water),SHAVER LAKE 2 6,1,Closed,291.98,42.4,1.02508,NO,YES,83.19,-17.2,134.78,Cubic,351,0,
GENSAL,0,442.29,360,13501,WAT (Water),THE DALLES 2 6,1,Closed,290.08,-17.64,1.02018,NO,YES,71.82,-17.64,138.24,Cubic,360,0,
GENROU,23.2,972.38,818.1,53298,BIT (Bituminous Coal),FRUITLAND 2 5,1,Closed,288.48,-99.81,1.01577,YES,YES,276.49,-99.81,381.23,Cubic,818.1,2.728,8.504398827
,0,395.46,332.5,21617,WND (Wind),LIVERMORE 5 3,1,Closed,283.17,70.82,1.037,NO,YES,140.67,-47.88,70.82,Cubic,332.5,0,
GENROU,20.23,392.74,283.5,30316,BIT (Bituminous Coal),VALMY 4,1,Closed,282.35,71.94,1.02508,YES,YES,114.35,-34.59,132.11,Cubic,283.5,2.382,8.49286314
GENROU,18.7,302,282.2,40935,BIT (Bituminous Coal),JOSEPH CITY 2 5,1,Closed,281.05,94.06,1.02214,YES,YES,140.46,-34.43,131.51,Cubic,282.2,2.203,8.488424875
GENROU,17.66,417.06,282.2,40934,BIT (Bituminous Coal),JOSEPH CITY 2 4,1,Closed,281.05,94.06,1.02214,YES,YES,41.02,-34.43,131.51,Cubic,282.2,2.08,8.490384615
GENROU,10.35,412.33,275.65,60727,BIT (Bituminous Coal),DENVER 55 4,1,Closed,274.53,16.53,1.02417,YES,YES,44.09,-33.63,128.45,Cubic,275.65,1.22,8.483606557
GENROU,15.25,354.46,275.65,60728,BIT (Bituminous Coal),DENVER 55 5,1,Closed,274.53,16.53,1.02417,YES,YES,110.55,-33.63,128.45,Cubic,275.65,1.798,8.481646274
GENROU,20.73,276.92,274.4,26216,NG (Natural Gas),PLAYA DEL REY 5,1,Closed,273.29,-30.46,1.02116,YES,YES,75.93,-30.46,139.67,Cubic,274.4,4.022,5.154152163
GENROU,20.89,274.4,274.4,26215,NG (Natural Gas),PLAYA DEL REY 4,1,Closed,273.29,-30.46,1.02116,YES,YES,124.17,-30.46,139.67,Cubic,274.4,4.053,5.15420676
GENROU,19.26,325.12,274.4,26217,NG (Natural Gas),PLAYA DEL REY 6,1,Closed,273.29,-30.46,1.02116,YES,YES,71.7,-30.46,139.67,Cubic,274.4,3.737,5.153866738
,0,314.1,290,13684,WND (Wind),ARLINGTON 8 4,1,Closed,267.92,53.19,1.043,NO,YES,138.17,-41.76,61.77,Cubic,290,0,
,0,265.65,265.4,28906,WND (Wind),OCOTILLO 4,1,Closed,265.4,-38.22,1.01067,NO,YES,45.1,-38.22,56.53,Cubic,265.4,0,
GENSAL,0,307.04,271,26201,WAT (Water),CASTAIC 3 8,1,Closed,257.84,57.96,1.02214,NO,YES,93.87,-13.28,104.06,Cubic,271,0,
GENROU,16.31,328.25,257,53233,BIT (Bituminous Coal),PREWITT 6,1,Closed,255.96,119.76,1.0622,YES,YES,53.25,-31.35,119.76,Cubic,257,1.931,8.446400829
GENROU,21.19,472.89,467.97,21646,NG (Natural Gas),PITTSBURG 5 6,1,Closed,253.45,238.2,1.042,YES,YES,191.25,-51.94,238.2,Cubic,467.97,3.925,5.398726115
,0,337.51,250.8,60712,WND (Wind),NEW RAYMER 4,1,Closed,250.8,53.42,1.048,NO,YES,120.62,-36.12,53.42,Cubic,250.8,0,
GENROU,16.91,301.43,248,11050,NG (Natural Gas),VANCOUVER 18 3,1,Closed,246.99,126.23,1.0385,YES,YES,115.79,-27.53,126.23,Cubic,248,3.316,5.099517491
GENROU,18.62,322.43,247.4,21726,NG (Natural Gas),CROCKETT 5,1,Closed,246.39,78.59,1.01822,YES,YES,49.35,-27.46,125.93,Cubic,247.4,3.654,5.095785441
GENSAL,0,310.7,303.28,13626,WAT (Water),THE DALLES 3 7,1,Closed,246.09,-14.86,1.0251,NO,YES,37.12,-14.86,116.46,Cubic,303.28,0,
GENROU,19.99,244.27,244.27,30374,NG (Natural Gas),LAS VEGAS 72 6,1,Closed,243.28,80.48,1.02018,YES,YES,88.46,-27.11,124.33,Cubic,244.27,3.927,5.090399796
GENROU,19.98,245.81,244.27,30376,NG (Natural Gas),LAS VEGAS 72 8,1,Closed,243.27,80.48,1.02018,YES,YES,66.84,-27.11,124.33,Cubic,244.27,3.925,5.09044586
GENROU,18.96,338.22,241.5,13693,NG (Natural Gas),CLATSKANIE 5 5,1,Closed,240.52,72.85,1.03054,YES,YES,99.65,-26.81,122.92,Cubic,241.5,3.728,5.08583691
GENROU,18.9,244.41,241.5,13694,NG (Natural Gas),CLATSKANIE 5 6,1,Closed,240.52,72.85,1.03054,YES,YES,33.42,-26.81,122.92,Cubic,241.5,3.718,5.08337816
GENROU,21.06,521.05,410.9,40764,BIT (Bituminous Coal),SAINT JOHNS 2 5,1,Closed,238.61,191.48,1.03517,YES,YES,113.71,-50.13,191.48,Cubic,410.9,2.502,8.417266187
GENSAL,0,345.59,271,26200,WAT (Water),CASTAIC 3 7,1,Closed,237.95,57.96,1.02214,NO,YES,29.48,-13.28,104.06,Cubic,271,0,
GENROU,17.81,327.37,237.47,20300,NG (Natural Gas),MAXWELL 5,1,Closed,236.51,50.69,1.02606,YES,YES,51.03,-26.36,120.87,Cubic,237.47,3.508,5.076966933
GENROU,19.12,298.78,237.47,20301,NG (Natural Gas),MAXWELL 6,1,Closed,236.51,50.69,1.02606,YES,YES,86.03,-26.36,120.87,Cubic,237.47,3.767,5.075657022
GENROU,19.72,314.16,237.47,20299,NG (Natural Gas),MAXWELL 4,1,Closed,236.5,50.69,1.02606,YES,YES,56.77,-26.36,120.87,Cubic,237.47,3.885,5.075933076
GENROU,17.26,244.29,235.88,21611,NG (Natural Gas),PITTSBURG 4 5,1,Closed,234.92,24.58,1.02116,YES,YES,25.85,-26.18,120.06,Cubic,235.88,3.403,5.071995298
GENROU,20.38,298.35,235.88,21613,NG (Natural Gas),PITTSBURG 4 7,1,Closed,234.92,24.58,1.02116,YES,YES,32.64,-26.18,120.06,Cubic,235.88,4.018,5.072175212
GENROU,20.43,266.29,235.88,21612,NG (Natural Gas),PITTSBURG 4 6,1,Closed,234.92,24.58,1.02116,YES,YES,97.33,-26.18,120.06,Cubic,235.88,4.028,5.071996028
GENROU,18.84,252.6,233,23383,NG (Natural Gas),MOSS LANDING 10,1,Closed,232.05,-25.86,1.02312,YES,YES,44.19,-25.86,118.6,Cubic,233,3.718,5.067240452
GENROU,19.25,233,233,23381,NG (Natural Gas),MOSS LANDING 8,1,Closed,232.05,-25.86,1.02312,YES,YES,70.7,-25.86,118.6,Cubic,233,3.799,5.067122927
GENROU,17.45,233,233,23384,NG (Natural Gas),MOSS LANDING 11,1,Closed,232.05,-25.86,1.02312,YES,YES,100.19,-25.86,118.6,Cubic,233,3.443,5.068254429
GENROU,19.63,251.6,233,23379,NG (Natural Gas),MOSS LANDING 6,1,Closed,232.05,-25.86,1.02312,YES,YES,94.83,-25.86,118.6,Cubic,233,3.874,5.067114094
GENROU,19.83,255.96,233,23380,NG (Natural Gas),MOSS LANDING 7,1,Closed,232.05,-25.86,1.02312,YES,YES,80.42,-25.86,118.6,Cubic,233,3.914,5.066428206
GENROU,16.21,258.03,232.7,60707,BIT (Bituminous Coal),HAYDEN 2 4,1,Closed,231.75,-28.39,1.02018,YES,YES,44.07,-28.39,108.44,Cubic,232.7,1.928,8.407676349
GENROU,13.56,303.4,232.7,60708,BIT (Bituminous Coal),HAYDEN 2 5,1,Closed,231.75,-28.39,1.02018,YES,YES,51.23,-28.39,108.44,Cubic,232.7,1.612,8.41191067
GENROU,16.01,290.05,232.67,10931,NG (Natural Gas),CHEHALIS 2 4,1,Closed,231.72,58.32,1.044,YES,YES,37.97,-25.83,118.43,Cubic,232.67,3.161,5.064852895
GENROU,16.79,261.17,232.67,10932,NG (Natural Gas),CHEHALIS 2 5,1,Closed,231.72,58.32,1.044,YES,YES,90.77,-25.83,118.43,Cubic,232.67,3.315,5.064856712
GENSAL,0,413.28,360,13503,WAT (Water),THE DALLES 2 8,1,Closed,231.15,-17.64,1.02018,NO,YES,64.16,-17.64,138.24,Cubic,360,0,
GENSAL,0,367.35,303.28,13627,WAT (Water),THE DALLES 3 8,1,Closed,230.23,-14.86,1.0251,NO,YES,119.14,-14.86,116.46,Cubic,303.28,0,
GENROU,17.06,307.38,230.83,50365,NG (Natural Gas),OREM 6 10,1,Closed,229.9,42.75,1.02214,YES,YES,61.14,-25.62,117.49,Cubic,230.83,3.37,5.06231454
GENROU,19.78,319,230.83,50363,NG (Natural Gas),OREM 6 8,1,Closed,229.9,42.75,1.02214,YES,YES,59.65,-25.62,117.49,Cubic,230.83,3.908,5.061412487
GENROU,19.42,272.47,230.83,50360,NG (Natural Gas),OREM 6 5,1,Closed,229.9,42.75,1.02214,YES,YES,49.16,-25.62,117.49,Cubic,230.83,3.837,5.061245765
GENROU,20.13,309.24,230.53,40838,NG (Natural Gas),ARLINGTON 9 4,1,Closed,229.6,-21.87,1.03593,YES,YES,66.2,-25.59,117.34,Cubic,230.53,3.977,5.061604224
GENSAL,0,500.74,360,13499,WAT (Water),THE DALLES 2 4,1,Closed,229.4,-17.64,1.02018,NO,YES,58.01,-17.64,138.24,Cubic,360,0,
GENROU,19.43,249.38,230,26174,NG (Natural Gas),LONG BEACH 28 4,1,Closed,229.07,-25.53,1.01998,YES,YES,24.33,-25.53,117.07,Cubic,230,3.84,5.059895833
GENROU,17.05,247.19,229.8,13511,NG (Natural Gas),HERMISTON 3 6,1,Closed,228.87,-25.51,1.0192,YES,YES,113.38,-25.51,116.97,Cubic,229.8,3.369,5.060848917
GENROU,17.64,309.23,229.8,13509,NG (Natural Gas),HERMISTON 3 4,1,Closed,228.87,-25.51,1.0192,YES,YES,106.55,-25.51,116.97,Cubic,229.8,3.487,5.058789791
GENROU,18.63,271.04,229.8,13510,NG (Natural Gas),HERMISTON 3 5,1,Closed,228.87,-25.51,1.0192,YES,YES,110.52,-25.51,116.97,Cubic,229.8,3.681,5.061124694
GENROU,20.33,296.81,229.5,29020,NG (Natural Gas),SAN DIEGO 53 6,1,Closed,228.57,49.76,1.02,YES,YES,39.74,-25.47,116.82,Cubic,229.5,4.019,5.058472257
GENROU,18.78,243.17,229.5,29018,NG (Natural Gas),SAN DIEGO 53 4,1,Closed,228.57,49.76,1.02,YES,YES,74.82,-25.47,116.82,Cubic,229.5,3.712,5.059267241
GENROU,20.65,233.61,229.5,29019,NG (Natural Gas),SAN DIEGO 53 5,1,Closed,228.57,49.76,1.02,YES,YES,102,-25.47,116.82,Cubic,229.5,4.081,5.060034305
GENROU,15.53,320.01,229.47,23510,NG (Natural Gas),JEAN 2 6,1,Closed,228.54,16.42,1.02606,YES,YES,85.49,-25.47,116.8,Cubic,229.47,3.069,5.060280222
GENROU,19.76,289.27,229.47,23511,NG (Natural Gas),JEAN 2 7,1,Closed,228.53,16.42,1.02606,YES,YES,85.06,-25.47,116.8,Cubic,229.47,3.906,5.058883769
GENROU,19.27,296.39,228.37,60834,NG (Natural Gas),KEENESBURG 2 5,1,Closed,227.44,6.27,1.02508,YES,YES,89.37,-25.35,116.24,Cubic,228.37,3.81,5.057742782
GENROU,18.46,294.77,228.37,60833,NG (Natural Gas),KEENESBURG 2 4,1,Closed,227.44,6.27,1.02508,YES,YES,95.11,-25.35,116.24,Cubic,228.37,3.65,5.057534247
GENROU,17.75,336.56,226.1,21653,NG (Natural Gas),PITTSBURG 6 5,1,Closed,225.18,63.23,1.02116,YES,YES,108.62,-25.1,115.08,Cubic,226.1,3.513,5.052661543
GENROU,18.85,339.11,226.1,21651,NG (Natural Gas),PITTSBURG 6 3,1,Closed,225.18,63.23,1.02116,YES,YES,83.12,-25.1,115.08,Cubic,226.1,3.731,5.052264808
GENROU,18.32,273.13,226.1,21652,NG (Natural Gas),PITTSBURG 6 4,1,Closed,225.18,63.23,1.02116,YES,YES,63.81,-25.1,115.08,Cubic,226.1,3.627,5.051006341
GENROU,29.67,717.63,610.48,70155,BIT (Bituminous Coal),POINT OF ROCKS 5,1,Closed,224.65,-40.17,1.01724,YES,YES,215.71,-74.48,284.48,Cubic,610.47,3.534,8.395585739
,0,336.76,262.2,10959,WND (Wind),CENTERVILLE 1 3,1,Closed,221.29,55.85,1.048,NO,YES,64.38,-37.76,55.85,Cubic,262.2,0,
GENROU,20.87,237.67,221,40907,NG (Natural Gas),GILBERT 12 10,1,Closed,220.1,34.14,1.02116,YES,YES,31.53,-24.53,112.49,Cubic,221,4.141,5.039845448
GENROU,20.86,262.15,221,40906,NG (Natural Gas),GILBERT 12 9,1,Closed,220.1,34.14,1.02116,YES,YES,67.42,-24.53,112.49,Cubic,221,4.138,5.041082649
GENROU,18.86,247.26,221,40905,NG (Natural Gas),GILBERT 12 8,1,Closed,220.1,34.14,1.02116,YES,YES,74.08,-24.53,112.49,Cubic,221,3.741,5.041432772
GENROU,20.54,261.62,221,40903,NG (Natural Gas),GILBERT 12 6,1,Closed,220.1,34.14,1.02116,YES,YES,24.26,-24.53,112.49,Cubic,221,4.074,5.041728031
GENROU,20.68,227.38,221,40904,NG (Natural Gas),GILBERT 12 7,1,Closed,220.1,34.14,1.02116,YES,YES,80.46,-24.53,112.49,Cubic,221,4.102,5.041443198
GENROU,20.39,238.78,220.85,40917,NG (Natural Gas),TONOPAH 4 9,1,Closed,219.95,-24.51,1.03488,YES,YES,103.04,-24.51,112.41,Cubic,220.85,4.046,5.03954523
GENROU,19.27,292.79,220.85,40915,NG (Natural Gas),TONOPAH 4 7,1,Closed,219.95,-24.51,1.03488,YES,YES,61.55,-24.51,112.41,Cubic,220.85,3.823,5.040544075
GENROU,20.3,228.01,220.85,40916,NG (Natural Gas),TONOPAH 4 8,1,Closed,219.95,-24.51,1.03488,YES,YES,70.74,-24.51,112.41,Cubic,220.85,4.028,5.039721946
GENROU,19.21,272.96,220.85,40913,NG (Natural Gas),TONOPAH 4 5,1,Closed,219.95,-24.51,1.03488,YES,YES,26.44,-24.51,112.41,Cubic,220.85,3.81,5.041994751
GENSAL,0,275.31,218.67,40925,WAT (Water),PAGE 3 4,1,Closed,218.67,-10.71,1.02606,NO,YES,83.24,-10.71,83.97,Cubic,218.67,0,
GENROU,18.66,244.43,218.33,21731,NG (Natural Gas),HAYWARD 8 5,1,Closed,217.45,111.13,1.01843,YES,YES,106.31,-24.23,111.13,Cubic,218.33,3.707,5.033719989
GENROU,18.78,233.08,218.33,21732,NG (Natural Gas),HAYWARD 8 6,1,Closed,217.45,111.13,1.01843,YES,YES,55.11,-24.23,111.13,Cubic,218.33,3.729,5.036202735
