Gen
BusNum,BusName,AreaName,ID,Status,AGC,MW,MWMin,MWMax,CostModel,FixedCostInd,FixedCostDep,CubicB,CubicC,CubicD,FuelCost,VariableOM,FuelType,UnitType,CostShift,CostMultiplier,BidMW:0,BidMWHr:0,BidMW:1,BidMWHr:1,BidMW:2,BidMWHr:2,BidMW:3,BidMWHr:3,BidMW:4,BidMWHr:4,BidMW:5,BidMWHr:5,BidMW:6,BidMWHr:6,BidMW:7,BidMWHr:7,BidMW:8,BidMWHr:8,BidMW:9,BidMWHr:9,BidMW:10,BidMWHr:10,BidMW:11,BidMWHr:11,BidMW:12,BidMWHr:12,BidMW:13,BidMWHr:13,BidMW:14,BidMWHr:14,BidMW:15,BidMWHr:15,BidMW:16,BidMWHr:16,BidMW:17,BidMWHr:17,BidMW:18,BidMWHr:18,BidMW:19,BidMWHr:19
10774,ROCKPORT 1 6,Washington,1,Closed,NO,41.38,19.73,51.82,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WAT (Water),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10776,MOUNT VERNON 4 2,Washington,1,Open,NO,0.00,3.77,28.00,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,SUN (Solar),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10776,MOUNT VERNON 4 2,Washington,2,Closed,NO,14.32,6.15,20.00,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,SUN (Solar),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10778,SPOKANE 20 1,Washington,1,Closed,NO,8.03,3.14,10.00,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WAT (Water),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10778,SPOKANE 20 1,Washington,2,Closed,NO,14.80,5.13,14.80,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WAT (Water),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10782,LONGVIEW 3 2,Washington,1,Closed,NO,13.43,6.40,18.33,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,SUN (Solar),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10782,LONGVIEW 3 2,Washington,2,Closed,NO,14.65,7.37,18.33,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,SUN (Solar),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10783,LONGVIEW 3 3,Washington,1,Closed,NO,13.24,3.49,18.33,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,SUN (Solar),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10784,BELLINGHAM 7 1,Washington,1,Closed,NO,17.21,5.25,39.40,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,SUN (Solar),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10784,BELLINGHAM 7 1,Washington,2,Closed,NO,42.83,15.39,58.20,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,SUN (Solar),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10785,BELLINGHAM 7 2,Washington,1,Closed,NO,39.40,6.69,39.40,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,SUN (Solar),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10785,BELLINGHAM 7 2,Washington,2,Closed,NO,31.08,16.12,39.40,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,SUN (Solar),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10791,ROSALIA 3,Washington,1,Closed,NO,58.20,19.81,105.30,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WND (Wind),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10796,ANACORTES 2 3,Washington,1,Open,YES,0.00,7.42,41.70,Cubic,662.55,0.00,4.627,0.0004,0.00000,3.375,0.000,NG (Natural Gas),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10797,ANACORTES 2 4,Washington,1,Closed,YES,41.53,8.83,41.70,Cubic,662.55,0.00,4.627,0.0004,0.00000,3.514,0.000,NG (Natural Gas),UN (Unknown),0.000,1.000,8.83,16.29,15.40,16.31,21.98,16.33,28.55,16.35,35.13,16.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10797,ANACORTES 2 4,Washington,2,Closed,YES,41.53,16.64,41.70,Cubic,662.55,0.00,4.627,0.0004,0.00000,3.396,0.000,NG (Natural Gas),UN (Unknown),0.000,1.000,16.64,15.76,21.65,15.78,26.67,15.79,31.68,15.80,36.69,15.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10798,ANACORTES 2 5,Washington,1,Closed,YES,41.53,13.81,41.70,Cubic,662.55,0.00,4.627,0.0004,0.00000,3.275,0.000,NG (Natural Gas),UN (Unknown),0.000,1.000,13.81,15.20,19.39,15.21,24.97,15.23,30.54,15.24,36.12,15.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10800,GOLDENDALE 3 1,Washington,1,Closed,NO,82.34,28.86,97.80,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WND (Wind),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10802,KIRKLAND 5 2,Washington,1,Closed,NO,10.22,5.95,12.00,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WAT (Water),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10803,KIRKLAND 5 3,Washington,1,Closed,NO,12.00,4.13,12.00,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WAT (Water),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10806,ROCKPORT 2 2,Washington,1,Closed,NO,34.74,17.18,45.60,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WAT (Water),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10806,ROCKPORT 2 2,Washington,2,Closed,NO,42.97,17.54,45.60,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WAT (Water),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10807,ROCKPORT 2 3,Washington,1,Open,NO,0.00,21.01,45.60,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WAT (Water),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10807,ROCKPORT 2 3,Washington,2,Closed,NO,30.26,14.39,45.60,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WAT (Water),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10811,RICHLAND 4 4,Washington,1,Closed,YES,1195.12,469.13,1200.00,Cubic,1000.00,0.00,8.000,0.0002,0.00000,1.000,0.000,NUC (Nuclear),UN (Unknown),0.000,1.000,469.13,8.21,615.31,8.26,761.48,8.32,907.65,8.37,1053.83,8.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10813,AMBOY 1,Washington,1,Closed,NO,56.32,17.86,67.00,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WAT (Water),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10813,AMBOY 1,Washington,2,Open,NO,0.00,30.37,67.00,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WAT (Water),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10817,KETTLE FALLS 2 1,Washington,1,Closed,NO,50.70,22.04,50.70,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,SUN (Solar),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10818,KETTLE FALLS 2 2,Washington,1,Open,NO,0.00,2.33,7.20,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,SUN (Solar),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10821,BICKLETON 1 2,Washington,1,Open,NO,0.00,63.85,151.20,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WND (Wind),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10829,POMEROY 1 6,Washington,1,Closed,NO,75.24,19.27,135.00,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WAT (Water),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10830,POMEROY 1 7,Washington,1,Closed,NO,135.00,57.68,135.00,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WAT (Water),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10831,POMEROY 1 8,Washington,1,Closed,NO,106.15,45.80,135.00,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WAT (Water),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10832,POMEROY 1 9,Washington,1,Closed,NO,135.00,45.85,135.00,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WAT (Water),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10833,POMEROY 1 10,Washington,1,Closed,NO,88.14,49.28,135.00,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WAT (Water),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10834,POMEROY 1 11,Washington,1,Closed,NO,75.59,34.53,135.00,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WAT (Water),UN (Unknown),0.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10836,TACOMA 20 1,Washington,1,Closed,YES,88.54,20.57,88.90,Cubic,733.35,0.00,4.690,0.0004,0.00000,3.141,0.000,NG (Natural Gas),UN (Unknown),0.000,1.000,20.57,14.80,34.24,14.84,47.90,14.87,61.57,14.90,75.23,14.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
