Number,Name,Area Name,Nom kV,PU Volt,Volt (kV),Angle (Deg),Substation Latitude,Substation Longitude,Load MW,Load Mvar,Gen MW,Gen Mvar,Switched Shunts Mvar,Act G Shunt MW,Act B Shunt Mvar,Area Num,Zone Num
100191,PORT ANGELES 2 1,Washington,345.0,1.03859,358.314,-36.54,47.988,-123.332,,,,,,0,0,1,1
100201,PORT ANGELES 2 2,Washington,138.0,1.01632,140.252,-39.07,47.988,-123.332,53.35,4.54,,,33.05,0,0,1,1
100211,CATHLAMET 1,Washington,138.0,1.02711,141.742,-31.9,46.1904,-123.332,8.99,2.13,,,,0,0,1,1
100221,SHELTON 1 1,Washington,138.0,1.04054,143.594,-35.69,47.1504,-123.13,48.19,15.92,,,,0,0,1,1
100231,SHELTON 2 1,Washington,345.0,1.0324,356.176,-33.23,47.1479,-123.0717,,,,,,0,0,1,1
100241,SHELTON 2 2,Washington,138.0,1.04398,144.069,-35.61,47.1479,-123.0717,43.96,8.97,,,,0,0,1,1
100251,ROCHESTER 1,Washington,138.0,1.03334,142.601,-32.72,46.7918,-123.0418,30.89,12.76,,,,0,0,1,1
100261,FRIDAY HARBOR 1,Washington,138.0,1.01168,139.612,-41.07,48.6268,-123.0375,18.65,4.97,,,,0,0,1,1
100271,SEQUIM 1 1,Washington,138.0,1.0039,138.538,-41.07,48.0874,-123.158,,,,,,0,0,1,1
100281,SEQUIM 1 2,Washington,138.0,1.00369,138.509,-41.09,48.0874,-123.158,32.23,12.72,,,,0,0,1,1
100291,SEQUIM 2 1,Washington,138.0,1.00895,139.235,-40.46,48.0024,-123.0817,32.23,1.85,,,,0,0,1,1
100301,OLYMPIA 1 1,Washington,138.0,1.03723,143.138,-35.05,47.0228,-123.1324,,,,,,0,0,1,1
100311,OLYMPIA 1 2,Washington,138.0,1.03707,143.115,-35.07,47.0228,-123.1324,39.8,7.18,,,,0,0,1,1
100321,OLYMPIA 2 1,Washington,138.0,1.03075,142.244,-36.12,47.0673,-123.1433,41.5,5.68,,,,0,0,1,1
100331,LONGVIEW 1 1,Washington,138.0,1.01684,140.324,-32.56,46.1277,-123.011,59.05,6.96,,,,0,0,1,1
100341,LONGVIEW 2 1,Washington,138.0,1.01568,140.163,-32.43,46.1467,-122.9894,,,,,,0,0,1,1
100351,LONGVIEW 2 2,Washington,138.0,1.01513,140.088,-32.45,46.1467,-122.9894,59.05,42.65,,,,0,0,1,1
100361,LONGVIEW 2 3,Washington,138.0,1.01632,140.252,-32.39,46.1467,-122.9894,,,,,,0,0,1,1
100371,CHEHALIS 1 1,Washington,138.0,1.0338,142.665,-32.09,46.66,-122.9629,58.29,11.32,,,,0,0,1,1
100381,OLYMPIA 3 1,Washington,138.0,1.03567,142.923,-36.4,47.1433,-123.0213,36.59,13.17,,,,0,0,1,1
100391,OLYMPIA 3 2,Washington,138.0,1.03591,142.955,-36.38,47.1433,-123.0213,,,,,,0,0,1,1
100401,OLYMPIA 4 1,Washington,138.0,1.03024,142.173,-37.08,47.1717,-122.9228,43.57,13.69,,,,0,0,1,1
100411,WINLOCK 1,Washington,138.0,1.03232,142.461,-31.34,46.4187,-122.8957,20.08,9.93,,,,0,0,1,1
100421,CENTRALIA 1 1,Washington,138.0,1.03289,142.539,-33.19,46.7548,-122.8481,59.25,11.36,,,,0,0,1,1
100431,BELFAIR 1,Washington,138.0,1.02181,141.009,-38.81,47.4535,-122.9264,,,,,,0,0,1,1
100441,BELFAIR 2,Washington,138.0,1.0217,140.995,-38.83,47.4535,-122.9264,37.54,1.74,,,,0,0,1,1
100451,CASTLE ROCK 1 1,Washington,138.0,1.02278,141.144,-32.15,46.3394,-122.8091,25.35,12.91,,,,0,0,1,1
100461,OLYMPIA 5 1,Washington,138.0,1.02229,141.076,-34.51,46.9955,-122.8581,,,,,,0,0,1,1
100471,OLYMPIA 5 2,Washington,138.0,1.02213,141.054,-34.54,46.9955,-122.8581,45.76,5.94,,,,0,0,1,1
100481,OLYMPIA 6 1,Washington,138.0,1.02264,141.124,-34.49,46.9904,-122.886,45.76,10.24,,,,0,0,1,1
100491,OLYMPIA 6 2,Washington,138.0,1.02285,141.153,-34.46,46.9904,-122.886,,,,,,0,0,1,1
100501,OLYMPIA 6 3,Washington,138.0,1.02264,141.124,-34.49,46.9904,-122.886,,,,,,0,0,1,1
100511,EASTSOUND 1,Washington,138.0,1.01365,139.884,-40.81,48.5514,-122.9455,,,,,,0,0,1,1
100521,EASTSOUND 2,Washington,138.0,1.01358,139.874,-40.83,48.5514,-122.9455,17.51,1.94,,,,0,0,1,1
100531,OLYMPIA 7 1,Washington,138.0,1.02691,141.713,-33.68,47.0745,-122.8519,43.68,4.56,,,,0,0,1,1
100541,PORT TOWNSEND 1,Washington,138.0,1.00466,138.643,-41.06,48.0143,-122.8913,43.32,16.13,,,,0,0,1,1
100551,TENINO 1,Washington,138.0,1.02673,141.688,-34.75,46.9218,-122.8071,17.57,5.16,,,,0,0,1,1
100561,TENINO 2,Washington,138.0,1.02683,141.702,-34.74,46.9218,-122.8071,,,,,,0,0,1,1
100571,LACEY 1 1,Washington,345.0,1.03095,355.679,-32.3,46.9892,-122.7222,,,,,,0,0,1,1
100581,LACEY 1 2,Washington,138.0,1.02231,141.079,-34.67,46.9892,-122.7222,43.93,8.14,,,,0,0,1,1
100591,LACEY 1 3,Washington,345.0,1.03172,355.944,-32.21,46.9892,-122.7222,,,,,,0,0,1,1
100601,LACEY 2 1,Washington,138.0,1.02006,140.768,-34.76,47.003,-122.7906,43.93,27.62,,,,0,0,1,1
100611,OLYMPIA 8 1,Washington,138.0,1.02613,141.606,-38.07,47.1839,-122.752,51.07,18.71,,,23.16,0,0,1,1
100621,BREMERTON 1 1,Washington,138.0,1.02061,140.844,-39.87,47.5276,-122.8087,,,,,,0,0,1,1
100631,BREMERTON 1 2,Washington,138.0,1.02079,140.87,-39.85,47.5276,-122.8087,,,,,,0,0,1,1
100641,BREMERTON 1 3,Washington,138.0,1.02042,140.817,-39.89,47.5276,-122.8087,36.24,9.3,,,,0,0,1,1
100651,BREMERTON 2 1,Washington,138.0,1.01979,140.731,-39.7,47.5296,-122.8782,46.26,6.82,,,,0,0,1,1
100661,BREMERTON 2 2,Washington,13.8,1.01979,14.073,-39.7,47.5296,-122.8782,,,,,,0,0,1,1
100671,BREMERTON 2 3,Washington,13.8,1.01979,14.073,-39.7,47.5296,-122.8782,,,,,,0,0,1,1
100681,BREMERTON 2 4,Washington,1.0,1.01979,1.02,-39.7,47.5296,-122.8782,,,,,,0,0,1,1
100691,KELSO 1,Washington,138.0,1.01275,139.76,-33.02,46.0854,-122.8403,58.86,14.48,,,,0,0,1,1
100701,LAKEBAY 1 1,Washington,138.0,1.02411,141.328,-39.02,47.3623,-122.7386,11.07,0.16,,,,0,0,1,1
100711,OLYMPIA 9 1,Washington,138.0,1.02579,141.559,-35.01,46.8946,-122.7153,38.37,10.34,,,,0,0,1,1
100721,OLYMPIA 10 1,Washington,138.0,1.02008,140.772,-35.1,47.0142,-122.6934,,,,,,0,0,1,1
100731,OLYMPIA 10 2,Washington,138.0,1.01975,140.725,-35.12,47.0142,-122.6934,38.37,20.18,,,,0,0,1,1
100741,KALAMA 1,Washington,138.0,1.01426,139.968,-33.37,46.0192,-122.7669,,,,,,0,0,1,1
100751,KALAMA 2,Washington,138.0,1.01417,139.956,-33.37,46.0192,-122.7669,14.72,4.64,,,,0,0,1,1
100761,GIG HARBOR 1 1,Washington,138.0,1.02451,141.382,-38.17,47.3039,-122.7883,27.96,2.98,,,,0,0,1,1
100771,VANCOUVER 1 1,Washington,138.0,1.02632,141.633,-34.86,45.7379,-122.691,28.46,7.93,,,,0,0,1,1
100781,SILVERDALE 1 1,Washington,345.0,1.0324,356.177,-34.3,47.7074,-122.6578,,,,,,0,0,1,1
100791,SILVERDALE 1 2,Washington,138.0,1.02239,141.09,-38.19,47.7074,-122.6578,55.86,12.51,,,,0,0,1,1
100801,SILVERDALE 1 3,Washington,24.0,1.01645,24.395,-43.76,47.7074,-122.6578,,,,,,0,0,1,1
100811,SILVERDALE 1 4,Washington,1.0,1.01645,1.016,-43.76,47.7074,-122.6578,,,,,,0,0,1,1
100821,SILVERDALE 2 1,Washington,138.0,1.02018,140.785,-39.06,47.7601,-122.7149,,,,,,0,0,1,1
100831,SILVERDALE 2 2,Washington,138.0,1.02003,140.764,-39.07,47.7601,-122.7149,22.32,8.77,,,,0,0,1,1
100841,BLAINE 1 1,Washington,138.0,1.02995,142.133,-38.15,48.9,-122.7719,,,,,,0,0,1,1
100851,BLAINE 1 2,Washington,138.0,1.02979,142.111,-38.17,48.9,-122.7719,40.86,5.87,,,,0,0,1,1
100861,BLAINE 1 3,Washington,138.0,1.03009,142.152,-38.13,48.9,-122.7719,,,,,,0,0,1,1
100871,PORT LUDLOW 1,Washington,138.0,1.01595,140.201,-39.84,47.9481,-122.6824,10.87,8.58,,,,0,0,1,1
100881,PORT ORCHARD 1 1,Washington,138.0,1.02938,142.055,-39.37,47.5032,-122.6138,,,,,,0,0,1,1
100891,PORT ORCHARD 1 2,Washington,138.0,1.02926,142.037,-39.39,47.5032,-122.6138,33.23,4.19,,,,0,0,1,1
100901,PORT ORCHARD 2 1,Washington,138.0,1.02391,141.299,-39.45,47.4023,-122.6216,33.23,6.75,,,,0,0,1,1
100911,RIDGEFIELD 1,Washington,138.0,1.02572,141.549,-33.72,45.8363,-122.6865,37.67,4.7,,,,0,0,1,1
100921,VANCOUVER 2 1,Washington,138.0,1.02518,141.475,-34.97,45.7159,-122.6517,31.46,1.7,,,,0,0,1,1
100931,VANCOUVER 3 1,Washington,138.0,1.02417,141.336,-35.7,45.6572,-122.7746,31.46,11.16,,,,0,0,1,1
100941,STEILACOOM 1,Washington,138.0,1.02454,141.387,-38.37,47.3081,-122.6704,,,,,,0,0,1,1
100951,STEILACOOM 2,Washington,138.0,1.02463,141.399,-38.36,47.3081,-122.6704,,,,,,0,0,1,1
100961,STEILACOOM 3,Washington,138.0,1.02446,141.376,-38.38,47.3081,-122.6704,18.02,4.43,,,,0,0,1,1
100971,WOODLAND 1 1,Washington,138.0,1.02666,141.679,-34.23,46.0356,-122.5679,31.02,5.28,,,,0,0,1,1
100981,DUPONT 1,Washington,138.0,1.02171,140.996,-35.31,47.1074,-122.665,19.84,5.6,,,,0,0,1,1
100991,DUPONT 2,Washington,138.0,1.02183,141.012,-35.3,47.1074,-122.665,,,,,,0,0,1,1
101001,VANCOUVER 4 1,Washington,138.0,1.0339,142.678,-35.54,45.5909,-122.6584,,,,,,0,0,1,1
101011,VANCOUVER 4 2,Washington,138.0,1.03405,142.699,-35.52,45.5909,-122.6584,,,,,,0,0,1,1
101021,VANCOUVER 4 3,Washington,138.0,1.03371,142.652,-35.56,45.5909,-122.6584,33.88,8.27,,,,0,0,1,1
101031,VANCOUVER 5 1,Washington,138.0,1.0284,141.92,-35.42,45.6377,-122.6151,,,,,,0,0,1,1
101041,VANCOUVER 5 2,Washington,138.0,1.02806,141.873,-35.45,45.6377,-122.6151,57.74,17.1,,,,0,0,1,1
101051,VANCOUVER 5 3,Washington,138.0,1.02873,141.965,-35.39,45.6377,-122.6151,,,,,,0,0,1,1
101061,ANACORTES 1 1,Washington,138.0,1.01921,140.652,-39.78,48.5919,-122.6924,51.34,13.64,,,,0,0,1,1
101071,COUPEVILLE 1,Washington,138.0,1.02459,141.393,-37.65,48.1206,-122.5807,26.95,1.82,,,,0,0,1,1
101081,COUPEVILLE 2,Washington,138.0,1.02466,141.403,-37.63,48.1206,-122.5807,,,,,,0,0,1,1
101091,COUPEVILLE 3,Washington,138.0,1.02459,141.393,-37.65,48.1206,-122.5807,,,,,,0,0,1,1
101101,ONALASKA 1,Washington,138.0,1.03116,142.3,-33.82,46.6517,-122.6511,12.48,4.31,,,,0,0,1,1
101111,ONALASKA 2,Washington,138.0,1.03123,142.31,-33.81,46.6517,-122.6511,,,,,,0,0,1,1
101121,RAINIER 1 1,Washington,138.0,1.02779,141.836,-34.46,46.8176,-122.6486,11.2,2.7,,,,0,0,1,1
101131,BREMERTON 3 1,Washington,138.0,1.02596,141.583,-38.99,47.7207,-122.703,,,,,,0,0,1,1
101141,BREMERTON 3 2,Washington,138.0,1.02575,141.553,-39.01,47.7207,-122.703,31.06,13.53,,,,0,0,1,1
101151,BREMERTON 4 1,Washington,138.0,1.02516,141.472,-38.96,47.5662,-122.6417,31.06,11.74,,,,0,0,1,1
101161,OAK HARBOR 1 1,Washington,138.0,1.03621,142.997,-33.81,48.2781,-122.6297,47.94,5.39,,,,0,0,1,1
101171,OAK HARBOR 2 1,Washington,345.0,1.03712,357.805,-29.97,48.2395,-122.5352,,,,,,0,0,1,1
101181,OAK HARBOR 2 2,Washington,138.0,1.0361,142.981,-33.84,48.2395,-122.5352,45.39,21.63,,,,0,0,1,1
101191,OAK HARBOR 2 3,Washington,13.8,1.03624,14.3,-34.2,48.2395,-122.5352,,,,,,0,0,1,1
101201,OAK HARBOR 2 4,Washington,1.0,1.03624,1.036,-34.2,48.2395,-122.5352,,,,,,0,0,1,1
101211,POULSBO 1 1,Washington,138.0,1.01779,140.455,-38.97,47.7984,-122.6841,,,,,,0,0,1,1
101221,POULSBO 1 2,Washington,138.0,1.0175,140.415,-38.99,47.7984,-122.6841,35.43,19.18,,,,0,0,1,1
101231,POULSBO 2 1,Washington,138.0,1.01872,140.583,-38.79,47.7539,-122.6578,,,,,,0,0,1,1
101241,POULSBO 2 2,Washington,138.0,1.01887,140.604,-38.77,47.7539,-122.6578,,,,,,0,0,1,1
101251,POULSBO 2 3,Washington,138.0,1.01856,140.562,-38.82,47.7539,-122.6578,35.43,7.06,,,,0,0,1,1
101261,POULSBO 2 4,Washington,138.0,1.01872,140.583,-38.79,47.7539,-122.6578,,,,,,0,0,1,1
101271,BREMERTON 5 1,Washington,345.0,1.01941,351.695,-34.79,47.5231,-122.6219,,,,,,0,0,1,1
101281,BREMERTON 5 2,Washington,138.0,1.03493,142.82,-38.68,47.5231,-122.6219,44.89,16.27,,,,0,0,1,1
101291,VANCOUVER 6 1,Washington,138.0,1.03466,142.783,-35.35,45.5753,-122.6273,50.09,14.75,,,,0,0,1,1
101301,VANCOUVER 7 1,Washington,138.0,1.0212,140.925,-35.08,45.6695,-122.5543,50.09,14.37,,,,0,0,1,1
101311,VANCOUVER 8 1,Washington,138.0,1.02876,141.968,-35.36,45.638,-122.606,,,,,0.0,0,0,1,1
101321,VANCOUVER 8 2,Washington,138.0,1.02852,141.935,-35.38,45.638,-122.606,41.72,12.38,,,,0,0,1,1
101331,GIG HARBOR 2 1,Washington,138.0,1.02426,141.348,-38.32,47.2477,-122.7192,,,,,,0,0,1,1
101341,GIG HARBOR 2 2,Washington,138.0,1.02399,141.31,-38.36,47.2477,-122.7192,71.03,8.23,,,,0,0,1,1
101351,FERNDALE 1 1,Washington,138.0,1.03122,142.308,-37.93,48.8946,-122.67,61.01,13.93,,,,0,0,1,1
101361,FERNDALE 1 2,Washington,138.0,1.03152,142.35,-37.89,48.8946,-122.67,,,,,,0,0,1,1
101371,LA CENTER 1,Washington,138.0,1.02587,141.57,-34.07,45.8584,-122.6659,20.07,5.15,,,,0,0,1,1
101381,GIG HARBOR 3 1,Washington,138.0,1.02453,141.385,-39.48,47.4467,-122.6453,38.05,7.43,,,,0,0,1,1
101391,TACOMA 1 1,Washington,138.0,1.0595,146.212,-36.37,47.1496,-122.5646,35.0,8.78,,,,0,0,1,1
101401,PORT ORCHARD 3 1,Washington,138.0,1.02057,140.839,-39.0,47.5868,-122.6684,16.07,5.79,,,,0,0,1,1
101411,PORT ORCHARD 3 2,Washington,138.0,1.02028,140.799,-39.02,47.5868,-122.6684,41.11,16.66,,,,0,0,1,1
101421,PORT ORCHARD 4 1,Washington,138.0,1.01751,140.416,-39.27,47.6145,-122.6199,41.11,1.31,,,,0,0,1,1
101431,PORT ORCHARD 4 2,Washington,138.0,1.01763,140.432,-39.24,47.6145,-122.6199,,,,,,0,0,1,1
101441,PORT ORCHARD 4 3,Washington,138.0,1.01751,140.416,-39.27,47.6145,-122.6199,,,,,,0,0,1,1
101451,VANCOUVER 9 1,Washington,138.0,1.01917,140.646,-34.51,45.7462,-122.5518,37.97,9.24,,,,0,0,1,1
101461,VANCOUVER 10 1,Washington,138.0,1.01985,140.739,-35.02,45.6971,-122.584,37.97,9.3,,,,0,0,1,1
101471,VANCOUVER 10 2,Washington,138.0,1.02004,140.766,-34.99,45.6971,-122.584,,,,,,0,0,1,1
101481,VANCOUVER 11 1,Washington,138.0,1.02606,141.596,-35.39,45.6566,-122.6399,52.25,24.72,,,,0,0,1,1
101491,OLALLA 1,Washington,138.0,1.02545,141.512,-39.58,47.498,-122.665,,,,,,0,0,1,1
101501,OLALLA 2,Washington,18.0,1.01681,18.302,-40.4,47.498,-122.665,7.99,4.67,,,,0,0,1,1
101511,OLALLA 3,Washington,18.0,1.02179,18.392,-40.73,47.498,-122.665,11.73,1.24,,,,0,0,1,1
101521,OLALLA 4,Washington,1.0,1.0245,1.025,-39.73,47.498,-122.665,,,,,,0,0,1,1
101531,UNIVERSITY PLACE 1,Washington,138.0,1.02414,141.332,-35.52,47.1162,-122.5961,35.35,3.89,,,,0,0,1,1
101541,LAKEWOOD 1 1,Washington,138.0,1.05802,146.006,-36.51,47.1492,-122.575,33.06,13.11,,,,0,0,1,1
101551,LAKEWOOD 2 1,Washington,138.0,1.02212,141.052,-35.48,47.0621,-122.6066,,,,,,0,0,1,1
101561,LAKEWOOD 2 2,Washington,138.0,1.02199,141.034,-35.5,47.0621,-122.6066,33.52,4.02,,,,0,0,1,1
101571,TACOMA 2 1,Washington,138.0,1.03661,143.052,-38.69,47.2402,-122.5297,32.33,10.35,,,85.96,0,0,1,1
101581,TACOMA 2 2,Washington,138.0,1.03582,142.943,-38.66,47.2402,-122.5297,,,,,,0,0,1,1
101591,TACOMA 3 1,Washington,138.0,1.0291,142.015,-38.62,47.2904,-122.5599,15.22,4.81,,,,0,0,1,1
101601,BAINBRIDGE ISLAND 1,Washington,138.0,1.01438,139.985,-39.13,47.6283,-122.4932,55.26,20.75,,,,0,0,1,1
101611,KINGSTON 1,Washington,138.0,1.02212,141.053,-41.46,47.8029,-122.5365,,,,,,0,0,1,1
101621,KINGSTON 2,Washington,138.0,1.02198,141.034,-41.48,47.8029,-122.5365,25.6,5.53,,,,0,0,1,1
101631,KINGSTON 3,Washington,138.0,1.02225,141.07,-41.45,47.8029,-122.5365,,,,,,0,0,1,1
101641,ROY 1 1,Washington,138.0,1.02381,141.286,-35.62,47.0922,-122.5844,26.64,6.54,,,,0,0,1,1
101651,TACOMA 4 1,Washington,138.0,1.01639,140.262,-39.77,47.3789,-122.4637,,,,,,0,0,1,1
101661,TACOMA 4 2,Washington,138.0,1.0162,140.236,-39.8,47.3789,-122.4637,47.72,5.4,,,,0,0,1,1
101671,VANCOUVER 12 1,Washington,138.0,1.03816,143.267,-35.1,45.5753,-122.6041,32.36,10.77,,,,0,0,1,1
101681,VANCOUVER 13 1,Washington,138.0,1.0317,142.374,-35.31,45.6205,-122.5396,32.36,10.63,,,,0,0,1,1
101691,LAKEWOOD 3 1,Washington,138.0,1.02588,141.571,-35.73,47.0746,-122.4859,,,,,,0,0,1,1
101701,LAKEWOOD 3 2,Washington,138.0,1.02583,141.565,-35.74,47.0746,-122.4859,14.51,0.92,,,,0,0,1,1
101711,TACOMA 5 1,Washington,138.0,1.01902,140.625,-38.61,47.2812,-122.4187,51.86,8.23,,,,0,0,1,1
101721,BATTLE GROUND 1 1,Washington,138.0,1.0228,141.146,-34.05,45.763,-122.4243,,,,,,0,0,1,1
101731,BATTLE GROUND 1 2,Washington,138.0,1.02296,141.168,-34.02,45.763,-122.4243,,,,,,0,0,1,1
101741,BATTLE GROUND 1 3,Washington,138.0,1.02263,141.123,-34.07,45.763,-122.4243,41.08,5.55,,,,0,0,1,1
101751,BATTLE GROUND 2 1,Washington,138.0,1.02434,141.359,-33.4,45.8824,-122.5291,41.08,12.71,,,,0,0,1,1
101761,BATTLE GROUND 2 2,Washington,138.0,1.02459,141.394,-33.38,45.8824,-122.5291,,,,,,0,0,1,1
101771,VANCOUVER 14 1,Washington,138.0,1.03878,143.352,-34.87,45.575,-122.5665,37.0,12.28,,,,0,0,1,1
101781,VANCOUVER 15 1,Washington,138.0,1.02325,141.209,-35.19,45.6766,-122.574,37.0,6.33,,,,0,0,1,1
101791,BELLINGHAM 1 1,Washington,138.0,1.03098,142.275,-38.08,48.8277,-122.5436,55.41,4.59,,,,0,0,1,1
101801,BELLINGHAM 2 1,Washington,138.0,1.03099,142.277,-37.89,48.7084,-122.6094,1.46,0.56,,,,0,0,1,1
101811,BELLINGHAM 2 2,Washington,138.0,1.03117,142.301,-37.86,48.7084,-122.6094,,,,,,0,0,1,1
101821,BELLINGHAM 2 3,Washington,138.0,1.03083,142.255,-37.92,48.7084,-122.6094,55.41,4.8,,,,0,0,1,1
101831,LAKEWOOD 4 1,Washington,138.0,1.02148,140.964,-38.54,47.241,-122.4134,48.59,5.25,,,,0,0,1,1
101841,LAKEWOOD 5 1,Washington,138.0,1.03917,143.406,-38.35,47.2147,-122.5774,,,,,,0,0,1,1
101851,LAKEWOOD 5 2,Washington,138.0,1.03868,143.338,-38.39,47.2147,-122.5774,68.06,27.25,,,,0,0,1,1
101861,CAMANO ISLAND 1,Washington,138.0,1.02961,142.086,-35.49,48.209,-122.6076,,,,,,0,0,1,1
101871,CAMANO ISLAND 2,Washington,138.0,1.02943,142.061,-35.51,48.209,-122.6076,37.59,7.22,,,,0,0,1,1
101881,YELM 1,Washington,138.0,1.03072,142.24,-33.16,46.8447,-122.451,51.74,17.55,,,,0,0,1,1
101891,YELM 2,Washington,138.0,1.03105,142.285,-33.13,46.8447,-122.451,,,,,,0,0,1,1
101901,VANCOUVER 16 1,Washington,138.0,1.01996,140.755,-34.31,45.7632,-122.5137,,,,,,0,0,1,1
101911,VANCOUVER 16 2,Washington,138.0,1.01971,140.72,-34.34,45.7632,-122.5137,63.47,6.05,,,,0,0,1,1
101921,VANCOUVER 17 1,Washington,345.0,1.00975,348.365,-32.01,45.7218,-122.5664,,,,,,0,0,1,1
101931,VANCOUVER 17 2,Washington,138.0,1.01887,140.605,-34.67,45.7218,-122.5664,63.47,25.63,,,,0,0,1,1
101941,VANCOUVER 17 3,Washington,24.0,1.01887,24.453,-34.67,45.7218,-122.5664,,,,,,0,0,1,1
101951,VANCOUVER 17 4,Washington,1.0,1.01887,1.019,-34.67,45.7218,-122.5664,,,,,,0,0,1,1
101961,TACOMA 6 1,Washington,345.0,1.03651,357.597,-32.17,47.1245,-122.5568,,,,,,0,0,1,1
101971,TACOMA 6 2,Washington,138.0,1.06355,146.771,-36.0,47.1245,-122.5568,,,,,,0,0,1,1
101981,TACOMA 6 3,Washington,345.0,1.03607,357.443,-32.19,47.1245,-122.5568,55.17,29.09,,,,0,0,1,1
101991,VASHON 1,Washington,138.0,1.0178,140.457,-39.79,47.4255,-122.4801,25.51,11.27,,,,0,0,1,1
102001,TACOMA 7 1,Washington,138.0,1.02214,141.055,-38.85,47.2126,-122.4406,57.98,19.56,,,,0,0,1,1
102011,LYNDEN 1,Washington,138.0,1.02848,141.931,-37.29,49.0235,-122.4655,45.34,7.86,,,,0,0,1,1
102021,BRUSH PRAIRIE 1,Washington,138.0,1.02624,141.621,-35.47,45.6699,-122.3713,21.66,3.34,,,,0,0,1,1
102031,LANGLEY 1,Washington,138.0,1.02325,141.209,-39.69,48.012,-122.5068,,,,,,0,0,1,1
102041,LANGLEY 2,Washington,138.0,1.02319,141.2,-39.7,48.012,-122.5068,12.67,2.56,,,,0,0,1,1
102051,TACOMA 8 1,Washington,138.0,1.02191,141.023,-37.0,47.2028,-122.3545,,,,,,0,0,1,1
102061,TACOMA 8 2,Washington,138.0,1.02172,140.998,-37.03,47.2028,-122.3545,40.75,8.43,,,,0,0,1,1
102071,TACOMA 9 1,Washington,138.0,1.02529,141.491,-38.95,47.2014,-122.4906,40.75,6.92,,,,0,0,1,1
102081,TACOMA 10 1,Washington,138.0,1.02786,141.845,-38.59,47.3067,-122.5178,24.17,6.6,,,,0,0,1,1
102091,TACOMA 11 1,Washington,138.0,1.01835,140.532,-37.19,47.1904,-122.422,81.39,49.51,,,,0,0,1,1
102101,BELLINGHAM 3 1,Washington,138.0,1.02927,142.04,-38.17,48.8083,-122.452,49.48,10.28,,,,0,0,1,1
102111,BELLINGHAM 4 1,Washington,138.0,1.02843,141.924,-38.05,48.759,-122.4358,49.48,11.08,,,,0,0,1,1
102121,BELLINGHAM 4 2,Washington,138.0,1.02868,141.958,-38.02,48.759,-122.4358,,,,,,0,0,1,1
102131,MOSSYROCK 1,Washington,138.0,1.03906,143.39,-31.65,46.4722,-122.3709,,,,,,0,0,1,1
102141,MOSSYROCK 2,Washington,138.0,1.03899,143.381,-31.66,46.4722,-122.3709,12.52,3.35,,,,0,0,1,1
102151,BELLINGHAM 5 1,Washington,138.0,1.0316,142.361,-37.48,48.6497,-122.474,36.39,3.34,,,,0,0,1,1
102161,BELLINGHAM 6 1,Washington,138.0,1.03095,142.271,-37.64,48.7025,-122.4788,,,,,,0,0,1,1
