eGRID2018 Plant file sequence number,Plant state abbreviation,Plant_name,DOE,Plant transmission or distribution system owner ID,Plant latitude,Plant longitude,Number of generators,Plant primary fuel,Plant primary coal/oil/gas/ other fossil fuel category,Plant_capacity_factor,Plant nameplate capacity (MW),Plant annual heat input from combustion (MMBtu),Plant total annual heat input (MMBtu),Plant annual net generation (MWh),CalCapFac
660,CA,Cabrillo Power I Encina Power Station,302,16609,33.1361,-117.3364,6,NG,GAS,0.0342,999.6,"5,218,992","5,218,992","299,121",0.057313941
662,CA,California Institute of Technology,10262,14534,34.138467,-118.1256,7,NG,GAS,0.4231,24.3,"480,651","480,651","90,067",0.187385498
664,CA,California State University San Bernardi,57544,17609,34.185833,-117.324167,1,NG,GAS,0.6906,1.4,"47,315","47,315","8,469",0.178992378
668,CA,CalPeak Power - Border,55510,16609,32.562448,-116.943869,1,NG,GAS,0.0215,60.5,"125,147","125,147","11,381",0.090941053
669,CA,CalPeak Power - Enterprise,55513,16609,33.121943,-117.117441,1,NG,GAS,0.0237,58.9,"132,502","132,502","12,241",0.092383511
670,CA,CalPeak Power - Panoche,55508,14328,36.6535,-120.5783,2,NG,GAS,0.0264,110.4,"155,337","155,337","25,513",0.164242904
671,CA,CalPeak Power - Vaca Dixon,55499,14328,38.398867,-121.923973,1,NG,GAS,0.0214,60.5,"123,147","123,147","11,340",0.092085069
672,CA,"Calpine Gilroy Cogen, LP",10034,14328,37.0001,-121.5367,2,NG,GAS,0.0902,130,"733,435","733,435","102,682",0.140001434
673,CA,Calpine Sutter Energy Center,55112,27000,39.053139,-121.695873,3,NG,GAS,0.1058,636,"4,395,613","4,395,613","589,517",0.134114855
683,CA,Canyon Power Plant,57027,590,33.858056,-117.861667,4,NG,GAS,0.1038,200,"1,946,308","1,946,308","181,871",0.0934441
686,CA,Carlsbad Energy Center,59002,16609,33.140507,-117.333916,6,NG,GAS,0.0198,764.5,"1,287,534","1,287,534","132,599",0.102986794
687,CA,Carson Cogeneration,7527,16534,38.445681,-121.462387,3,NG,GAS,0.3348,125.5,"2,840,319","2,840,319","368,117",0.129604089
696,CA,CBS Studio Center,58440,11208,34.145,-118.390833,6,NG,GAS,0.4094,2.4,"79,849","79,849","8,608",0.107803501
698,CA,CCCSD Wastewater Treatment Plnt,57573,14328,37.9978,-122.0697,1,NG,GAS,0.7107,3.5,"129,183","129,183","21,790",0.168674916
711,CA,Center Generating Station,56475,17609,33.9296,-118.1046,2,NG,GAS,0.0284,59.8,"180,653","180,653","14,862",0.082268216
717,CA,Central Utilities Plant LAX 2,58258,11208,33.943889,-118.404167,2,NG,GAS,0.3799,9.2,"156,085","156,085","30,616",0.196149859
719,CA,Century Generating Facility,55934,4003,34.0606,-117.3533,4,NG,GAS,0.0032,44.8,"20,013","20,013","1,266",0.063258882
723,CA,Chalk Cliff Limited,50003,14328,35.0968,-119.4299,1,NG,GAS,0.038,46,"110,119","110,119","15,300",0.138940603
726,CA,Childrens Hospital,10175,16609,32.7992,-117.1517,9,NG,GAS,0.24,12.8,"194,126","194,126","26,914",0.138641861
728,CA,Chowchilla II,56185,14328,37.1073,-120.2485,16,NG,GAS,0.0424,49.6,"191,132","191,132","18,429",0.096420233
731,CA,Chula Vista Energy Center,55540,16609,32.591667,-117.058611,1,NG,GAS,0.008,44,"59,918","59,918","3,070",0.05123669
737,CA,City of Palo Alto,57714,14401,37.4383,-122.1094,4,NG,GAS,0.0008,4.4,398,398,31,0.077889447
740,CA,Civic Center,10623,11208,34.0564,-118.2436,2,NG,GAS,0.3407,34.5,"561,785","561,785","102,962",0.183276634
742,CA,Clearwater Power Plant,56356,17609,33.8912,-117.6085,2,NG,GAS,0.0348,49,"105,443","105,443","14,932",0.141612197
745,CA,Coachella,6060,9216,33.6758,-116.1714,4,NG,GAS,0.0035,92.4,"45,944","45,944","2,790",0.060726101
747,CA,Coalinga 25D Cogen,52086,14328,36.1556,-120.3972,4,NG,GAS,0.5995,13.6,"368,548","368,548","71,419",0.193784732
750,CA,Coalinga Cogeneration Facility,50750,14328,36.170317,-120.364084,2,NG,GAS,0.8171,6.8,"264,230","264,230","48,672",0.184203493
751,CA,Coca Cola American Canyon,57807,14328,38.190705,-122.275067,1,NG,GAS,0.1625,1.1,"15,255","15,255","1,566",0.102654867
763,CA,Colusa Generating Station,56532,14328,39.3661,-122.27,3,NG,GAS,0.4785,712.4,"21,559,402","21,559,402","2,986,301",0.13851502
807,CA,Creed Energy Center,55625,14328,38.242158,-121.854722,1,NG,GAS,0.0315,47,"166,726","166,726","12,968",0.07778031
809,CA,Crockett Cogen Project,55084,14328,38.0569,-122.2161,1,NG,GAS,0.6335,247.4,"8,221,866","8,221,866","1,372,884",0.166979604
813,CA,CSU East Bay,57042,14328,37.658889,-122.059444,1,NG,GAS,0.3915,1.4,"29,076","29,076","4,801",0.165121645
816,CA,CSU Northridge Plant,58422,11208,34.243333,-118.530556,8,NG,GAS,0.1622,2.8,"29,959","37,433","3,978",0.132781468
817,CA,CSUCI Site Authority,50851,17609,34.161951,-119.047916,2,NG,GAS,0.1744,31.1,"327,221","327,221","47,506",0.145180089
820,CA,CSUF Trigeneration,58169,17609,33.880638,-117.88656,6,NG,GAS,0.4596,8.5,"168,246","224,778","34,223",0.203410059
823,CA,Cuyamaca Peak Energy,55512,16609,32.796491,-116.972071,1,NG,GAS,0.0349,48.7,"169,052","169,052","14,888",0.088067577
824,CA,Cymric 31X Cogen,52081,14328,35.3639,-119.6592,2,NG,GAS,0.7493,6.8,"230,758","230,758","44,634",0.193423036
825,CA,Cymric 36W Cogen,52104,14328,35.3633,-119.6756,4,NG,GAS,0.6922,12.4,"399,646","399,646","75,190",0.188141599
826,CA,Cymric 6Z Cogen,52082,14328,35.346102,-119.643431,2,NG,GAS,0.7589,6.8,"232,651","232,651","45,207",0.194312744
831,CA,"Delano Energy Center, LLC",58122,17609,35.790864,-119.294469,1,NG,GAS,0.0128,48.5,"66,417","66,417","5,455",0.082132587
833,CA,"Delta Energy Center, LLC",55333,14328,38.0169,-121.8439,4,NG,GAS,0.3729,943.5,"22,068,576","22,068,576","3,081,664",0.139640365
846,CA,DGS Central Utility Plant,58593,16534,38.573889,-121.501389,3,DFO,OIL,0.0001,3.9,9,9,2,0.228310502
868,CA,Dome Project,54449,14328,35.220833,-119.583056,2,NG,GAS,0.7215,6,"239,288","239,288","37,921",0.158474185
872,CA,Donald Von Raesfeld,56026,16655,37.3767,-121.9508,3,NG,GAS,0.6385,154,"6,842,142","6,842,142","861,341",0.125887624
874,CA,Double C Generation Limited Partnership,50493,14328,35.5005,-119.046,2,NG,GAS,0.0607,49.8,"273,942","273,942","26,465",0.096608041
875,CA,Drews Generating Facility,55935,4003,34.0609,-117.3532,4,NG,GAS,0.002,44.8,"16,686","16,686",777,0.046565983
890,CA,Dynegy Oakland Power Plant,6211,14328,37.79675,-122.28185,3,JF,OIL,0.002,223.5,"65,556","65,556","3,852",0.058758924
891,CA,E F Oxnard Energy Facility,10776,17609,34.1958,-119.1664,1,NG,GAS,0.3697,48.5,"1,188,014","1,188,014","157,062",0.13220549
904,CA,El Cajon Energy Center,57001,16609,32.796106,-116.972073,1,NG,GAS,0.0383,49.9,"187,778","187,778","16,736",0.089126522
906,CA,El Centro,389,9216,32.802222,-115.54,8,NG,GAS,0.1955,438.3,"6,034,150","6,034,150","750,463",0.124369298
909,CA,El Segundo,330,17609,33.910556,-118.425,8,NG,GAS,0.0785,"1,533.80","8,998,111","8,998,111","1,054,778",0.117222159
910,CA,El Segundo Cogen,10213,17609,33.9058,-118.4031,8,NG,GAS,0.7902,182.8,"13,373,578","13,373,578","1,265,325",0.094613797
917,CA,Elk Hills Power,55400,14328,35.280318,-119.470707,3,NG,GAS,0.6958,623,"21,301,028","21,301,028","3,797,551",0.178280176
919,CA,Ellwood,8076,17609,34.431419,-119.900055,1,NG,GAS,0.0122,58,"89,752","89,752","6,212",0.069212942
922,CA,Energy Center,58168,17609,34.063056,-117.163889,4,NG,GAS,0.1387,2.4,"27,685","27,685","2,915",0.105291674
932,CA,Equinix San Jose,60223,14328,37.241713,-121.781363,1,NG,GAS,0.8169,1.1,"54,909","54,909","7,872",0.143364476
933,CA,"Escondido Energy Center, LLC",55538,16609,33.1261,-117.1172,2,NG,GAS,0.0307,93.9,"265,347","265,347","25,261",0.09519987
950,CA,Feather River Energy Center,55847,14328,39.109344,-121.60931,1,NG,GAS,0.0804,47,"408,083","408,083","33,113",0.081142807
963,CA,Foster Wheeler Martinez,10342,14328,38.0244,-122.0589,3,NG,GAS,0.6772,113.5,"3,991,295","3,991,295","673,306",0.168693611
985,CA,Franklin Templeton San Mateo,57809,14328,37.5425,-122.292778,1,NG,GAS,0.7366,1.1,"60,656","60,656","7,098",0.117020575
988,CA,"Fresno Cogeneration Partners, LP",10156,14328,36.617022,-120.099846,4,NG,GAS,0.0064,104.9,"13,445","13,445","5,887",0.437843253
991,CA,Frito-Lay Cogen Plant,10110,14328,35.395063,-119.321633,1,NG,GAS,0.506,6,"187,455","187,455","26,593",0.14186316
995,CA,Fullerton Mill CHP,58083,17609,33.861667,-117.893056,2,NG,GAS,0.4105,21,"431,333","431,333","75,513",0.17506901
1004,CA,Gateway Generating Station,56476,14328,38.0175,-121.7587,3,NG,GAS,0.5397,619.7,"21,564,198","21,564,198","2,929,751",0.135861811
1016,CA,Gianera,7231,16655,37.401,-121.96867,2,NG,GAS,0.0142,64.6,"117,278","117,278","8,019",0.068375995
1019,CA,"Gilroy Energy Center, LLC",55810,14328,36.999,-121.5363,3,NG,GAS,0.0217,135,"303,222","303,222","25,659",0.084621169
1020,CA,Glenarm,422,14534,34.126,-118.1494,6,NG,GAS,0.0461,265.6,"784,284","784,284","107,233",0.136727665
1022,CA,Goal Line,54749,16609,33.1185,-117.0995,2,NG,GAS,0.0403,51.4,"134,213","134,213","18,142",0.135172883
1029,CA,Goose Haven Energy Center,55627,14328,38.226752,-121.843271,1,NG,GAS,0.0302,47,"150,843","150,843","12,447",0.082516259
1033,CA,Grapeland Generating Station,56472,17609,34.0903,-117.5343,2,NG,GAS,0.0189,59.8,"126,815","126,815","9,892",0.078003391
1036,CA,Grayson Power Plant,377,11208,34.1556,-118.2782,10,NG,GAS,0.0454,353.9,"1,837,480","1,837,480","140,780",0.0766158
1044,CA,Greenleaf One,10350,14328,39.052922,-121.696072,2,NG,GAS,0.1159,66,"456,065","456,065","67,014",0.146939635
1049,CA,Grossmont Hospital,10115,16609,32.77973,-117.006397,3,NG,GAS,0.5531,6.1,"168,982","168,982","29,556",0.174906656
1054,CA,H. Gonzales,56039,19798,33.9986,-118.2219,2,NG,GAS,0.0386,11.8,"55,101","55,101","3,994",0.072485073
1060,CA,Hanford Energy Park Peaker,55698,14328,36.270072,-119.648055,2,NG,GAS,0.0193,92.2,"182,360","182,360","15,605",0.085572494
1062,CA,Harbor Generating Station,399,11208,33.7706,-118.2656,10,NG,GAS,0.0071,595.1,"547,205","547,205","37,140",0.067872187
1067,CA,Haynes Generating Station,400,11208,33.764741,-118.09913,15,NG,GAS,0.1239,"2,885.10","23,193,980","23,193,980","3,131,593",0.135017492
1086,CA,Henrietta Peaker Plant,55807,14328,36.2397,-119.9044,2,NG,GAS,0.0383,98,"344,940","344,940","32,903",0.095387604
1090,CA,High Desert Power Project,55518,17609,34.5953,-117.3647,4,NG,GAS,0.4045,852,"22,601,955","22,601,955","3,019,302",0.133585878
1091,CA,High Sierra Cogeneration Plant,57977,15308,40.4128,-120.4774,2,NG,GAS,0.663,6,"219,091","219,091","34,849",0.159061856
1092,CA,High Sierra Limited,50495,14328,35.509041,-119.030546,2,NG,GAS,0.0643,49.8,"257,519","257,519","28,059",0.108959121
1096,CA,Hoag Hospital Cogen Plant,58223,17609,33.622778,-117.936389,3,NG,GAS,0.1383,4.5,"46,495","46,495","5,452",0.117260227
1098,CA,Honda Torrance,58300,17609,33.838056,-118.315,1,NG,GAS,0.7217,1.1,"51,767","51,767","6,954",0.134332683
1100,CA,Houweling Nurseries,58432,17609,34.179722,-119.083056,3,NG,GAS,0.4614,13.2,"493,446","493,446","53,349",0.108115174
1102,CA,Humboldt Bay,246,14328,40.7415,-124.2103,12,NG,GAS,0.1627,269.4,"3,372,675","3,372,675","383,862",0.113815295
1116,CA,Indigo Generation Facility,55541,17609,33.910873,-116.552994,3,NG,GAS,0.0255,149.7,"358,003","358,003","33,376",0.093228266
1119,CA,Ingredion Stockton,52115,14328,37.9128,-121.2614,2,NG,GAS,0.5925,10,"727,771","727,771","51,905",0.071320512
1120,CA,Inland Empire Energy Center,55853,17609,33.738839,-117.170369,2,NG,GAS,0.0281,819,"1,465,754","1,465,754","201,502",0.137473273
1125,CA,Intel Santa Clara,60224,14328,37.384745,-121.963808,1,NG,GAS,0.7693,1.1,"53,386","53,386","7,413",0.138856629
1145,CA,Juniper Networks Sunnyvale,58301,14328,37.406944,-122.026944,1,NG,GAS,0.7642,1.1,"54,601","54,601","7,364",0.134869325
1157,CA,Kaweah Delta District Hospital,10042,17609,36.3275,-119.2947,4,NG,GAS,0.4184,5.2,"329,942","329,942","19,060",0.057767729
1161,CA,Kellogg's - San Jose,59280,14328,37.356389,-121.871944,1,NG,GAS,0.6631,1.1,"48,900","48,900","6,390",0.130674847
1166,CA,Kern Front Limited,50494,14328,35.51647,-119.040128,2,NG,GAS,0.0434,49.8,"197,327","197,327","18,945",0.096008149
1167,CA,Kern Oil & Refining Co,58100,14328,35.295556,-118.918333,1,NG,GAS,0.7975,4.5,"444,123","444,123","31,436",0.070782193
1170,CA,Kern River Cogeneration,10496,17609,35.4515,-118.9849,4,NG,GAS,0.2776,300,"4,241,376","4,241,376","729,451",0.17198453
1171,CA,Kern River Eastridge Cogen,52107,14328,35.4406,-118.9617,2,NG,GAS,0.498,48.8,"1,062,669","1,062,669","212,906",0.200350222
1184,CA,King City Peaking,55811,14328,36.224758,-121.124633,1,NG,GAS,0.0207,47.3,"96,422","96,422","8,584",0.089025326
1185,CA,King City Power Plant,10294,14328,36.225,-121.1278,2,NG,GAS,0.3211,133.2,"87,149","87,149","374,693",4.299435197
1188,CA,Kings Beach,6518,57483,39.245833,-120.027222,12,DFO,OIL,0.001,31.2,"3,391","3,391",274,0.080802665
1190,CA,Kingsburg Cogen Facility,10405,14328,36.5397,-119.5794,2,NG,GAS,0.0157,36.2,"48,666","48,666","4,964",0.102002395
1195,CA,Kyocera America Project,10720,16609,32.819675,-117.140548,2,NG,GAS,0.346,3.8,"134,670","134,670","11,518",0.085527586
1199,CA,La Paloma Generating Plant,55151,14328,35.2956,-119.5919,4,NG,GAS,0.1008,"1,200.00","7,975,035","7,975,035","1,059,098",0.132801674
1201,CA,Lake,7987,2507,34.1772,-118.3147,1,NG,GAS,0.0223,60.5,"133,594","133,594","11,806",0.088372232
1206,CA,Lambie Energy Center,55626,14328,38.221577,-121.868333,1,NG,GAS,0.0323,47,"162,123","162,123","13,299",0.08203031
1214,CA,Larkspur Energy Faciity,55542,16609,32.567041,-116.944197,2,NG,GAS,0.0512,99.8,"463,259","463,259","44,783",0.096669466
1220,CA,Life Technologies - Pleasanton,59279,14328,37.643889,-121.884167,1,NG,GAS,0.7828,1.1,"57,127","57,127","7,543",0.132039141
1221,CA,Life Technologies Carlsbad,58302,16609,33.137222,-117.286944,1,NG,GAS,0.7311,1.1,"52,424","52,424","7,045",0.134385014
1234,CA,Live Oak Limited,54768,14328,35.4837,-119.0298,1,NG,GAS,0.0551,46,"157,161","157,161","22,188",0.141179686
1235,CA,Lockheed Martin Sunnyvale,57808,14328,37.413056,-122.028056,1,NG,GAS,0.7106,1.1,"60,524","60,524","6,847",0.113128676
1236,CA,Lodi,7451,11124,38.146571,-121.300541,1,NG,GAS,0.0146,27.4,"56,217","56,217","3,492",0.062116442
1237,CA,Lodi Energy Center,57978,14328,38.088056,-121.3875,2,NG,GAS,0.5558,288.9,"9,981,572","9,981,572","1,406,540",0.140913676
1238,CA,Loma Linda University Cogen,10206,17609,34.050391,-117.248417,5,NG,GAS,0.5516,14.3,"416,982","416,982","69,101",0.165716821
1242,CA,Long Beach Generating Station,341,17609,33.7641,-118.2248,9,NG,GAS,0.0044,587.4,"397,997","397,997","22,511",0.056560728
1248,CA,Los Esteros Critical Energy Facility,55748,14328,37.425,-121.9319,5,NG,GAS,0.1329,306.1,"2,994,753","2,994,753","356,431",0.119018497
1249,CA,"Los Medanos Energy Center, LLC",55217,14328,38.030071,-121.873004,3,NG,GAS,0.5511,678.3,"21,676,202","21,676,202","3,274,740",0.151075357
1251,CA,Lost Hills Cogeneration Plant,52077,14328,35.666111,-119.766944,3,NG,GAS,0.4018,10.5,"246,079","246,079","36,954",0.150171139
1261,CA,Magnolia,56046,2507,34.1786,-118.3153,2,NG,GAS,0.451,387.6,"11,267,009","11,267,009","1,531,144",0.135896226
1262,CA,Malaga Power,56239,14328,36.6697,-119.7404,2,NG,GAS,0.0261,121,"290,913","290,913","27,660",0.095079972
1263,CA,Malburg Generating Station,56041,19798,33.9986,-118.2219,3,NG,GAS,0.4209,130,"3,974,356","3,974,356","479,363",0.120614006
1276,CA,Mariposa Energy Project,57483,14328,37.789167,-121.601944,4,NG,GAS,0.0642,199.6,"1,210,217","1,210,217","112,210",0.092718909
1277,CA,Marsh Landing Generating Station,57267,14328,38.016944,-121.765,4,NG,GAS,0.0303,828,"2,580,259","2,580,259","219,407",0.085032937
1278,CA,Martinez Refining,54912,14328,38.0169,-122.1117,3,NG,GAS,0.9256,100,"4,973,028","4,973,028","810,838",0.163047128
1281,CA,Maxim,59802,14328,37.405689,-121.949416,1,NG,GAS,0.7488,1.1,"54,101","54,101","7,215",0.133361675
1282,CA,MCAGCC Cogen Plant,58914,17609,34.237222,-116.054167,3,NG,GAS,0.5695,16.4,"461,314","461,314","81,816",0.177354263
1283,CA,McClellan (CA),535,16534,38.652731,-121.393336,1,NG,GAS,0.0105,77,"89,438","89,438","7,088",0.07925043
1284,CA,McClure,151,12745,37.62936,-120.93139,2,DFO,OIL,0.0024,142.4,"53,761","53,761","2,958",0.055021298
